start,end,days,sign,avg_contracts,trade_return_pct
1982-09-30,1982-10-06,5,-1,1.8,-1.1612556053097485
1982-10-08,1982-11-22,32,1,3.78125,-0.5356955017283311
1982-11-23,1982-11-30,6,-1,1.0,-0.6267277417946906
1982-12-02,1982-12-15,10,1,1.9,-1.654185524429557
1982-12-22,1983-01-25,25,1,2.68,-1.5189758944622167
1983-01-28,1983-07-29,131,1,5.67175572519084,-1.8443165047487922
1983-08-02,1983-08-15,10,-1,1.6,-0.3018146338929228
1983-08-18,1983-08-24,5,1,1.8,-0.46176866503207514
1983-08-25,1983-08-30,4,-1,1.0,-0.14116596383891816
1983-09-01,1983-10-26,40,1,5.225,-3.7049738600820996
1983-10-31,1983-11-11,10,-1,3.2,-1.1989542908733208
1983-11-14,1983-12-06,17,1,1.8823529411764706,-0.04956485381493099
1983-12-12,1984-01-04,18,-1,2.5,-0.7696103078453393
1984-01-06,1984-01-23,12,1,3.5,-1.324019392193525
1984-01-24,1984-05-01,71,-1,6.323943661971831,2.47672272583632
1984-05-07,1984-08-02,64,-1,8.96875,-3.8771791559584905
1984-08-06,1984-10-02,42,1,5.238095238095238,-1.7386376363720961
1984-10-04,1984-10-15,8,-1,2.0,-0.8173670397411745
1984-10-16,1984-11-13,21,1,2.761904761904762,-2.1380888352340905
1984-11-15,1984-11-27,9,-1,2.2222222222222223,-0.42332863528243564
1984-11-29,1984-12-18,14,-1,4.642857142857143,-3.219347698091588
1984-12-19,1985-01-02,11,1,1.6363636363636365,-0.1579300384171156
1985-01-03,1985-01-10,6,-1,3.1666666666666665,-2.1078972687913176
1985-01-11,1985-03-15,46,1,7.326086956521739,3.572482367494359
1985-03-19,1985-03-19,1,-1,2.0,-0.0010279442101485757
1985-03-21,1985-04-08,13,1,1.3846153846153846,-0.7175302334966017
1985-04-09,1985-04-11,3,-1,1.6666666666666667,-0.3320138673840322
1985-04-15,1985-04-30,12,1,2.75,-0.929151729241866
1985-05-02,1985-05-08,5,-1,2.6,-0.6622747097920385
1985-05-10,1985-07-29,57,1,8.68421052631579,-3.311074397141935
1985-07-30,1985-08-01,3,-1,1.0,-0.05669144179303927
1985-08-02,1985-08-06,3,1,1.0,-0.2708501714078906
1985-08-07,1985-10-16,51,-1,4.549019607843137,-0.3819407683371001
1985-10-17,1986-01-22,70,1,9.771428571428572,11.290769410801131
1986-01-27,1986-07-14,121,1,8.140495867768594,5.9839059857175
1986-07-16,1986-07-24,7,-1,2.2857142857142856,-0.7987716602724544
1986-07-28,1986-07-28,1,1,1.0,-0.0007675907615069136
1986-07-30,1986-08-05,5,-1,1.0,-0.005769969695338856
1986-08-12,1986-09-11,23,1,7.304347826086956,-5.788115385428462
1986-09-12,1986-10-13,22,-1,2.3636363636363638,-4.446370572579931
1986-10-16,1986-10-20,3,1,1.0,-0.4258714041875372
1986-10-28,1986-11-18,16,1,4.125,-1.8801855028755674
1986-11-20,1986-11-20,1,-1,1.0,-0.0008963311740011287
1986-11-24,1986-12-29,26,1,3.8461538461538463,-2.895719304773834
1986-12-31,1987-01-02,3,-1,1.6666666666666667,-0.9217143443767556
1987-01-06,1987-04-14,71,1,8.56338028169014,24.371365525226945
1987-04-17,1987-04-24,6,1,1.1666666666666667,-0.6730885231338322
1987-05-01,1987-05-19,13,1,2.4615384615384617,-3.254457783972926
1987-05-21,1987-05-26,4,-1,1.0,-0.8910285602249319
1987-05-27,1987-09-08,75,1,7.226666666666667,14.833046424196427
1987-09-14,1987-09-21,6,1,1.5,-1.8632351782153347
1987-09-23,1987-10-08,12,1,2.5833333333333335,-3.0528432957393012
1987-10-12,1988-01-05,62,-1,1.1290322580645162,11.074692178093024
1988-01-11,1988-02-01,16,-1,1.0,-0.8678273656277097
1988-02-08,1988-02-12,5,-1,1.0,-0.8878166527682345
1988-02-23,1988-03-10,13,1,1.0,-0.2628173245763887
1988-03-17,1988-03-24,6,1,1.0,-0.8228176055551122
1988-03-28,1988-04-07,9,-1,2.111111111111111,-2.3641320253761036
