,baseline_daily_pct,dmom_daily_pct,w_dmom
1982-08-30,0.0,0.0,
1982-08-31,0.0,0.0,
1982-09-01,0.0,0.0,
1982-09-02,0.0,0.0,
1982-09-03,0.0,0.0,
1982-09-06,0.0,0.0,
1982-09-07,0.0,0.0,
1982-09-08,0.0,0.0,
1982-09-09,0.0,0.0,
1982-09-10,0.0,0.0,
1982-09-13,0.0,0.0,
1982-09-14,0.0,0.0,
1982-09-15,0.0,0.0,
1982-09-16,0.0,0.0,
1982-09-17,0.0,0.0,
1982-09-20,0.0,0.0,
1982-09-21,0.0,0.0,
1982-09-22,-0.03463742671078536,0.0,
1982-09-23,0.75,0.0,
1982-09-24,-1.0625,0.0,
1982-09-27,0.125,0.0,
1982-09-28,1.125,0.0,
1982-09-29,-0.125,0.0,
1982-09-30,0.6875,0.0,
1982-10-01,1.875,0.0,
1982-10-04,-2.625,0.0,
1982-10-05,0.5,0.0,
1982-10-06,1.75,0.0,
1982-10-07,4.0,0.0,
1982-10-08,0.875,0.0,
1982-10-11,4.0,0.0,
1982-10-12,-0.1875,0.0,
1982-10-13,0.75,0.0,
1982-10-14,-1.9375,0.0,
1982-10-15,-1.375,0.0,
1982-10-18,1.625,0.0,
1982-10-19,0.75,0.0,
1982-10-20,-0.875,0.0,
1982-10-21,0.1875,0.0,
1982-10-22,-1.375,0.0,
1982-10-25,-2.5625,0.0,
1982-10-26,1.8262606938782202,0.0,
1982-10-27,0.0,0.0,
1982-10-28,0.0,0.0,
1982-10-29,0.0,0.0,
1982-11-01,-0.04771524561725057,0.0,
1982-11-02,0.0,0.0,
1982-11-03,1.1875,0.0,
1982-11-04,0.3125,0.0,
1982-11-05,-0.9375,0.0,
1982-11-08,-0.5625,0.0,
1982-11-09,0.375,0.0,
1982-11-10,0.125,0.0,
1982-11-11,-1.25,0.0,
1982-11-12,0.6875,0.0,
1982-11-15,-0.7666927021956865,0.0,
1982-11-16,-1.0625,0.0,
1982-11-17,1.5625,0.0,
1982-11-18,1.0625,0.0,
1982-11-19,0.1875,0.0,
1982-11-22,-0.5625,0.0,
1982-11-23,-0.75,0.0,
1982-11-24,-0.1875,0.0,
1982-11-25,0.0,0.0,
1982-11-26,-0.8125,0.0,
1982-11-29,-2.0435850738267063,0.0,
1982-11-30,0.0,0.0,
1982-12-01,0.0,0.0,
1982-12-02,0.0,0.0,
1982-12-03,0.0,0.0,
1982-12-06,0.0,0.0,
1982-12-07,0.0,0.0,
1982-12-08,-0.04278813629392646,0.0,
1982-12-09,0.33250562250069304,0.0,
1982-12-10,0.0,0.0,
1982-12-13,0.0,0.0,
1982-12-14,0.0,0.0,
1982-12-15,0.0,0.0,
1982-12-16,0.0,0.0,
1982-12-17,0.0,0.0,
1982-12-20,0.0,0.0,
1982-12-21,0.0,0.0,
1982-12-22,0.0,0.0,
1982-12-23,0.0,0.0,
1982-12-24,-0.041316662771889216,0.0,
1982-12-27,0.8125,0.0,
1982-12-28,0.0,0.0,
1982-12-29,-0.5,0.0,
1982-12-30,0.0625,0.0,
1982-12-31,0.0,0.0,
1983-01-03,1.625,0.0,
1983-01-04,-0.625,0.0,
1983-01-05,0.0625,0.0,
1983-01-06,-0.25,0.0,
1983-01-07,0.125,0.0,
1983-01-10,0.125,0.0,
1983-01-11,0.875,0.0,
1983-01-12,0.1875,0.0,
1983-01-13,0.1875,0.0,
1983-01-14,0.3125,0.0,
1983-01-17,0.0,0.0,
1983-01-18,0.0,0.0,
1983-01-19,-1.1875,0.0,
1983-01-20,-0.3125,0.0,
1983-01-21,-1.75,0.0,
1983-01-24,-1.101069211725144,0.0,
1983-01-25,0.0,0.0,
1983-01-26,0.0,0.0,
1983-01-27,0.0,0.0,
1983-01-28,0.0,0.0,
1983-01-31,0.0,0.0,
1983-02-01,0.0,0.0,
1983-02-02,0.0,0.0,
1983-02-03,0.0,0.0,
1983-02-04,0.0,0.0,
1983-02-07,-0.037394149042069315,0.0,
