,cum_pnl_usd
2015-01-09,-289.91616
2015-01-12,-289.91616
2015-01-13,-289.91616
2015-01-14,-289.91616
2015-01-15,-289.91616
2015-01-16,-612.36988
2015-01-19,-612.36988
2015-01-20,-612.36988
2015-01-21,-612.36988
2015-01-22,-612.36988
2015-01-23,-659.52312
2015-01-26,-659.52312
2015-01-27,-659.52312
2015-01-28,-659.52312
2015-01-29,-659.52312
2015-01-30,-660.5076207
2015-02-02,-660.5076207
2015-02-03,-660.5076207
2015-02-04,-660.5076207
2015-02-05,-660.5076207
2015-02-06,-696.4813967
2015-02-09,-696.4813967
2015-02-10,-696.4813967
2015-02-11,-696.4813967
2015-02-12,-696.4813967
2015-02-13,-808.8908687
2015-02-16,-808.8908687
2015-02-17,-808.8908687
2015-02-18,-808.8908687
2015-02-19,-808.8908687
2015-02-20,-921.9233167000001
2015-02-23,-921.9233167000001
2015-02-24,-921.9233167000001
2015-02-25,-921.9233167000001
2015-02-26,-921.9233167000001
2015-02-27,-969.4572831000002
2015-03-02,-969.4572831000002
2015-03-03,-969.4572831000002
2015-03-04,-969.4572831000002
2015-03-05,-969.4572831000002
2015-03-06,-1020.8371439000001
2015-03-09,-1020.8371439000001
2015-03-10,-1020.8371439000001
2015-03-11,-1020.8371439000001
2015-03-12,-1020.8371439000001
2015-03-13,-1056.0210039
2015-03-16,-1056.0210039
2015-03-17,-1056.0210039
2015-03-18,-1056.0210039
2015-03-19,-1056.0210039
2015-03-20,-1056.0210039
2015-03-23,-1056.0210039
2015-03-24,-1056.0210039
2015-03-25,-1056.0210039
2015-03-26,-1056.0210039
2015-03-27,-1056.0210039
2015-03-30,-1056.0210039
2015-03-31,-1056.0210039
2015-04-01,-1056.0210039
2015-04-02,-1056.0210039
2015-04-03,-1081.5602263
2015-04-06,-1081.5602263
2015-04-07,-1081.5602263
2015-04-08,-1081.5602263
2015-04-09,-1081.5602263
2015-04-10,-1113.9812373
2015-04-13,-1113.9812373
2015-04-14,-1113.9812373
2015-04-15,-1113.9812373
2015-04-16,-1113.9812373
2015-04-17,-1177.2115733
2015-04-20,-1177.2115733
