date,held,n_contracts,forecast
2015-01-09,COCOA_LDN,6,15.30578894973438
2015-01-16,BUND,5,18.823304770095863
2015-01-23,DAX,17,18.12839002775335
2015-01-30,DAX,16,13.231858939011772
2015-02-06,CAC,4,13.103085431806832
2015-02-13,BOBL,16,14.414607192275142
2015-02-20,CAC,4,14.993040274913888
2015-02-27,DAX,28,17.023228743013927
2015-03-06,CAC,5,15.42811718002797
2015-03-13,TOPIX,6,16.912470376830047
2015-03-20,TOPIX,6,19.54255131600162
2015-03-27,TOPIX,6,14.603921214081886
2015-04-03,IBEX_mini,5,13.872933357802301
2015-04-10,CAC,4,17.685372036381555
2015-04-17,BUND,8,19.009561233447215
2015-04-24,TOPIX,6,17.93148857988798
2015-05-01,TOPIX,5,11.447520371694168
2015-05-08,TOPIX,5,7.351529712267463
2015-05-15,COCOA,6,17.304349676962033
2015-05-22,TOPIX,6,16.857127051739436
2015-05-29,TOPIX,6,19.26474828708326
2015-06-05,TOPIX,7,16.59583516341056
2015-06-12,TOPIX,6,9.98845648569773
2015-06-19,COCOA,6,17.118467216846312
2015-06-26,TOPIX,6,12.904385103381516
2015-07-03,CORN,3,16.060678297334892
2015-07-10,CORN,3,12.68611622195452
2015-07-17,NASDAQ_micro,17,12.22026809214821
2015-07-24,BTP,3,12.69241125778251
2015-07-31,BOBL,16,15.441141919216895
2015-08-07,CAC,4,12.83691104963824
2015-08-14,TOPIX,5,8.601839716432407
2015-08-21,BUND,4,12.147108785834549
2015-08-28,COPPER-micro,24,7.611809652743027
2015-09-04,SUGAR_WHITE,7,11.391207071845002
2015-09-11,COCOA_LDN,6,10.46088986871355
2015-09-18,BOBL,15,9.675438986114264
2015-09-25,COCOA_LDN,7,9.27730172810559
2015-10-02,SUGAR_WHITE,8,17.044066668923524
2015-10-09,SUGAR11,10,17.52678136415235
2015-10-16,OJ,4,13.242526433325486
2015-10-23,SUGAR11,8,12.634080821920634
2015-10-30,BTP,4,15.698634683389274
2015-11-06,NASDAQ_micro,16,11.536832977105577
2015-11-13,COCOA_LDN,7,14.694367101827519
2015-11-20,BUND,4,11.995123689596028
2015-11-27,BTP,4,18.098100660325688
2015-12-04,COCOA_LDN,7,12.154391710192934
2015-12-11,WHEAT_mini,29,8.557839507412906
2015-12-18,FTSE250,5,5.799641278398252
2015-12-25,FTSE250,4,11.596152848272949
2016-01-01,FTSE250,5,13.063482030381714
2016-01-08,GOLD_micro,17,13.128622264671913
2016-01-15,SUGAR_WHITE,8,10.53240093800584
2016-01-22,BUND,4,18.12729516955753
2016-01-29,BUND,4,15.160770269148735
2016-02-05,GOLD_micro,12,13.424054907489612
2016-02-12,GOLD_micro,6,14.182361774933304
2016-02-19,BUND,3,12.16295983091819
2016-02-26,SUGAR11,7,15.674878066696913
2016-03-04,SUGAR_WHITE,10,18.05752598881927
2016-03-11,LEANHOG,6,13.329716318285222
2016-03-18,SUGAR11,8,19.732285735900483
2016-03-25,OJ,5,12.231236832327916
2016-04-01,OJ,5,17.971000203118
2016-04-08,BUND,5,14.75506330063449
2016-04-15,SOYBEAN_mini,7,12.16260343001195
2016-04-22,SOYBEAN_mini,6,14.554707405814739
2016-04-29,SOYBEAN_mini,5,14.909013962263044
2016-05-06,BOBL,32,12.705251751847024
2016-05-13,SOYBEAN_mini,4,15.082390055943769
2016-05-20,SOYBEAN_mini,4,13.03470310630636
2016-05-27,CAC,4,13.93671280424276
2016-06-03,OJ,4,17.52402323481533
2016-06-10,SOYBEAN_mini,4,18.240720981646977
2016-06-17,LEANHOG,4,14.034773279311025
2016-06-24,OJ,4,15.437361868272317
2016-07-01,SOYBEAN_mini,4,14.068143688098607
2016-07-08,COCOA_LDN,7,20.0
2016-07-15,US-MATERIAL,3,13.41637402044978
2016-07-22,NASDAQ_micro,20,13.238223237124979
2016-07-29,NASDAQ_micro,19,15.426212728004714
2016-08-05,NASDAQ_micro,18,14.544107346372884
2016-08-12,NASDAQ_micro,17,16.395931910422053
2016-08-19,COCOA,7,16.11067710474984
2016-08-26,OJ,4,6.991944646167442
2016-09-02,US-FINANCE,3,6.291605798718689
2016-09-09,OJ,3,12.721492895614418
2016-09-16,COPPER-micro,46,9.708328985559854
2016-09-23,OJ,3,12.258366059820666
2016-09-30,BUND,4,8.749246085937711
2016-10-07,NASDAQ_micro,17,6.3178722369915805
2016-10-14,WHEAT_mini,27,11.120832441054977
2016-10-21,CAC,4,8.133663898309077
2016-10-28,OJ,4,16.638371971132095
2016-11-04,CHEESE,4,13.356750281849322
2016-11-11,US-MATERIAL,3,12.538855508951066
2016-11-18,LIVECOW,4,13.156823923842358
2016-11-25,US-MATERIAL,4,15.129567394870946
2016-12-02,MILK,5,15.737144274025397
2016-12-09,US-MATERIAL,4,18.45255193751527
2016-12-16,LEANHOG,5,16.449594428427154
2016-12-23,LIVECOW,4,14.748921204852843
2016-12-30,GILT,3,15.082469776894449
2017-01-06,WHEAT_mini,39,14.727486600406067
2017-01-13,COPPER-micro,21,10.561651183250468
2017-01-20,LIVECOW,4,14.836076776772005
2017-01-27,NASDAQ_micro,20,15.465179761503121
2017-02-03,SHATZ,46,11.254166753540945
2017-02-10,WHEAT_mini,39,13.926449266832613
2017-02-17,NASDAQ_micro,24,16.954982083904287
2017-02-24,SHATZ,38,19.679194349166576
2017-03-03,SP500_micro,19,11.941502867217727
2017-03-10,IBEX_mini,6,14.415105860619457
2017-03-17,IBEX_mini,6,14.924240038767778
2017-03-24,IBEX_mini,6,17.006009915076515
2017-03-31,IBEX_mini,7,16.65863790375366
2017-04-07,IBEX_mini,7,16.974147437578285
2017-04-14,FTSE250,5,15.15420647663177
2017-04-21,IBEX_mini,7,11.644790525613715
2017-04-28,IBEX_mini,5,15.62197656668455
2017-05-05,CAC,4,19.60444209549924
2017-05-12,IBEX_mini,5,14.268438564083477
2017-05-19,BTP,8,14.664257440145692
2017-05-26,NASDAQ_micro,18,17.110046164528203
2017-06-02,NASDAQ_micro,20,14.435504465043662
2017-06-09,BTP,6,16.084011802257976
2017-06-16,WHEAT_mini,28,11.488844358068718
2017-06-23,TOPIX,6,11.532888081838786
2017-06-30,WHEAT,6,15.587829773220415
2017-07-07,TOPIX,7,10.011515807479853
2017-07-14,TOPIX,7,9.906402467020527
2017-07-21,US-TECH,6,15.702672996815297
2017-07-28,FTSE250,6,11.654983498406429
2017-08-04,PLAT,3,13.299762822513719
2017-08-11,BUND,4,15.573768268305008
2017-08-18,GOLD_micro,14,9.18337352416055
2017-08-25,SHATZ,43,13.136719490335429
2017-09-01,SHATZ,43,18.05917982138868
2017-09-08,US-HEALTH,4,17.571209446553713
2017-09-15,US-HEALTH,4,13.478407740049136
2017-09-22,TOPIX,6,13.911150451520749
2017-09-29,TOPIX,6,15.571471550938265
2017-10-06,US-FINANCE,3,17.20688321165861
2017-10-13,TOPIX,7,17.495527484994135
2017-10-20,TOPIX,7,19.67345481918006
2017-10-27,TOPIX,7,19.587526284380214
2017-11-03,TOPIX,7,19.931446787365484
2017-11-10,TOPIX,6,19.90992205618462
2017-11-17,NASDAQ_micro,17,14.624537022513886
2017-11-24,NASDAQ_micro,18,15.150401469596853
2017-12-01,NIKKEI,4,14.782773604476306
2017-12-08,SHATZ,42,13.664301113298762
2017-12-15,TOPIX,5,12.890094500215739
2017-12-22,TOPIX,5,13.391616182035769
2017-12-29,SUGAR_WHITE,10,13.347171447673128
2018-01-05,US-MATERIAL,5,18.643685564029358
2018-01-12,TOPIX,5,19.118100473506896
2018-01-19,US-TECH,4,17.499557617607486
2018-01-26,US-HEALTH,3,16.5667212597502
2018-02-02,COCOA,7,13.936038321963645
2018-02-09,WHEAT_mini,36,7.718477377385697
2018-02-16,COCOA,6,14.377170815713749
2018-02-23,LEANHOG,4,9.762176679021158
2018-03-02,COCOA_LDN,6,19.126664321067683
2018-03-09,COCOA_LDN,5,20.0
2018-03-16,OAT,3,13.41948957321184
2018-03-23,SHATZ,42,17.205235685130777
2018-03-30,OAT,4,15.669736528772594
2018-04-06,CHEESE,6,5.74930533070422
2018-04-13,FTSE250,5,9.90488374871133
2018-04-20,FTSE250,6,15.9358056748653
2018-04-27,OJ,5,16.16352157604967
2018-05-04,OJ,5,12.528238989143171
2018-05-11,US-TECH,3,18.042371730469224
2018-05-18,FTSE250,6,18.0934898681156
2018-05-25,SHATZ,41,14.30061123543105
2018-06-01,SUGAR11,9,15.13881143472972
2018-06-08,NASDAQ_micro,12,17.71457848666978
2018-06-15,BUND,8,11.711322128621248
2018-06-22,BOBL,22,12.675277394676288
2018-06-29,OAT,4,8.776216158148793
2018-07-06,OJ,4,12.067891156432841
2018-07-13,US-HEALTH,3,15.617693499960133
2018-07-20,GILT,5,15.14792032666764
2018-07-27,US-INDUSTRY,3,14.885374014509715
2018-08-03,OATIES,8,8.60420938258171
2018-08-10,US-TECH,4,10.219211355283203
2018-08-17,US-HEALTH,3,14.161553672635444
2018-08-24,COCOA,4,13.190483629064191
2018-08-31,US-HEALTH,4,12.731581186730212
2018-09-07,LEANHOG,3,12.453490108002796
2018-09-14,SUGAR11,8,13.569578730558256
2018-09-21,US-HEALTH,3,15.99419650114705
2018-09-28,NIKKEI,4,15.084954473094136
2018-10-05,SUGAR11,7,13.451201019395839
2018-10-12,SUGAR_WHITE,8,16.046705696075946
2018-10-19,SUGAR11,8,15.339646178215462
2018-10-26,GILT,5,13.51879208531931
2018-11-02,SOYBEAN,4,10.300596453846167
2018-11-09,SP500_micro,22,9.194106769681902
2018-11-16,GILT,3,13.902181713929728
2018-11-23,VIX_mini,31,7.352047745760264
2018-11-30,BTP,6,13.485823726406514
2018-12-07,GILT,4,11.704833627417713
2018-12-14,COCOA,5,10.169974019525235
2018-12-21,VIX_mini,20,12.631170697787546
2018-12-28,VIX_mini,19,14.654852623424068
2019-01-04,BUND,9,9.988781906050816
2019-01-11,FTSE250,5,11.755803651193617
2019-01-18,SP500_micro,22,13.699276792366133
2019-01-25,OAT,10,11.894471238400769
2019-02-01,EURIBOR-ICE,38,14.734128429697193
2019-02-08,BOBL,32,13.156715826516015
2019-02-15,GILT,5,8.01422160255841
2019-02-22,FTSE250,7,12.682820666895047
2019-03-01,EU-BANKS,29,13.280966590813074
2019-03-08,BTP,5,17.34519132118631
2019-03-15,LEANHOG,3,15.415199582477674
2019-03-22,CHEESE,7,14.420206643538101
2019-03-29,COCOA_LDN,7,8.992306727906344
2019-04-05,COCOA_LDN,8,17.075166917296
2019-04-12,BTP,7,11.848525134228945
2019-04-19,EUROSTX,6,17.647887186529285
2019-04-26,CHEESE,6,16.352603442098257
2019-05-03,CHEESE,8,11.769586921237712
2019-05-10,SHATZ,118,4.85842658104356
2019-05-17,CAC,11,10.962881352546127
2019-05-24,GILT,4,17.84286996680918
2019-05-31,SOYBEAN,3,13.65747176256069
2019-06-07,GILT,5,16.40804185432884
2019-06-14,US-MATERIAL,3,13.320883816851625
2019-06-21,US-REALESTATE,6,12.786339977550618
2019-06-28,US-MATERIAL,3,11.818598458284578
2019-07-05,EUROSTX,5,16.336203168656215
2019-07-12,BBCOMM,20,8.871870392185281
2019-07-19,BOBL,26,13.513043313310709
2019-07-26,EU-TRAVEL,13,9.614088621176823
2019-08-02,GILT,4,13.827248662942344
