,US10
1982-08-30,0.0
1982-08-31,0.0
1982-09-01,0.0
1982-09-02,0.0
1982-09-03,0.0
1982-09-06,0.0
1982-09-07,0.0
1982-09-08,0.0
1982-09-09,0.0
1982-09-10,0.0
1982-09-13,0.0
1982-09-14,0.0
1982-09-15,0.0
1982-09-16,0.0
1982-09-17,0.0
1982-09-20,0.0
1982-09-21,0.0
1982-09-22,-0.03463742671078185
1982-09-23,0.7151027925888842
1982-09-24,-0.3549951745823732
1982-09-27,-0.23043891855060172
1982-09-28,0.8919686436156926
1982-09-29,0.7658536828111684
1982-09-30,1.458618926880484
1982-10-01,3.3609680317594925
1982-10-04,0.6477426209257953
1982-10-05,1.150981334030421
1982-10-06,2.9211235073759667
1982-10-07,7.037968447671017
1982-10-08,7.974550671588143
1982-10-11,12.293532698451681
1982-10-12,12.082982324642089
1982-10-13,12.923604692076918
1982-10-14,10.735709851167918
1982-10-15,9.21309384071436
1982-10-18,10.987806615625972
1982-10-19,11.820215165243164
1982-10-20,10.841788282547293
1982-10-21,11.049616635577086
1982-10-22,9.5226844068379
1982-10-25,6.716165618912684
1982-10-26,8.665081005624863
1982-10-27,8.665081005624863
1982-10-28,8.665081005624863
1982-10-29,8.665081005624863
1982-11-01,8.613231195322847
1982-11-02,8.613231195322847
1982-11-03,9.903013315767307
1982-11-04,10.246460232379073
1982-11-05,9.212899667700514
1982-11-08,8.598577107069705
1982-11-09,9.0058217712212
1982-11-10,9.142079048435225
1982-11-11,7.77780306032978
1982-11-12,8.518775456369543
1982-11-15,7.686769924433445
1982-11-16,6.542597993986332
1982-11-17,8.207326087642365
1982-11-18,9.357028927323574
1982-11-19,9.562073356562317
1982-11-22,8.945786693931645
1982-11-23,8.128693293727164
1982-11-24,7.925951993801439
1982-11-25,7.925951993801439
1982-11-26,7.049053633851798
1982-11-29,4.908072561174759
1982-11-30,5.059403856739864
1982-12-01,5.059403856739864
1982-12-02,5.059403856739864
1982-12-03,5.059403856739864
1982-12-06,5.059403856739864
1982-12-07,5.014749533548746
1982-12-08,3.373894072087036
1982-12-09,3.717618082074625
1982-12-10,3.717618082074625
1982-12-13,3.717618082074625
1982-12-14,3.717618082074625
1982-12-15,3.717618082074625
1982-12-16,3.717618082074625
1982-12-17,3.717618082074625
1982-12-20,3.717618082074625
1982-12-21,3.717618082074625
1982-12-22,3.717618082074625
1982-12-23,3.717618082074625
1982-12-24,3.6747654235766314
1982-12-27,4.517122892643188
1982-12-28,4.517122892643188
1982-12-29,3.994537278179977
1982-12-30,4.059533863978859
1982-12-31,4.059533863978859
1983-01-03,5.750501289268528
1983-01-04,5.089560656210601
1983-01-05,5.155241631620733
1983-01-06,4.892353527541693
1983-01-07,5.023468969451117
1983-01-10,5.154748305662937
1983-01-11,6.07485235333749
1983-01-12,6.273742701500007
1983-01-13,6.473005969065326
1983-01-14,6.805734112718653
1983-01-17,6.764641723898213
1983-01-18,6.764641723898213
1983-01-19,4.228981482955629
1983-01-20,3.5377166862635034
1983-01-21,1.7258066442539022
1983-01-24,0.605735106914973
1983-01-25,0.605735106914973
1983-01-26,0.605735106914973
1983-01-27,0.605735106914973
1983-01-28,0.605735106914973
1983-01-31,0.605735106914973
1983-02-01,0.605735106914973
1983-02-02,0.605735106914973
1983-02-03,0.605735106914973
1983-02-04,0.5679608269143266
1983-02-07,0.12797599829657003
1983-02-08,0.12797599829657003
1983-02-09,0.25313596829443785
1983-02-10,-1.1253446512696108
1983-02-11,-1.7798851029059648
1983-02-14,-1.7798851029059648
1983-02-15,-1.7931461000224913
1983-02-16,-1.7931461000224913
1983-02-17,-1.7931461000224913
1983-02-18,-1.8291147051303303
1983-02-21,-1.8291147051303303
1983-02-22,-0.601978638944467
1983-02-23,-1.1972687290943473
1983-02-24,-0.08573800229666473
1983-02-25,3.785939650114356
1983-02-28,2.488615404487926
1983-03-01,4.282166174066471
1983-03-02,4.151813466348897
1983-03-03,4.802762300513597
1983-03-04,3.3617243188815316
1983-03-07,0.13167043391648647
1983-03-08,-1.495469210634659
1983-03-09,-1.407869306708831
1983-03-10,-1.8392098784919764
1983-03-11,-2.1459623476216882
1983-03-14,-0.9839456504996846
1983-03-15,-0.426980344783745
1983-03-16,-1.0493117176288425
1983-03-17,-1.2966884383347699
1983-03-18,-1.1116197291566432
1983-03-21,-1.4206459175030384
1983-03-22,-1.6054822064077157
1983-03-23,-0.8060267493347872
1983-03-24,-0.434049349644805
1983-03-25,-1.4297088561483595
1983-03-28,-1.3064959922185482
1983-03-29,-0.9363953521893786
1983-03-30,-0.7506510934747301
1983-03-31,-1.060805308807622
1983-04-01,-1.060805308807622
1983-04-04,-0.6279463320336576
1983-04-05,0.676311872358415
1983-04-06,0.8305036918859532
1983-04-07,-0.05176321541805473
1983-04-08,-0.8013749913024171
1983-04-11,1.6785906339150225
1983-04-12,1.4243941573302443
1983-04-13,2.3118576062068907
1983-04-14,5.12543369037759
1983-04-15,4.336992937699757
1983-04-18,5.380362867076749
1983-04-19,2.1830742794893387
1983-04-20,2.914761929030152
1983-04-21,1.371040500094689
1983-04-22,1.4977543007198113
1983-04-25,2.224758470180177
1983-04-26,2.671991788487227
1983-04-27,3.63454171150428
1983-04-28,3.664597461099506
1983-04-29,4.3125011952313885
1983-05-02,4.442891821725414
1983-05-03,5.095659895611204
1983-05-04,7.29405040057034
1983-05-05,5.081110611058581
1983-05-06,6.066246023037247
1983-05-09,2.2876360084665537
1983-05-10,4.938771709474876
1983-05-11,4.545251315564336
1983-05-12,3.630480366553135
1983-05-13,4.148632768385885
1983-05-16,0.6336164124528754
1983-05-17,-0.05975847759105424
1983-05-18,-0.1846837794940659
1983-05-19,-1.1204523690613089
1983-05-20,-1.4619922959809628
1983-05-23,-1.4619922959809628
1983-05-24,-1.4619922959809628
1983-05-25,-1.4619922959809628
1983-05-26,-1.4619922959809628
1983-05-27,-1.4619922959809628
1983-05-30,-1.4619922959809628
1983-05-31,-1.4619922959809628
1983-06-01,-1.4940177875917615
1983-06-02,-1.370885309826253
1983-06-03,-1.1859557197821724
1983-06-06,-1.6800259411832608
1983-06-07,-0.8197261681686108
1983-06-08,0.172076570149704
1983-06-09,-0.5491112640172213
1983-06-10,-0.30048404217727365
1983-06-13,-3.914591495648345
1983-06-14,-3.104344838067563
1983-06-15,-3.4982053369572164
1983-06-16,-3.4982053369572164
1983-06-17,-3.4982053369572164
1983-06-20,-3.4982053369572164
1983-06-21,-3.4982053369572164
1983-06-22,-3.4982053369572164
1983-06-23,-3.4982053369572164
1983-06-24,-3.4982053369572164
1983-06-27,-3.525145488409176
1983-06-28,-4.248706897246102
1983-06-29,-4.966841595516747
1983-06-30,-5.501403111541969
1983-07-01,-5.678587980707828
1983-07-04,-5.678587980707828
1983-07-05,-2.6720929725928766
1983-07-06,-3.124855460773013
1983-07-07,-1.429540431336529
1983-07-08,0.1722295366542559
1983-07-11,-1.455569193316375
1983-07-12,1.500763730884147
1983-07-13,1.1201358668933237
1983-07-14,0.3617348478916371
1983-07-15,2.368969544849464
1983-07-18,-0.7020995414960263
1983-07-19,-1.5709561705079422
1983-07-20,-2.6782829135897246
1983-07-21,-1.4884911412515356
1983-07-22,-0.3802366665906165
1983-07-25,-0.9405978353410394
1983-07-26,-0.1976523191060897
1983-07-27,-0.010522917204403015
1983-07-28,1.3370763659873885
1983-07-29,3.2371465478496564
1983-08-01,3.366192981034466
1983-08-02,2.950390535343339
1983-08-03,3.1434225175971164
1983-08-04,8.365058282550454
1983-08-05,7.755504829711102
1983-08-08,9.97796211682389
1983-08-09,8.946918721978658
1983-08-10,10.581122502808338
1983-08-11,7.4710284324168486
1983-08-12,3.239356687890438
1983-08-15,-2.402363022969156
1983-08-16,-2.9371868635293286
1983-08-17,-4.029143511314626
1983-08-18,-3.215451881539999
1983-08-19,-3.215451881539999
1983-08-22,-3.215451881539999
1983-08-23,-3.215451881539999
1983-08-24,-3.215451881539999
1983-08-25,-3.215451881539999
1983-08-26,-3.215451881539999
1983-08-29,-3.215451881539999
1983-08-30,-3.215451881539999
1983-08-31,-3.2418606741245526
1983-09-01,-3.8465990449112697
1983-09-02,-3.4259279157327516
1983-09-05,-3.4259279157327516
1983-09-06,-5.236691767312762
1983-09-07,-6.302778984930491
1983-09-08,-6.035946082148191
1983-09-09,-6.035946082148191
1983-09-12,-6.035946082148191
1983-09-13,-6.035946082148191
1983-09-14,-6.035946082148191
1983-09-15,-6.035946082148191
1983-09-16,-6.035946082148191
1983-09-19,-6.035946082148191
1983-09-20,-6.035946082148191
1983-09-21,-6.035946082148191
1983-09-22,-6.035946082148191
1983-09-23,-6.035946082148191
1983-09-26,-6.035946082148191
1983-09-27,-6.062445149161411
1983-09-28,-6.356000008070284
1983-09-29,-6.356000008070284
1983-09-30,-5.946307508105586
1983-10-03,-6.181441739335314
1983-10-04,-6.181441739335314
1983-10-05,-4.891436563251183
1983-10-06,-4.891436563251183
1983-10-07,-5.248093676138998
1983-10-10,-5.899513032115545
1983-10-11,-7.1933947279239625
1983-10-12,-7.393241094898406
1983-10-13,-7.393241094898406
1983-10-14,-7.393241094898406
1983-10-17,-7.393241094898406
