start,end,days,sign,avg_abs_pos,trade_return_pct
1982-09-22,1982-10-25,24,1,1.0,6.840362573289214
1982-11-01,1982-11-29,21,1,1.0,-3.439407947812937
1982-12-07,1982-12-08,2,1,1.0,-1.6050038802352327
1982-12-24,1983-01-21,21,1,1.1428571428571428,-1.8680080699889072
1983-02-04,1983-02-10,5,-1,1.0,-1.72504684557545
1983-02-18,1983-05-19,65,1,1.6307692307692307,1.2784867177238626
1983-06-01,1983-06-14,10,-1,1.3,-1.5966929061000177
1983-06-27,1983-08-17,38,-1,1.868421052631579,0.16221751491859449
1983-08-31,1983-09-07,6,-1,1.0,-3.214786166126675
1983-09-27,1983-10-11,11,1,1.0,-1.215701281137131
1983-10-31,1983-11-11,10,-1,1.0,-1.7154328482567978
1983-11-28,1983-12-01,4,1,1.0,-0.02730672100564424
1983-12-07,1983-12-22,12,-1,1.25,-1.7067068976134852
1984-01-04,1984-01-05,2,-1,1.0,-0.026634899806152777
1984-01-16,1984-02-10,20,1,1.0,-1.5892828991241061
1984-02-14,1984-06-15,89,-1,2.550561797752809,23.295719285021832
1984-06-21,1984-07-10,14,-1,1.2142857142857142,-2.692986217767486
1984-07-27,1984-08-29,24,1,1.0,0.33345836859565847
1984-09-10,1985-01-02,83,1,1.7951807228915662,0.33418706891656846
1985-01-08,1985-02-21,33,1,1.303030303030303,-2.1110682586013065
1985-02-28,1985-03-08,7,-1,1.0,-1.6525004378978414
1985-03-19,1985-03-20,2,-1,1.0,-0.7778672042691366
1985-04-01,1985-07-24,83,1,1.6867469879518073,25.660007972326035
1985-08-02,1985-08-02,1,1,1.0,-0.0329209836576164
1985-08-09,1985-09-09,22,1,1.6363636363636365,-3.3125817858426707
1985-09-16,1986-05-15,174,1,2.1091954022988504,69.68669065644161
1986-05-28,1986-05-29,2,1,1.0,-3.7859812790509078
1986-06-18,1986-06-19,2,1,1.0,-2.47995927324384
1986-06-24,1986-07-28,25,1,1.0,-0.9808210196728349
1986-07-31,1986-09-08,28,1,1.5357142857142858,-0.8379230310229957
1986-09-29,1986-10-20,16,1,1.0,-0.5450575069815493
1986-10-23,1987-02-11,80,1,2.0,-3.2598583200224116
1987-02-16,1987-03-30,31,1,2.3225806451612905,-5.549688633967127
1987-04-02,1987-06-12,52,-1,1.0961538461538463,7.569682737086753
1987-07-23,1987-08-17,18,-1,1.0555555555555556,-0.610761125136892
1987-08-19,1987-10-21,46,-1,2.0,13.94762261997382
1987-12-14,1987-12-15,2,-1,1.0,-2.0425594607999398
1987-12-25,1987-12-28,2,1,1.0,-1.0418322317312017
1987-12-31,1988-01-08,7,1,1.0,-2.2915802954357867
1988-01-18,1988-03-21,46,1,1.2826086956521738,-1.2728620616159831
1988-04-06,1988-04-07,2,-1,1.0,-0.28837416900053997
1988-04-19,1988-06-03,34,-1,1.7941176470588236,-1.2658836036845342
1988-06-15,1988-06-17,3,1,1.0,-3.974408504664038
1988-07-14,1988-07-26,9,-1,1.0,-0.8421475032346064
1988-07-29,1988-08-01,2,-1,1.0,-0.7173303075899008
1988-08-11,1988-08-31,15,-1,1.0,-1.6695342201437873
1988-09-05,1988-09-28,18,1,1.0,-0.1539452120490048
1988-10-03,1988-11-07,26,1,1.3461538461538463,-4.69416823426752
1988-11-18,1988-12-01,10,-1,1.3,-2.138861620456971
1988-12-05,1988-12-06,2,-1,1.0,-2.275622977506948
1988-12-15,1988-12-20,4,-1,1.0,-1.5886490393826818
1988-12-29,1989-01-13,12,-1,1.0,-1.8383142454843187
1989-01-17,1989-02-09,18,1,1.0,-0.5884328825451259
1989-02-13,1989-04-03,36,-1,1.4166666666666667,-3.5669158715308074
1989-04-06,1989-04-07,2,1,1.0,-0.960624032531453
1989-04-14,1989-04-14,1,-1,1.0,-0.023188939412776666
1989-04-19,1989-04-20,2,1,1.0,-1.3980694243571694
1989-04-28,1989-05-09,8,1,1.0,-1.5233875342534793
1989-05-15,1989-08-14,66,1,1.9545454545454546,9.320615177409113
1989-09-07,1989-09-22,12,1,1.0,-0.6507793942086797
1989-10-06,1989-12-27,59,1,2.1864406779661016,-1.2874757342420575
1990-01-09,1990-05-11,89,-1,1.8764044943820224,3.6415979110491072
1990-06-04,1990-06-19,12,1,1.0,-1.0238271960497962
1990-07-02,1990-07-06,5,1,1.0,-1.273547781814044
1990-07-18,1990-07-18,1,1,1.0,-0.023535705382868435
1990-07-30,1990-08-06,6,1,1.1666666666666667,-5.509599895049204
1990-08-08,1990-10-01,39,-1,1.1282051282051282,-5.138459585746221
1990-10-05,1990-10-09,3,1,1.0,-2.338819580028802
1990-10-12,1990-10-16,3,-1,1.0,-0.6517014633391018
1990-10-22,1990-10-30,7,1,1.0,-0.9637815372981458
1990-11-02,1991-01-09,49,1,2.020408163265306,0.44621622152413765
1991-01-18,1991-03-01,31,1,1.7419354838709677,-5.151935802478849
1991-03-15,1991-03-15,1,1,1.0,-0.025072675511911047
1991-03-20,1991-03-22,3,-1,1.0,-0.8378656147604463
1991-03-29,1991-04-22,17,1,1.1764705882352942,-2.7466321804855225
1991-04-29,1991-05-10,10,1,1.1,-1.3812735571873505
1991-05-29,1991-06-03,4,1,1.0,-1.0229305213709456
1991-06-07,1991-06-28,16,-1,1.1875,-1.3803907927360073
