,US10
1982-08-30,0.0
1982-08-31,0.0
1982-09-01,0.0
1982-09-02,0.0
1982-09-03,0.0
1982-09-06,0.0
1982-09-07,0.0
1982-09-08,0.0
1982-09-09,0.0
1982-09-10,0.0
1982-09-13,0.0
1982-09-14,0.0
1982-09-15,0.0
1982-09-16,0.0
1982-09-17,0.0
1982-09-20,-0.0030292573737211725
1982-09-21,0.2523276480336234
1982-09-22,0.23496523477615217
1982-09-23,0.8296014600838841
1982-09-24,-0.24866727377873543
1982-09-27,-0.09904027468939924
1982-09-28,1.2479571964823188
1982-09-29,1.1024132580123691
1982-09-30,1.9017542128335396
1982-10-01,4.09732234138116
1982-10-04,0.8083751015093288
1982-10-05,1.5185860206144763
1982-10-06,3.113669894247484
1982-10-07,6.413307330863405
1982-10-08,7.153623281844856
1982-10-11,11.000990773957486
1982-10-12,10.772051230486213
1982-10-13,11.685920653137739
1982-10-14,9.300300545620122
1982-10-15,7.496845586617384
1982-10-18,9.585329083973892
1982-10-19,10.448313550510191
1982-10-20,9.433569669764875
1982-10-21,9.64901701005223
1982-10-22,8.065959326969608
1982-10-25,5.147791906306098
1982-10-26,6.80308551814186
1982-10-27,6.472663472320117
1982-10-28,7.281190260563064
1982-10-29,7.975165460061073
1982-11-01,8.54442965817752
1982-11-02,8.536741442227381
1982-11-03,9.503396795697206
1982-11-04,9.749890534195039
1982-11-05,8.767347650620483
1982-11-08,8.124940503559008
1982-11-09,8.548218138439335
1982-11-10,8.683903411112382
1982-11-11,7.325354618473479
1982-11-12,8.05598851021385
1982-11-15,7.347779960976486
1982-11-16,6.373492746784248
1982-11-17,7.612925654520186
1982-11-18,8.298958055567752
1982-11-19,8.416024530932509
1982-11-22,7.984384736538264
1982-11-23,7.336478428119042
1982-11-24,7.175473710476865
1982-11-25,7.173167459017593
1982-11-26,6.5200809698142015
1982-11-29,4.9106730412842525
1982-11-30,4.993146434454454
1982-12-01,5.018169458723665
1982-12-02,5.050987636679505
1982-12-03,5.169169997770773
1982-12-06,5.1589604005480405
1982-12-07,5.081010505068129
1982-12-08,4.177970571040213
1982-12-09,4.390624146338706
1982-12-10,3.70556067537835
1982-12-13,4.180682912837641
1982-12-14,4.473691083530018
1982-12-15,4.389874569808128
1982-12-16,4.0157880562951
1982-12-17,4.152308778118985
1982-12-20,4.015608872847709
1982-12-21,4.764290547696715
1982-12-22,4.622414084319604
1982-12-23,4.986418451235841
1982-12-24,4.979911918565683
1982-12-27,5.491688989168697
1982-12-28,5.480904669219511
1982-12-29,5.030462562852156
1982-12-30,5.089542198043762
1982-12-31,5.089542198043762
1983-01-03,6.626476752690169
1983-01-04,6.015976470368423
1983-01-05,6.092175453456505
1983-01-06,5.787160449027828
1983-01-07,5.939229492173315
1983-01-10,6.091517134568303
1983-01-11,7.159063025734902
1983-01-12,7.388031805876616
1983-01-13,7.623395120660681
1983-01-14,8.073270227423235
1983-01-17,8.067033218411247
1983-01-18,8.064964425417243
1983-01-19,5.945493275171887
1983-01-20,5.372535424768055
1983-01-21,2.690583331923979
1983-01-24,1.295038463241216
1983-01-25,1.7313764475795024
1983-01-26,1.7695257137473552
1983-01-27,1.7599848207116908
1983-01-28,1.7822448173912209
1983-01-31,1.8216575839028248
1983-02-01,1.7929249769804034
1983-02-02,1.791005880336738
1983-02-03,2.0963788979777354
1983-02-04,2.3439530512780804
1983-02-07,2.0657325119335823
1983-02-08,2.0657325119335823
1983-02-09,2.1741773527275132
1983-02-10,0.9800166549175149
1983-02-11,0.42675163229750623
1983-02-14,0.38684801275499225
1983-02-15,0.36516130486841103
1983-02-16,0.4906177564995007
1983-02-17,0.7381653342358518
1983-02-18,1.1182187921750408
1983-02-21,1.0997746528771168
1983-02-22,2.6794586318283242
1983-02-23,1.9388084336599665
1983-02-24,2.936722443426709
1983-02-25,6.722323485913018
1983-02-28,5.388294442339103
1983-03-01,7.232589595080041
1983-03-02,7.092723569277504
1983-03-03,7.808388826771506
1983-03-04,6.136843540687509
1983-03-07,2.2396313169278814
1983-03-08,0.2578825430643139
1983-03-09,0.33692576844850386
1983-03-10,-0.12760672155548436
1983-03-11,-0.43126742550739783
1983-03-14,0.45016087246971814
1983-03-15,0.7891801654142938
1983-03-16,0.40042978856069666
1983-03-17,0.1745288215364349
1983-03-18,0.34357333892278685
1983-03-21,0.06135703890706168
1983-03-22,-0.10749650109609377
1983-03-23,0.6229674307396404
1983-03-24,0.9625699458183812
1983-03-25,0.04682420769430706
1983-03-28,0.18263989613793719
1983-03-29,0.5771090407289625
1983-03-30,0.7751202241529143
1983-03-31,0.4444518609174164
1983-04-01,0.4444518609174164
1983-04-04,0.9058685616535112
1983-04-05,2.294739237211796
1983-04-06,2.4899126928741744
1983-04-07,1.7843663892698203
1983-04-08,1.0782373474442553
1983-04-11,3.415671586103919
1983-04-12,3.1765228455610472
1983-04-13,4.011607827342312
1983-04-14,6.650319502354063
1983-04-15,5.819574951016104
1983-04-18,7.061162209563299
1983-04-19,3.1996703810238447
1983-04-20,3.8494499476417587
1983-04-21,2.28818571234668
1983-04-22,2.3975455922220945
1983-04-25,2.9892780827376786
1983-04-26,3.6426163155750535
1983-04-27,5.0497671672816935
1983-04-28,5.13593485345587
1983-04-29,5.734972046398434
1983-05-02,5.864944488311541
1983-05-03,6.637115559824203
1983-05-04,9.462583134169055
1983-05-05,7.421606277368853
1983-05-06,8.41189921023835
1983-05-09,4.614094866029683
1983-05-10,7.291900217786784
1983-05-11,6.82920389809758
1983-05-12,5.754235033872979
1983-05-13,6.358834838715666
1983-05-16,2.4102630953283466
1983-05-17,1.6383769613418364
1983-05-18,1.4804352595436443
1983-05-19,0.7159467498655259
1983-05-20,0.48071505088413957
1983-05-23,0.4080491980314349
1983-05-24,0.3937067301501562
1983-05-25,0.40625594349141814
1983-05-26,0.5443145454137044
1983-05-27,0.551952442558501
1983-05-30,0.547022807197739
1983-05-31,1.5210720906424724
1983-06-01,1.147347150167688
1983-06-02,1.3021064219968181
1983-06-03,1.5585273788775167
1983-06-06,0.8713640160590064
1983-06-07,2.1070382252557307
1983-06-08,3.5365367604093034
1983-06-09,2.5299186319561073
1983-06-10,2.7477947090490007
1983-06-13,-0.41812171542356946
1983-06-14,0.28774688692772
1983-06-15,0.058942497542879835
1983-06-16,-0.4160886210477499
1983-06-17,-0.2629656706575778
1983-06-20,-0.48737399789859914
1983-06-21,-0.43225982877583835
1983-06-22,-0.411894609577923
1983-06-23,-0.3925785141608906
1983-06-24,0.051462412258285184
1983-06-27,0.5426108341617608
1983-06-28,-0.22408944404385123
1983-06-29,-1.3091524713398695
1983-06-30,-2.11685521834748
1983-07-01,-2.3754709165485277
1983-07-04,-2.380733555974257
1983-07-05,-0.047022967546761496
1983-07-06,-0.40544151093321323
1983-07-07,1.2040098554796597
1983-07-08,2.801933623418229
1983-07-11,0.9977168589748064
1983-07-12,4.709382953542129
1983-07-13,4.228374225599296
1983-07-14,3.2707760374016015
1983-07-15,5.800910050317931
1983-07-18,1.9127266059687509
1983-07-19,0.8034973653312516
1983-07-20,-0.25383391473833283
1983-07-21,0.7042383972599264
1983-07-22,2.1203917497214064
1983-07-25,1.3995468528467114
1983-07-26,2.426217264731778
1983-07-27,2.681306626582969
1983-07-28,4.794910107302908
1983-07-29,6.4073595927396365
1983-08-01,6.5268711777613175
1983-08-02,6.060213827870831
1983-08-03,6.229247293659013
1983-08-04,10.798960506767585
1983-08-05,10.258815574297087
1983-08-08,12.225207305184217
1983-08-09,11.256206038071092
1983-08-10,12.869421025623119
1983-08-11,9.797713529790798
1983-08-12,5.471484378220559
1983-08-15,-0.09530995870085102
1983-08-16,-0.6708255600460178
1983-08-17,-1.852220659773518
1983-08-18,-1.2187835927687019
1983-08-19,-1.0459164640560514
1983-08-22,-1.846826077675101
1983-08-23,-1.7045869473157116
1983-08-24,-1.7168738739473
1983-08-25,-1.6813576650615003
1983-08-26,-1.6813576650615003
1983-08-29,-1.6813576650615003
1983-08-30,-1.6947518899658398
1983-08-31,-1.3341543295463776
1983-09-01,-1.8355471642484855
1983-09-02,-1.3631307349764255
1983-09-05,-1.3644711605073634
1983-09-06,-3.4912997511089228
1983-09-07,-4.750577821788305
1983-09-08,-4.537897448812522
1983-09-09,-4.684073793344023
1983-09-12,-5.041157821606013
1983-09-13,-5.00448944539531
1983-09-14,-5.068146728548739
1983-09-15,-5.124179565193588
1983-09-16,-5.130806152726775
1983-09-19,-5.190099398881321
1983-09-20,-5.3705151281499
1983-09-21,-5.306153007463665
1983-09-22,-5.2588060839674045
1983-09-23,-5.141712170755152
1983-09-26,-5.062137093493623
1983-09-27,-5.30617517416585
1983-09-28,-5.5281138261014
1983-09-29,-5.5281138261014
1983-09-30,-5.218127949593299
1983-10-03,-5.395843959687808
1983-10-04,-5.395843959687808
1983-10-05,-4.420238600522097
1983-10-06,-4.422881581350435
1983-10-07,-4.731497182282107
1983-10-10,-5.38646813915391
1983-10-11,-6.690037529951487
1983-10-12,-6.8643812555915895
1983-10-13,-6.988568806760598
1983-10-14,-7.032825943013499
1983-10-17,-7.311727465184459
1983-10-18,-7.145712182990726
1983-10-19,-7.145712182990726
