start,end,days,sign,avg_abs_pos,trade_return_pct
1982-09-20,1983-01-24,91,1,16.483516483516482,1.7929510298626123
1983-01-25,1983-02-11,14,-1,8.357142857142858,-0.85037519967643
1983-02-15,1983-05-20,69,1,31.18840579710145,0.7421768163040131
1983-05-23,1983-06-16,19,-1,17.526315789473685,-0.8138246970554647
1983-06-17,1983-06-20,2,1,4.0,-0.07123726034671518
1983-06-21,1983-08-24,47,-1,31.93617021276596,-0.5239786372218561
1983-08-30,1983-09-12,10,-1,15.0,-3.4406436855326255
1983-09-13,1983-09-14,2,1,1.5,-0.028395812901371074
1983-09-16,1983-09-20,3,-1,4.333333333333333,-0.2597765623156932
1983-09-21,1983-10-12,16,1,12.625,-1.571842663099053
1983-10-13,1983-10-17,3,-1,4.333333333333333,-0.48092302515162255
1983-10-20,1983-10-24,3,1,5.333333333333333,-0.37826912241169364
1983-10-26,1983-11-22,20,-1,10.5,-1.3967672120376613
1983-11-23,1983-12-02,8,1,9.5,-0.7139750458521287
1983-12-05,1983-12-27,17,-1,20.235294117647058,-1.6189233636199005
1983-12-28,1983-12-28,1,1,1.0,0.3241288422109743
1984-01-02,1984-01-10,7,-1,5.142857142857143,-0.23064006793697284
1984-01-11,1984-02-10,23,1,20.52173913043478,-1.2895954930088087
1984-02-13,1984-07-13,110,-1,44.00909090909091,17.885566149649417
1984-07-17,1985-02-22,159,1,28.41509433962264,1.8315483345491355
1985-02-25,1985-03-25,21,-1,8.142857142857142,-0.8485884542950213
1985-03-27,1986-05-19,299,1,36.290969899665555,96.78234116589655
1986-05-22,1986-06-02,8,1,5.125,-3.0886160246881507
1986-06-03,1986-06-06,4,-1,5.0,-0.5116250120593506
1986-06-12,1986-09-12,67,1,19.71641791044776,-0.7078222705574487
1986-09-18,1987-03-30,138,1,36.21739130434783,-6.759062914906318
1987-03-31,1987-06-15,55,-1,21.181818181818183,9.862908657177828
1987-06-16,1987-06-26,9,1,2.3333333333333335,-0.09905148705296565
1987-06-29,1987-10-22,84,-1,27.63095238095238,6.023726126479219
1987-10-23,1987-11-27,26,1,6.923076923076923,-0.3596928012765365
1987-11-30,1987-12-17,14,-1,5.071428571428571,-1.3952899554617484
1987-12-21,1988-03-28,71,1,18.52112676056338,0.5773521126129337
1988-03-29,1988-04-08,9,-1,5.111111111111111,-1.070796650950019
1988-04-11,1988-04-15,5,1,4.6,-0.29568050724931066
1988-04-18,1988-06-06,36,-1,33.55555555555556,-0.6356116836467974
1988-06-07,1988-06-20,10,1,6.3,-2.7652037879686002
1988-06-21,1988-06-23,3,-1,2.3333333333333335,-0.27401626734771833
1988-06-24,1988-07-08,11,1,5.7272727272727275,-0.964889488049325
1988-07-11,1988-08-02,17,-1,9.882352941176471,-0.934034593349641
