start,end,days,sign,avg_abs_pos,trade_return_pct
1982-11-10,1983-06-29,148,1,0.8392294660779411,-6.824236577718396
1983-06-30,1983-10-24,77,-1,0.4463564913762873,-3.348575904789434
1983-10-25,1983-10-25,1,1,0.018526883529481702,8.290750247097791e-05
1983-10-26,1984-01-23,55,-1,0.22165375721840486,-3.0552235182342122
1984-01-24,1984-02-24,21,1,0.20942863544632484,-1.8292438024837665
1984-02-27,1984-08-14,113,-1,1.3979873578855402,7.637207700690827
1984-08-15,1987-04-03,625,1,1.1915775944984488,91.95882673132171
1987-04-06,1987-12-30,175,-1,1.4340462650514767,14.085712620046396
1987-12-31,1988-05-03,80,1,0.7450229566313604,-2.7607458057790004
1988-05-04,1988-09-12,85,-1,0.35930250584161144,-4.911172782151357
1988-09-13,1989-03-08,115,1,0.5584836885548535,-6.457830953181134
1989-03-09,1989-05-01,35,-1,0.28464576034364364,-3.335824174643215
1989-05-02,1990-01-23,173,1,0.9808764930730328,4.383056640573688
1990-01-24,1990-06-18,95,-1,0.8833464526535404,-8.800892863614477
1990-06-19,1990-08-21,43,1,0.21137724983570041,-2.4565381691792245
1990-08-22,1990-10-26,45,-1,0.31905950044980774,-3.151801960986872
1990-10-29,1991-06-05,140,1,0.6449206945983134,-5.943462132551749
1991-06-06,1991-07-26,34,-1,0.3516307045818956,-3.4196666128232978
1991-07-29,1993-12-08,558,1,1.483456035449009,96.15076875427425
1993-12-09,1994-01-19,27,-1,0.10633899326235915,-1.49592447163594
1994-01-20,1994-02-14,18,1,0.11124620176580907,-1.1666109667354543
1994-02-15,1995-02-02,226,-1,0.9497627135228973,8.545923721157942
1995-02-03,1996-03-14,257,1,1.415370385312006,29.37925334091507
1996-03-15,1996-07-25,89,-1,0.9496835255992641,-5.1606995810480445
1996-07-26,1997-01-14,105,1,0.7488471595531592,-8.936025072931336
1997-01-15,1997-02-20,21,-1,0.2255040474083169,-2.336806219233928
1997-02-21,1997-03-04,8,1,0.10864972945299446,-0.9649232116245182
1997-03-05,1997-06-06,62,-1,0.7154294762324753,-4.841180971284029
1997-06-09,1998-05-12,212,1,0.8758387999078749,1.2585344765726552
1998-05-13,1998-05-28,9,-1,0.01124220164652507,-0.038814306895968265
1998-05-29,1999-02-11,161,1,1.433806309839896,8.65751126715793
1999-02-12,1999-11-16,180,-1,0.8367277061588296,-1.7292236911529177
1999-11-17,1999-11-30,7,1,0.040712670738186706,-0.19480863422234085
1999-12-01,2000-03-31,73,-1,0.6956554568598975,-2.2708407506596755
2000-04-03,2000-05-12,24,1,0.40960503621766825,-3.7374808078150017
2000-05-15,2000-06-12,15,-1,0.15397507419462145,-1.14267094688778
2000-06-13,2001-05-31,220,1,1.0363186178143642,33.795199338379895
2001-06-01,2001-06-12,8,-1,0.0535094640256469,-0.19157208436355716
2001-06-13,2002-03-26,175,1,1.0955029677539694,18.40930690801414
2002-03-27,2002-04-17,13,-1,0.10039288112802863,-0.5873172082573705
2002-04-18,2003-08-06,301,1,1.442317372115663,44.406183850046304
2003-08-07,2003-09-30,36,-1,0.46887014035089475,-5.413106414493246
2003-10-01,2004-05-05,132,1,0.8062729576734676,0.5060848992834809
2004-05-06,2004-07-09,38,-1,0.5388756280184935,-3.038286947898842
2004-07-12,2005-03-09,152,1,0.6490097900984149,-4.0700286720220875
2005-03-10,2005-04-26,31,-1,0.4371623812979647,-5.521909410070993
2005-04-27,2005-08-10,70,1,0.6782782667964712,-6.991269820608467
2005-08-11,2005-08-31,15,-1,0.07926886778440391,-0.5729926722748907
2005-09-01,2005-10-13,25,1,0.2781477430819043,-2.3818722261376153
2005-10-14,2006-08-01,180,-1,0.8027095989357058,4.308478023379452
2006-08-02,2007-01-24,108,1,1.154429326291854,9.87985577500419
2007-01-25,2007-03-05,25,-1,0.3069784815205136,-4.279652933656034
2007-03-06,2007-05-21,55,1,0.2649214803918389,-3.6997667908925913
2007-05-22,2007-08-16,57,-1,1.0035849474641438,-14.333705774923208
2007-08-17,2009-05-19,392,1,0.9927009477367089,19.19342822884537
2009-05-20,2009-09-03,71,-1,0.5318790578091194,-4.569385636180597
2009-09-04,2009-12-30,72,1,0.42875583900888603,-3.839266281281491
2009-12-31,2010-02-03,19,-1,0.24625709108866717,-1.6153387412725633
2010-02-04,2010-04-06,41,1,0.24130104169061298,-1.9899185617492592
2010-04-07,2010-04-28,16,-1,0.0703011845533577,-0.6087705463335615
2010-04-29,2010-12-10,150,1,1.2682769554885478,19.227660967944384
2010-12-13,2011-05-04,91,-1,0.7088677018247266,-4.935531479092665
2011-05-05,2012-04-05,217,1,1.307447015549141,25.07982071257655
2012-04-06,2012-04-09,2,-1,0.013123976632783172,-0.03422421282067311
2012-04-10,2013-01-07,177,1,0.7282245480210126,-4.5608261527887
2013-01-08,2013-03-25,49,-1,0.21886458185072705,-3.167451976132203
2013-03-26,2013-06-11,50,1,0.6470166177947282,-5.900054911898026
2013-06-12,2013-10-07,78,-1,0.6993956311870217,-7.032224832924955
2013-10-08,2013-12-23,55,1,0.4073256750174561,-3.127811123345072
2013-12-24,2014-02-04,22,-1,0.32460546625221487,-4.155134009299189
2014-02-05,2014-04-14,37,1,0.29517020359652546,-2.07854506659458
2014-04-15,2014-05-30,25,-1,0.3398732965483443,-2.3554887675551113
2014-06-02,2014-06-09,3,1,0.025615163085837018,-0.1251355225616344
2014-06-10,2014-07-14,22,-1,0.1261503499128237,-0.9344431032003698
2014-07-15,2014-09-22,41,1,0.2483454350960415,-2.686862104726767
2014-09-23,2014-10-02,8,-1,0.04276278946125672,-0.2942747074105163
2014-10-03,2015-05-14,148,1,0.7921413412415391,-6.118601779082081
2015-05-15,2015-08-24,69,-1,0.5492545606000844,-3.2027621631693948
2015-08-25,2015-12-24,80,1,0.3011735996545507,-2.7057691679305815
2015-12-30,2016-01-14,9,-1,0.0638333578023696,-0.5958892300093752
2016-01-15,2016-10-13,192,1,0.7839822631782284,-5.0162401749528716
2016-10-14,2017-04-19,122,-1,1.1011597226355025,8.98596450993196
2017-04-20,2017-08-01,67,1,0.5406793297259803,-4.644246084941471
2017-08-02,2017-08-04,3,-1,0.004344339860249825,-0.016033780922961375
2017-08-07,2017-08-08,2,1,0.0017194514983969315,0.00023586222089490457
2017-08-09,2017-08-10,2,-1,0.0028969233071241174,-0.004685754381418349
2017-08-11,2017-10-06,41,1,0.26073511031194985,-2.7261645370536716
2017-10-09,2018-12-10,281,-1,0.79180887593559,-5.468077096763072
2018-12-11,2019-12-20,269,1,1.4940496946873236,44.300069625137766
2019-12-23,2020-01-20,21,-1,0.1100391827087233,-0.9952639432394387
2020-01-21,2020-10-12,184,1,1.3638129199854971,24.110355283121695
2020-10-13,2021-07-16,175,-1,1.1630191807576173,21.589265650401032
2021-07-19,2021-10-05,54,1,0.39264565635118476,-4.208360266769079
2021-10-06,2023-01-19,298,-1,1.1835466312410108,22.694391258024282
2023-01-20,2023-02-17,21,1,0.16142404123448148,-1.5310343290901927
2023-02-23,2023-03-22,20,-1,0.26863819220655094,-3.4806684843309528
2023-03-23,2023-06-09,51,1,0.5209354444121835,-3.968819151901913
2023-06-12,2023-12-19,125,-1,0.9985195203822695,1.5355212450720015
2023-12-20,2024-03-27,59,1,0.43979053232820375,-3.537943393614402
2024-03-28,2025-04-07,2,-1,0.004221731385810554,-0.045538567005188844
2025-04-08,2025-04-08,1,1,0.015589823731351761,0.004442433620336008
