,US10
1982-08-30,0.0
1982-08-31,0.0
1982-09-01,0.0
1982-09-02,0.0
1982-09-03,0.0
1982-09-06,0.0
1982-09-07,0.0
1982-09-08,0.0
1982-09-09,0.0
1982-09-10,0.0
1982-09-13,0.0
1982-09-14,0.0
1982-09-15,0.0
1982-09-16,0.0
1982-09-17,0.0
1982-09-20,0.0
1982-09-21,0.0
1982-09-22,-0.03463742671078185
1982-09-23,0.7151027925888842
1982-09-24,-0.3549951745823732
1982-09-27,-0.23043891855060172
1982-09-28,0.8919686436156926
1982-09-29,0.7658536828111684
1982-09-30,1.458618926880484
1982-10-01,3.3609680317594925
1982-10-04,0.6477426209257953
1982-10-05,1.150981334030421
1982-10-06,2.9211235073759667
1982-10-07,7.037968447671017
1982-10-08,7.974550671588143
1982-10-11,12.293532698451681
1982-10-12,12.082982324642089
1982-10-13,12.923604692076918
1982-10-14,10.735709851167918
1982-10-15,9.21309384071436
1982-10-18,10.987806615625972
1982-10-19,11.820215165243164
1982-10-20,10.841788282547293
1982-10-21,11.049616635577086
1982-10-22,9.5226844068379
1982-10-25,6.716165618912684
1982-10-26,8.665081005624863
1982-10-27,8.665081005624863
1982-10-28,8.665081005624863
1982-10-29,8.665081005624863
1982-11-01,8.613231195322847
1982-11-02,8.613231195322847
1982-11-03,9.903013315767307
1982-11-04,10.246460232379073
1982-11-05,9.212899667700514
1982-11-08,8.598577107069705
1982-11-09,9.0058217712212
1982-11-10,9.142079048435225
1982-11-11,7.77780306032978
1982-11-12,8.518775456369543
1982-11-15,7.686769924433445
1982-11-16,6.542597993986332
1982-11-17,8.207326087642365
1982-11-18,9.357028927323574
1982-11-19,9.562073356562317
1982-11-22,8.945786693931645
1982-11-23,8.128693293727164
1982-11-24,7.925951993801439
1982-11-25,7.925951993801439
1982-11-26,7.049053633851798
1982-11-29,4.861415152117665
1982-11-30,4.861415152117665
1982-12-01,4.861415152117665
1982-12-02,4.861415152117665
1982-12-03,4.861415152117665
1982-12-06,4.861415152117665
1982-12-07,4.861415152117665
1982-12-08,4.816546906882646
1982-12-09,5.165067818659108
1982-12-10,5.165067818659108
1982-12-13,5.165067818659108
1982-12-14,5.165067818659108
1982-12-15,5.165067818659108
1982-12-16,5.165067818659108
1982-12-17,5.165067818659108
1982-12-20,5.165067818659108
1982-12-21,5.165067818659108
1982-12-22,5.165067818659108
1982-12-23,5.165067818659108
1982-12-24,5.121617122234645
1982-12-27,5.975730261352785
1982-12-28,5.975730261352785
1982-12-29,5.445851610046026
1982-12-30,5.511755267302321
1982-12-31,5.511755267302321
1983-01-03,7.226321290395998
1983-01-04,6.556156782331035
1983-01-05,6.622754380320006
1983-01-06,6.35619749436922
1983-01-07,6.489142741237175
1983-01-10,6.6222541696637105
1983-01-11,7.555198893648263
1983-01-12,7.756864891573856
1983-01-13,7.958909013245563
1983-01-14,8.296280603911965
1983-01-17,8.296280603911965
1983-01-18,8.296280603911965
1983-01-19,7.010262271740508
1983-01-20,6.675855202141312
1983-01-21,4.8090277361038325
1983-01-24,3.655007800593113
1983-01-25,3.655007800593113
1983-01-26,3.655007800593113
1983-01-27,3.655007800593113
1983-01-28,3.655007800593113
1983-01-31,3.655007800593113
1983-02-01,3.655007800593113
1983-02-02,3.655007800593113
1983-02-03,3.655007800593113
1983-02-04,3.655007800593113
1983-02-07,3.6162468924865854
1983-02-08,3.6162468924865854
1983-02-09,3.7457672011022014
1983-02-10,2.319262902087038
1983-02-11,1.6419194887034916
1983-02-14,1.6419194887034916
1983-02-15,1.6301569298019514
1983-02-16,1.6301569298019514
1983-02-17,1.6301569298019514
1983-02-18,1.592934527938028
1983-02-21,1.592934527938028
1983-02-22,2.862846209537251
1983-02-23,2.2842426996086074
1983-02-24,2.8224920339394943
1983-02-25,6.8068636002546645
1983-02-28,5.4717778052514765
1983-03-01,7.317533916843377
1983-03-02,7.1833869994473165
1983-03-03,7.85328316819387
1983-03-04,6.3703005246311895
1983-03-07,3.0462286332364696
1983-03-08,1.334421891105353
1983-03-09,1.3977559047873012
1983-03-10,0.9541407227038556
1983-03-11,0.6386590329453989
1983-03-14,1.8337431089616274
1983-03-15,2.4065579139495252
1983-03-16,1.7665169269873493
1983-03-17,1.5121006346698884
1983-03-18,1.7024358233598935
1983-03-21,1.384615711411885
1983-03-22,1.1945195569529998
1983-03-23,2.016725028353239
1983-03-24,2.3992877472095664
1983-03-25,1.3752948697374645
1983-03-28,1.5020139883246353
1983-03-29,1.8826465407808524
1983-03-30,2.073676503044819
1983-03-31,1.7546962639727992
1983-04-01,1.7546962639727992
1983-04-04,2.1998730601276772
1983-04-05,3.5412463940418526
1983-04-06,3.7353862310306907
1983-04-07,3.2815439162699356
1983-04-08,2.8942381265839145
1983-04-11,4.180416103166218
1983-04-12,4.050190583037261
1983-04-13,4.505410166838053
1983-04-14,5.906773411754829
1983-04-15,5.112472611166674
1983-04-18,6.163597337278337
1983-04-19,2.9786894171599743
1983-04-20,3.49358286424577
1983-04-21,1.9411791212820884
1983-04-22,2.034130545971302
1983-04-25,2.4167585355186816
1983-04-26,2.8648318541115714
1983-04-27,3.8291896527438585
1983-04-28,3.8940828962768403
1983-04-29,4.1840470131866425
1983-05-02,4.314277071953132
1983-05-03,4.966241303652841
1983-05-04,7.196773931355471
1983-05-05,5.722818289799325
1983-05-06,6.383585904110589
1983-05-09,3.8569757388879466
1983-05-10,5.674472814318499
1983-05-11,5.278193541264797
1983-05-12,4.3570093477787175
1983-05-13,4.878794394517594
1983-05-16,1.339135083702625
1983-05-17,0.6453920490503418
1983-05-18,0.5195853089890345
1983-05-19,-0.4227858032827436
1983-05-20,-0.7667355408619292
1983-05-23,-0.7667355408619292
1983-05-24,-0.7667355408619292
1983-05-25,-0.7667355408619292
1983-05-26,-0.7667355408619292
1983-05-27,-0.7667355408619292
1983-05-30,-0.7667355408619292
1983-05-31,-0.7667355408619292
1983-06-01,-0.7989869954274975
1983-06-02,-0.6749857291717842
1983-06-03,-0.4887513274139721
1983-06-06,-0.9863075707769009
1983-06-07,-0.11993776202119388
1983-06-08,0.8788628603585869
1983-06-09,0.1853206781936345
1983-06-10,0.3105523290413803
1983-06-13,-1.507576431922486
1983-06-14,-1.0766720788121464
1983-06-15,-1.478774641839875
1983-06-16,-1.478774641839875
1983-06-17,-1.478774641839875
1983-06-20,-1.478774641839875
1983-06-21,-1.478774641839875
1983-06-22,-1.478774641839875
1983-06-23,-1.478774641839875
1983-06-24,-1.478774641839875
1983-06-27,-1.5062785524318945
1983-06-28,-2.2449814632886533
1983-06-29,-2.9781441023139843
1983-06-30,-3.5238920417384634
1983-07-01,-3.7047847441601944
1983-07-04,-3.7047847441601944
1983-07-05,-0.6353747578802915
1983-07-06,-1.097611914064489
1983-07-07,0.6331798774393826
1983-07-08,2.2684690504477745
1983-07-11,0.6066064283779982
1983-07-12,3.6248046212293383
1983-07-13,3.23621160389973
1983-07-14,2.4619400168704786
1983-07-15,4.511178817207884
1983-07-18,1.3758434526916385
1983-07-19,0.488804822480593
1983-07-20,-0.6694236791098929
1983-07-21,-0.0486075771043204
1983-07-22,1.0758455876532569
1983-07-25,0.5072939562227097
1983-07-26,1.2610986608943886
1983-07-27,1.4509632208835832
1983-07-28,2.845913965170732
1983-07-29,3.7819714229540446
1983-08-01,3.9116988872327285
1983-08-02,3.5220300164056084
1983-08-03,3.651432553926104
1983-08-04,7.149668402621101
1983-08-05,6.718387676935822
1983-08-08,8.91945442277262
1983-08-09,7.898334537559126
1983-08-10,9.516809555622508
1983-08-11,6.4366492868706215
1983-08-12,2.2457062212000833
1983-08-15,-3.341713486216258
1983-08-16,-3.8695209513603612
1983-08-17,-4.950988840657555
1983-08-18,-4.145113102663811
1983-08-19,-4.145113102663811
1983-08-22,-4.145113102663811
1983-08-23,-4.145113102663811
1983-08-24,-4.145113102663811
1983-08-25,-4.145113102663811
1983-08-26,-4.145113102663811
1983-08-29,-4.145113102663811
1983-08-30,-4.145113102663811
1983-08-31,-4.17126822634315
1983-09-01,-4.7701977999285
1983-09-02,-4.353567415303184
1983-09-05,-4.353567415303184
1983-09-06,-6.146938026266257
1983-09-07,-7.2027849734707665
1983-09-08,-6.93851512653838
1983-09-09,-6.93851512653838
1983-09-12,-6.93851512653838
1983-09-13,-6.93851512653838
1983-09-14,-6.93851512653838
1983-09-15,-6.93851512653838
1983-09-16,-6.93851512653838
1983-09-19,-6.93851512653838
1983-09-20,-6.93851512653838
1983-09-21,-6.93851512653838
1983-09-22,-6.93851512653838
1983-09-23,-6.93851512653838
1983-09-26,-6.93851512653838
1983-09-27,-6.964759657517938
1983-09-28,-7.255494783588201
1983-09-29,-7.255494783588201
1983-09-30,-6.849737573266401
1983-10-03,-7.0826132293332345
1983-10-04,-7.0826132293332345
1983-10-05,-5.804999161236568
1983-10-06,-5.804999161236568
1983-10-07,-6.158230414381938
1983-10-10,-6.803392580283063
1983-10-11,-8.084845932304175
1983-10-12,-8.282772680691043
1983-10-13,-8.282772680691043
1983-10-14,-8.282772680691043
1983-10-17,-8.282772680691043
1983-10-18,-8.282772680691043
1983-10-19,-8.282772680691043
1983-10-20,-8.282772680691043
