start,end,days,sign,avg_abs_pos,trade_return_pct
1982-09-22,1982-10-25,24,1,1.0,6.840362573289214
1982-11-01,1982-11-26,20,1,1.0,-1.4394079478129371
1982-12-08,1982-12-08,1,1,1.0,-0.04278813629392646
1982-12-24,1983-01-21,21,1,1.0,-0.29131666277188906
1983-02-07,1983-02-10,4,-1,1.0,-1.2873941490420693
1983-02-18,1983-05-19,65,1,1.4,-1.5824493585210668
1983-06-01,1983-06-14,10,-1,1.0,-0.28250064858931845
1983-06-27,1983-08-17,38,-1,1.736842105263158,-2.9613057316222386
1983-08-31,1983-09-07,6,-1,1.0,-3.214786166126675
1983-09-27,1983-10-11,11,1,1.0,-1.215701281137131
1983-11-01,1983-11-11,9,-1,1.0,-1.1527911054033226
1983-11-28,1983-11-30,3,1,1.0,0.09769327899435576
1983-12-08,1983-12-22,11,-1,1.0,-1.402412099502465
1984-01-16,1984-02-10,20,1,1.0,-1.5892828991241061
1984-02-14,1984-06-15,89,-1,2.067415730337079,15.796152852234288
1984-06-21,1984-07-10,14,-1,1.2857142857142858,-3.692836707868742
1984-07-27,1984-08-29,24,1,1.0416666666666667,0.7216058038165154
1984-09-10,1985-01-02,83,1,1.819277108433735,0.2091358101998413
1985-01-08,1985-02-21,33,1,1.4545454545454546,-2.5450528865160345
1985-02-28,1985-03-08,7,-1,1.0,-1.6525004378978414
1985-03-19,1985-03-20,2,-1,1.0,-0.7778672042691366
1985-04-01,1985-07-26,85,1,1.8588235294117648,27.15798876762062
1985-08-02,1986-05-15,205,1,2.048780487804878,75.83820691298159
1986-05-28,1986-05-29,2,1,1.0,-3.7859812790509078
1986-06-17,1986-09-08,60,1,1.3,0.19839399088649312
1986-09-26,1986-10-20,17,1,1.0,-1.9199075623744954
1986-10-23,1987-02-11,80,1,1.7875,1.44970471505623
1987-02-16,1987-03-30,31,1,1.7741935483870968,-5.8394251894223395
1987-04-02,1987-06-12,52,-1,1.3653846153846154,8.758506813198276
1987-07-23,1987-08-17,18,-1,1.1111111111111112,-2.0501347549511904
1987-08-19,1987-10-21,46,-1,2.0217391304347827,12.885219447229328
1987-11-06,1987-11-17,8,1,1.0,-1.3930984697713082
1987-12-11,1987-12-15,3,-1,1.0,-2.542571326483207
1987-12-24,1988-01-08,12,1,1.0,-2.4793322317312017
1988-01-18,1988-03-21,46,1,1.391304347826087,1.0360085172562228
1988-04-19,1988-06-02,33,-1,1.5454545454545454,1.4225079457057492
1988-06-15,1988-06-17,3,1,1.0,-3.974408504664038
1988-07-14,1988-07-25,8,-1,1.0,-0.9046475032346062
1988-07-29,1988-08-01,2,-1,1.0,-0.7173303075899008
1988-08-11,1988-08-31,15,-1,1.0,-1.6668923930419224
1988-09-07,1988-09-28,16,1,1.0,-0.528784125927924
1988-10-03,1988-11-07,26,1,1.3076923076923077,-5.1941813506047225
1988-11-21,1988-12-01,9,-1,1.0,-0.3381557051524444
1988-12-15,1988-12-20,4,-1,1.0,-1.5886490393826818
1988-12-29,1989-01-12,11,-1,1.0,-0.7133142454843187
1989-01-19,1989-02-09,16,1,1.0,-1.3385190969858833
1989-02-13,1989-04-03,36,-1,1.2777777777777777,-2.252536167890399
1989-04-06,1989-04-07,2,1,1.0,-0.960624032531453
1989-04-19,1989-04-20,2,1,1.0,-1.3980694243571694
1989-04-28,1989-05-09,8,1,1.0,-1.5233875342534793
1989-05-15,1989-08-14,66,1,1.9848484848484849,7.333726379346002
1989-09-11,1989-09-22,10,1,1.0,-1.4007794355417826
1989-10-06,1989-12-26,58,1,1.8620689655172413,-0.5437532798664519
1990-01-15,1990-05-11,85,-1,1.611764705882353,-1.1157487843986915
1990-06-04,1990-06-19,12,1,1.0,-1.0238271960497962
1990-07-02,1990-07-06,5,1,1.0,-1.273547781814044
1990-07-18,1990-07-18,1,1,1.0,-0.023535705382868435
1990-07-31,1990-08-06,5,1,1.0,-4.52382029425351
1990-08-08,1990-10-01,39,-1,1.1282051282051282,-5.13799719512405
1990-10-05,1990-10-09,3,1,1.0,-2.338819580028802
1990-10-12,1990-10-16,3,-1,1.0,-0.6517014633391018
1990-10-22,1990-10-30,7,1,1.0,-0.9637815372981458
1990-11-02,1991-01-09,49,1,1.7959183673469388,2.8088238725905574
1991-01-18,1991-02-28,30,1,1.4666666666666666,-1.7239671409473103
1991-03-20,1991-03-22,3,-1,1.0,-0.8378656147604463
1991-03-29,1991-04-22,17,1,1.0,-0.8377261950309216
1991-05-01,1991-05-10,8,1,1.0,-2.085549982333275
1991-05-31,1991-06-03,2,1,1.0,-1.0854325862147234
1991-06-10,1991-06-28,15,-1,1.0,-1.0851544847093164
1991-07-10,1991-07-11,2,-1,1.0,-0.77195323800202
1991-07-25,1992-01-24,132,1,2.409090909090909,32.30433283995693
1992-01-29,1992-01-29,1,1,1.0,-0.022799092391947273
1992-02-06,1992-02-13,6,1,1.0,-2.648125440792428
1992-03-02,1992-03-03,2,1,1.0,-0.5866203079104639
1992-03-16,1992-03-19,4,-1,1.0,-1.7747073315579127
1992-04-02,1992-04-20,13,1,1.0,-0.9001337454013023
1992-05-07,1992-10-20,119,1,2.3445378151260505,24.90472747037127
1992-11-19,1992-11-27,7,1,1.0,-1.7148931432024206
1992-12-07,1993-11-02,237,1,2.476793248945148,40.131815033480315
1993-11-08,1993-11-09,2,-1,1.0,-0.39853618074957115
1993-11-18,1993-11-19,2,1,1.0,-1.2735439917999274
1993-12-07,1993-12-14,6,1,1.0,-1.460209870724459
1993-12-23,1994-01-03,8,1,1.0,-2.709991582831026
1994-01-10,1994-02-04,20,1,1.05,-3.7574086519443677
1994-02-09,1994-02-15,5,-1,1.0,-0.21967650262205435
1994-02-18,1994-05-19,65,-1,1.7846153846153847,15.92083685114854
1994-05-25,1994-06-03,8,-1,1.0,-2.2804064991361885
1994-06-20,1994-07-18,21,-1,1.1428571428571428,-2.96804141824928
1994-07-28,1994-07-29,2,-1,1.0,-2.594032276642134
1994-08-12,1994-08-16,3,-1,1.0,-1.5438775893143013
1994-09-12,1994-11-25,55,-1,1.6545454545454545,1.9993778784083291
1994-11-30,1994-12-06,5,-1,1.0,-2.3452438965121414
1995-01-04,1995-01-13,8,-1,1.0,-1.717964023008838
1995-01-30,1995-07-19,123,1,2.040650406504065,27.682024415235503
1995-08-09,1995-08-11,3,1,1.0,-1.902441159810902
1995-08-25,1996-02-20,128,1,2.53125,11.637886296831931
1996-02-26,1996-03-04,6,-1,1.0,-0.774294846039469
1996-03-08,1996-06-28,81,-1,1.1604938271604939,-1.8930799358773909
1996-07-08,1996-07-16,7,-1,1.2857142857142858,-4.527430370687464
1996-08-05,1996-08-23,15,1,1.0,-2.6096709510359
1996-08-28,1996-09-13,13,-1,1.1538461538461537,-1.0311921701730375
1996-09-27,1996-12-11,54,1,2.0,1.843448486948926
1996-12-30,1996-12-31,2,1,1.0,-1.587757446142588
1997-01-03,1997-01-21,13,-1,1.0,-0.21324371969506695
1997-01-27,1997-01-31,5,-1,1.0,-2.150209716222884
1997-02-05,1997-02-26,16,1,1.25,-2.8414144809261033
1997-02-28,1997-04-30,44,-1,1.6363636363636365,0.28230241637964393
1997-05-05,1997-05-21,13,1,1.0,-0.28877174067400285
1997-06-03,1997-08-08,49,1,2.163265306122449,2.464892738076411
1997-08-18,1997-08-22,5,1,1.0,-1.7705336954565076
1997-09-15,1998-02-26,119,1,1.8487394957983194,5.410640616451721
1998-03-12,1998-03-27,12,1,1.0,-1.5207533391948913
1998-04-03,1998-04-22,14,1,1.2142857142857142,-3.375404240840896
1998-04-29,1998-04-30,2,-1,1.0,-1.6453224444676686
1998-05-21,1998-11-04,120,1,2.091666666666667,35.87667781510268
1998-12-01,1998-12-23,17,1,1.0,-2.713813202898602
1999-01-12,1999-01-13,2,-1,1.0,-0.9646453963077825
1999-01-26,1999-02-02,6,1,1.0,-1.5899542303101546
1999-02-05,1999-04-07,44,-1,1.5227272727272727,4.601938380167244
1999-04-23,1999-07-13,58,-1,1.9310344827586208,5.713827867704018
1999-07-23,1999-08-25,24,-1,1.6666666666666667,-3.626568013878706
1999-08-31,1999-09-23,18,-1,1.0,-2.338650887659593
1999-09-30,1999-10-29,22,-1,1.5,-2.234894673919808
1999-11-08,1999-11-17,8,1,1.0,-1.0719900142559529
1999-11-23,1999-12-10,14,-1,1.0714285714285714,-1.7167444660284616
1999-12-16,2000-02-22,49,-1,2.061224489795918,4.418120693437922
2000-03-17,2000-04-25,28,1,1.3928571428571428,-1.5012064187805867
2000-05-03,2000-05-25,17,-1,1.2352941176470589,-1.3212685918254896
2000-06-02,2000-07-17,32,1,1.34375,-1.4187951498471936
2000-07-21,2000-11-07,78,1,2.0128205128205128,1.7021703930423047
2000-11-10,2001-04-12,110,1,2.3181818181818183,22.4618326337345
2001-05-10,2001-05-10,1,1,1.0,-0.025007273655488802
2001-05-16,2001-05-23,6,-1,1.0,-0.7628857768234292
2001-05-28,2001-05-31,4,-1,1.0,-1.5729951426708237
2001-06-06,2001-06-28,17,1,1.1764705882352942,-3.439510452878905
2001-07-12,2001-11-15,91,1,2.3956043956043955,9.916087152011638
2001-11-26,2001-11-29,4,-1,1.0,-3.9207217243652472
2001-12-05,2001-12-05,1,1,1.0,-0.03185485956405458
2001-12-10,2001-12-12,3,-1,1.0,-2.4699765629669193
2001-12-18,2001-12-19,2,-1,1.0,-1.2983974511286764
2002-01-14,2002-01-23,8,1,1.0,-1.6418617009623167
2002-02-05,2002-03-04,20,1,1.0,-1.336696352517554
2002-03-08,2002-04-03,19,-1,1.0,-1.6421513391682512
2002-04-15,2002-05-14,22,1,1.3636363636363635,-1.536795571129832
2002-05-22,2002-10-21,109,1,2.256880733944954,40.356198216013325
2002-10-28,2002-11-22,20,1,1.6,-2.619463062212916
2002-11-27,2002-11-27,1,1,1.0,-0.03277140255534961
2002-12-06,2003-03-20,75,1,1.92,2.3854230188471313
2003-03-28,2003-07-03,70,1,2.0285714285714285,16.781003378511834
2003-07-18,2003-09-05,36,-1,1.0277777777777777,5.029107705449876
2003-09-16,2003-10-07,16,1,1.0,0.7932455248660579
2003-10-17,2003-10-20,2,-1,1.0,-0.3958895136708642
2003-10-29,2003-10-30,2,1,1.0,-1.3026499960941096
2003-11-17,2003-11-28,10,1,1.0,-2.74089547541602
2003-12-15,2004-01-02,15,1,1.0,-1.1317187701026357
2004-01-09,2004-01-28,14,1,1.3571428571428572,-4.101395523560146
2004-02-04,2004-04-02,43,1,1.558139534883721,3.584795444735921
2004-04-14,2004-05-27,32,-1,1.1875,0.3026810604509782
2004-06-03,2004-06-15,9,-1,1.0,-0.9719210441733686
2004-07-05,2004-07-27,17,1,1.0,-1.7204778463131567
2004-08-03,2004-11-08,70,1,1.6142857142857143,0.9754900424751938
2004-11-18,2004-11-26,7,1,1.0,-1.700226126045853
2004-12-02,2004-12-03,2,-1,1.0,-1.997038678724816
2004-12-09,2004-12-27,13,1,1.0769230769230769,-1.8787833874720095
2005-01-14,2005-02-17,25,1,1.16,0.04108073400484691
2005-03-01,2005-04-01,24,-1,1.375,-1.6463456418215339
2005-04-14,2005-07-05,59,1,1.576271186440678,-0.4969136594402648
2005-07-22,2005-07-28,5,-1,1.0,-0.4589590737065444
2005-08-02,2005-08-12,9,-1,1.3333333333333333,-3.1737215786891855
2005-08-26,2005-09-15,15,1,1.2666666666666666,-1.001313858499969
2005-09-28,2005-11-22,40,-1,1.65,-0.11797810304055123
2005-12-02,2005-12-14,9,-1,1.0,-1.2398521080237959
2005-12-28,2006-01-10,10,1,1.0,-0.7087204598244886
2006-01-18,2006-01-20,3,1,1.0,-0.3955280811856182
2006-01-27,2006-06-13,98,-1,2.0714285714285716,6.201753170608786
2006-06-15,2006-07-20,26,-1,1.7692307692307692,-2.9318173353146704
2006-08-03,2006-08-14,8,1,1.0,-0.735818360415514
2006-08-17,2006-10-10,39,1,1.564102564102564,-3.1790168683924787
2006-10-30,2006-12-15,35,1,1.4,-1.973756470513853
2006-12-29,2007-01-04,5,-1,1.0,-1.2046802782542083
