,US10
1982-08-30,0.0
1982-08-31,0.0
1982-09-01,0.0
1982-09-02,0.0
1982-09-03,0.0
1982-09-06,0.0
1982-09-07,0.0
1982-09-08,0.0
1982-09-09,0.0
1982-09-10,0.0
1982-09-13,0.0
1982-09-14,0.0
1982-09-15,0.0
1982-09-16,0.0
1982-09-17,0.0
1982-09-20,0.0
1982-09-21,-0.0053515192053099625
1982-09-22,-0.01920574843820022
1982-09-23,0.38814773533510927
1982-09-24,-0.365412884729055
1982-09-27,-0.2549967403457698
1982-09-28,0.6988148533246585
1982-09-29,0.5918223625430041
1982-09-30,1.1796558244741018
1982-10-01,2.790530107216904
1982-10-04,0.35039478902172405
1982-10-05,0.9338098970951947
1982-10-06,2.1702490683346287
1982-10-07,5.031016042248004
1982-10-08,5.665295528990488
1982-10-11,9.45922438189928
1982-10-12,9.233464731611619
1982-10-13,10.132123289045891
1982-10-14,7.673001921805844
1982-10-15,5.822372201274795
1982-10-18,7.961775841565899
1982-10-19,8.811974826318236
1982-10-20,7.812264807601443
1982-10-21,8.024520203941421
1982-10-22,6.464916193497028
1982-10-25,3.589982663878155
1982-10-26,5.220752397078887
1982-10-27,4.8952256943504135
1982-10-28,5.691773814466883
1982-10-29,6.375467476329222
1982-11-01,6.9362977833184125
1982-11-02,6.928723471556353
1982-11-03,7.88105741497489
1982-11-04,8.123899243935973
1982-11-05,7.155913150926052
1982-11-08,6.523023538878392
1982-11-09,6.937602327206127
1982-11-10,7.0645907299696775
1982-11-11,5.793198715051284
1982-11-12,6.477035807296483
1982-11-15,5.820831349682032
1982-11-16,4.916620020148743
1982-11-17,6.05711176246122
1982-11-18,6.676883009323098
1982-11-19,6.782195134150615
1982-11-22,6.387092643469527
1982-11-23,5.788665247350022
1982-11-24,5.639899936845927
1982-11-25,5.637626728573997
1982-11-26,5.036812726555229
1982-11-29,3.557141273909048
1982-11-30,3.636311261555303
1982-12-01,3.65351903846729
1982-12-02,3.6859107631667998
1982-12-03,3.802557412775376
1982-12-06,3.7924804833682435
1982-12-07,3.7177492933113676
1982-12-08,2.9074543769573635
1982-12-09,3.0982193598072527
1982-12-10,2.4892955017133955
1982-12-13,2.9129773387631674
1982-12-14,3.202420087528446
1982-12-15,3.119623481323708
1982-12-16,2.752259822671488
1982-12-17,2.8678561149720005
1982-12-20,2.752129776842649
1982-12-21,3.3879085798368624
1982-12-22,3.250054011991854
1982-12-23,3.5641117380423193
1982-12-24,3.5576933528223886
1982-12-27,4.020466794992816
1982-12-28,4.01195966040484
1982-12-29,3.61979646721029
1982-12-30,3.67160636544388
1982-12-31,3.67160636544388
1983-01-03,5.019337248194633
1983-01-04,4.4857888207791685
1983-01-05,4.55109243879217
1983-01-06,4.289714707695191
1983-01-07,4.420076851079813
1983-01-10,4.550601947143651
1983-01-11,5.465419714181152
1983-01-12,5.661107505593743
1983-01-13,5.865021749249766
1983-01-14,6.241381064533558
1983-01-17,6.23729353854463
1983-01-18,6.235259773371027
1983-01-19,4.469098579638731
1983-01-20,4.0060574589933395
1983-01-21,1.7229062982868193
1983-01-24,0.562558204879493
1983-01-25,0.9493294330908508
1983-01-26,0.9493294330908508
1983-01-27,0.9473997236529197
1983-01-28,0.969481967342456
1983-01-31,1.0085800106673704
1983-02-01,0.9819896544141615
1983-02-02,0.9819896544141615
1983-02-03,1.2091991311365957
1983-02-04,1.3932662502516013
1983-02-07,1.184169470046359
1983-02-08,1.184169470046359
1983-02-09,1.2727056183326368
1983-02-10,0.29795582675617993
1983-02-11,-0.1538328476877182
1983-02-14,-0.18854666125638353
1983-02-15,-0.20651123383850223
1983-02-16,-0.11295483812022722
1983-02-17,0.07250493664263669
1983-02-18,0.32053449956070956
1983-02-21,0.30589558732625477
1983-02-22,1.5597192821678263
1983-02-23,0.9718125216920726
1983-02-24,1.7935326926153516
1983-02-25,4.74819190892648
1983-02-28,3.6949858072645503
1983-03-01,5.282815277438302
1983-03-02,5.161942828698307
1983-03-03,5.7844447066975
1983-03-04,4.364366319883195
1983-03-07,1.1029798723868556
1983-03-08,-0.5655649632350102
1983-03-09,-0.49912095583876104
1983-03-10,-0.8944853265799302
1983-03-11,-1.1475812554450515
1983-03-14,-0.3898813447980265
1983-03-15,-0.10972788608025752
1983-03-16,-0.4307972447865849
1983-03-17,-0.6174894999526059
1983-03-18,-0.4777328445619067
1983-03-21,-0.7109881582074595
1983-03-22,-0.8506133311099839
1983-03-23,-0.24642175609643768
1983-03-24,0.0341351827145564
1983-03-25,-0.7196295702246003
1983-03-28,-0.6141441766429723
1983-03-29,-0.29908340077933193
1983-03-30,-0.1495320258804944
1983-03-31,-0.39915819581578527
1983-04-01,-0.39915819581578527
1983-04-04,-0.050555249501138544
1983-04-05,0.9989139203790964
1983-04-06,1.1365374673968365
1983-04-07,0.598639013697122
1983-04-08,0.07049615887522176
1983-04-11,1.8217298416555394
1983-04-12,1.6435418144326475
1983-04-13,2.2643802290325032
1983-04-14,4.298052855324119
1983-04-15,3.6616340702998684
1983-04-18,4.644663405693739
1983-04-19,1.5784629171753828
1983-04-20,2.0945097594917694
1983-04-21,0.8676441623859166
1983-04-22,0.9551260941565776
1983-04-25,1.426650948099284
1983-04-26,1.9591408655768028
1983-04-27,3.1061812003145395
1983-04-28,3.1731491821039626
1983-04-29,3.651603708295892
1983-05-02,3.7515894456540577
1983-05-03,4.349680215876717
1983-05-04,6.451042695391052
1983-05-05,4.9383892350746805
1983-05-06,5.725427154337748
1983-05-09,2.7122524804391146
1983-05-10,4.850479240416439
1983-05-11,4.486779140551245
1983-05-12,3.641089271882403
1983-05-13,4.117011940161963
1983-05-16,1.042306431304052
1983-05-17,0.4373481062542872
1983-05-18,0.3097239937411178
1983-05-19,-0.353577857882148
1983-05-20,-0.5363229478011045
1983-05-23,-0.5925651536847321
1983-05-24,-0.5974452449801215
1983-05-25,-0.5881262554718436
1983-05-26,-0.48560776067279043
1983-05-27,-0.4811579268281019
1983-05-30,-0.48278425560982496
1983-05-31,0.19206686365682568
1983-06-01,-0.0750707544864393
1983-06-02,0.0685713313039793
1983-06-03,0.2843441882371067
1983-06-06,-0.2922907908452621
1983-06-07,0.7094055579460301
1983-06-08,1.8172090190834211
1983-06-09,1.038956716803363
1983-06-10,1.2094599562629815
1983-06-13,-1.2670090170418313
1983-06-14,-0.7105072211015973
1983-06-15,-0.89980055490122
1983-06-16,-1.2758867693442366
1983-06-17,-1.1488928170135138
1983-06-20,-1.3157040603848036
1983-06-21,-1.273659164041041
1983-06-22,-1.2750624286249623
1983-06-23,-1.2668712305952567
1983-06-24,-0.9748275156272634
1983-06-27,-0.5987381970609773
1983-06-28,-1.2449085556748951
1983-06-29,-2.207770697257072
1983-06-30,-2.9269720216776984
1983-07-01,-3.1443551365829547
1983-07-04,-3.149576327814796
1983-07-05,-1.1429566123567159
1983-07-06,-1.4500888683981583
1983-07-07,-0.07039011255572936
1983-07-08,1.2232371542043152
1983-07-11,-0.2654192488304452
1983-07-12,2.8762200448314124
1983-07-13,2.471144928404878
1983-07-14,1.664184662093704
1983-07-15,3.7991325399976628
1983-07-18,0.5294598649877358
1983-07-19,-0.4066221474048559
1983-07-20,-1.339217893050637
1983-07-21,-0.5135419113545203
1983-07-22,0.7176030074924622
1983-07-25,0.09302669876787295
1983-07-26,0.9563290540447467
1983-07-27,1.1698990808618914
1983-07-28,2.9741743574286383
1983-07-29,4.365532122652471
1983-08-01,4.468279421893118
1983-08-02,4.041445736911253
1983-08-03,4.194256610337321
1983-08-04,8.326210099040999
1983-08-05,7.844428777618462
1983-08-08,9.695080633061725
1983-08-09,8.7963698472157
1983-08-10,10.346718117538533
1983-08-11,7.398391742835542
1983-08-12,3.376700884969752
1983-08-15,-1.7047900519452264
1983-08-16,-2.215131548902294
1983-08-17,-3.3231550904970764
1983-08-18,-2.7401951725405382
1983-08-19,-2.5699905140924906
1983-08-22,-3.358564653369056
1983-08-23,-3.218516266026372
1983-08-24,-3.230613951493122
1983-08-25,-3.195644757246685
1983-08-26,-3.195644757246685
1983-08-29,-3.195644757246685
1983-08-30,-3.208832686565566
1983-08-31,-2.8537889887529144
1983-09-01,-3.3474594558584703
1983-09-02,-2.8823191044897833
1983-09-05,-2.8823191044897833
1983-09-06,-4.8853712729596825
1983-09-07,-6.071639268814188
1983-09-08,-5.86190866534726
1983-09-09,-6.006057617703442
1983-09-12,-6.3594848104117645
1983-09-13,-6.330815190148287
1983-09-14,-6.393583691368809
1983-09-15,-6.448834198476616
1983-09-16,-6.4553682657044416
1983-09-19,-6.513833660538371
1983-09-20,-6.691730428383513
1983-09-21,-6.6282669305601445
1983-09-22,-6.581581064025432
1983-09-23,-6.464808040355463
1983-09-26,-6.415572634220668
1983-09-27,-6.634055198032273
1983-09-28,-6.852881631161889
1983-09-29,-6.852881631161889
1983-09-30,-6.5472426490141515
1983-10-03,-6.722466569047247
1983-10-04,-6.722466569047247
1983-10-05,-5.760542005540548
1983-10-06,-5.761844964854868
1983-10-07,-6.048467439781257
1983-10-10,-6.66208838681519
1983-10-11,-7.883912681318861
1983-10-12,-8.046107755692578
1983-10-13,-8.168719586184825
