start,end,days,sign,avg_abs_pos,trade_return_pct
1982-09-21,1983-01-24,90,1,14.966666666666667,0.982264912010987
1983-01-27,1983-02-11,12,-1,7.833333333333333,-1.0924408839536308
1983-02-15,1983-05-20,69,1,25.159420289855074,0.07382867951740338
1983-05-24,1983-06-16,18,-1,14.944444444444445,-0.6380574497467274
1983-06-17,1983-06-20,2,1,3.0,-0.04011480827737218
1983-06-22,1983-08-24,46,-1,29.23913043478261,-1.4121546206489952
1983-08-30,1983-09-12,10,-1,14.7,-3.2892778052786733
1983-09-13,1983-09-14,2,1,1.5,-0.03639414962275425
1983-09-16,1983-09-20,3,-1,4.333333333333333,-0.2597765623156932
1983-09-21,1983-10-12,16,1,12.25,-1.4440717574875088
1983-10-13,1983-10-17,3,-1,4.333333333333333,-0.48092302515162255
1983-10-20,1983-10-24,3,1,5.0,-0.37685208094687395
1983-10-26,1983-11-22,20,-1,9.4,-1.2193398152971995
1983-11-23,1983-12-02,8,1,8.25,-0.6852732678567228
1983-12-05,1983-12-27,17,-1,16.647058823529413,-1.3195769791295782
1983-12-28,1983-12-28,1,1,1.0,0.2518030737687795
1984-01-02,1984-01-10,7,-1,4.285714285714286,-0.1963137576677732
1984-01-11,1984-02-10,23,1,15.347826086956522,-0.9720393817488551
1984-02-13,1984-07-13,110,-1,37.554545454545455,11.40831653235368
1984-07-16,1985-02-22,160,1,29.05,1.0427469338414648
1985-02-25,1985-03-25,21,-1,8.523809523809524,-0.969779829504638
1985-03-27,1986-05-19,299,1,38.147157190635454,98.13774353332778
1986-05-20,1986-05-21,2,-1,1.0,0.08390215195641397
1986-05-22,1986-05-30,7,1,6.285714285714286,-2.758853137111866
1986-06-03,1986-06-06,4,-1,6.0,-0.7803750120593507
1986-06-09,1986-09-12,70,1,22.728571428571428,0.499813308601038
1986-09-18,1987-03-30,138,1,31.579710144927535,-2.7821735221359107
1987-03-31,1987-06-15,55,-1,23.654545454545456,9.00402123571542
1987-06-16,1987-06-26,9,1,2.4444444444444446,-0.12092735611254013
1987-06-29,1987-10-22,84,-1,28.226190476190474,4.04137747054614
1987-10-23,1987-11-27,26,1,8.5,-0.4381510599364307
1987-11-30,1987-12-17,14,-1,5.642857142857143,-1.6194235535155723
1987-12-21,1988-03-28,71,1,20.380281690140844,1.1898264047095757
