start,end,days,sign,bin,trade_return_pp
1982-09-17,1982-10-01,14,1,1,3.145439365338581
1982-09-21,1982-10-08,17,1,1,3.8142521407114627
1982-09-24,1982-10-08,14,1,1,3.7153952433767365
1982-09-28,1982-10-11,13,1,1,3.6718702370307286
1982-10-01,1982-10-11,10,1,1,3.839618572964706
1982-10-04,1982-10-11,7,1,1,4.417922277107504
1982-10-06,1982-10-13,7,1,1,4.500558700319649
1982-10-07,1983-03-24,168,1,1,4.5625
1982-10-11,1983-03-28,168,1,1,1.6875
1982-10-14,1983-03-31,168,1,1,2.5
1982-10-18,1983-04-04,168,1,1,2.59375
1982-10-22,1983-04-08,168,1,1,3.59375
1982-10-25,1983-04-11,168,1,1,5.5
1982-10-26,1983-04-12,168,1,1,4.5
1982-10-28,1983-04-14,168,1,1,4.90625
1982-11-01,1983-04-18,168,1,1,3.65625
1982-11-08,1983-04-25,168,1,1,2.875
1982-11-15,1983-05-02,168,1,1,4.1875
1982-11-17,1983-05-04,168,1,1,4.625
1982-11-23,1983-05-10,168,1,1,4.3125
1982-11-29,1983-04-14,136,1,1,4.984479541821775
1982-12-03,1983-05-20,168,1,1,2.3125
1982-12-08,1983-05-03,146,1,1,4.806476728019416
1982-12-10,1983-04-14,125,1,1,4.7259657457111865
1982-12-14,1983-05-04,141,1,1,4.6730699371233495
1982-12-16,1983-04-14,119,1,1,4.572828673820455
1982-12-21,1983-06-07,168,1,1,0.90625
1983-01-04,1983-02-04,31,1,0,-2.049497410849012
1983-01-11,1983-01-31,20,1,0,-1.849456056060068
1983-01-19,1983-01-31,12,1,0,-1.6805705199223884
1983-01-21,1983-04-18,87,1,1,3.5665114753047225
1983-01-24,1983-04-14,80,1,1,3.603765932785626
1983-01-25,1983-04-18,83,1,1,3.6246065239403493
1983-01-28,1983-04-14,76,1,1,3.442378016317507
1983-02-03,1983-02-25,22,1,1,3.2526997533357833
1983-02-10,1983-02-25,15,1,1,3.177552384621352
1983-02-16,1983-03-01,13,1,1,2.999531396507076
1983-02-17,1983-04-14,56,1,1,3.1300685565495376
1983-02-18,1983-05-04,75,1,1,3.2688817216695223
1983-02-25,1983-05-31,95,1,0,-1.7753656535021505
1983-03-03,1983-03-10,7,1,0,-1.6711410235990933
1983-03-07,1983-06-27,112,1,0,-1.7602581648673392
1983-03-10,1983-07-05,117,1,0,-1.6777263272093295
1983-03-14,1983-06-27,105,1,0,-1.6855004947144643
1983-03-17,1983-06-27,102,1,0,-1.6060999139369283
1983-03-23,1983-06-27,96,1,0,-1.5044705225425985
1983-03-25,1983-05-04,40,1,1,3.0129492041935513
1983-04-05,1983-05-31,56,1,0,-1.475675449780096
1983-04-08,1983-06-08,61,1,0,-1.3920751243162586
1983-04-11,1983-05-31,50,1,0,-1.4674738478600293
1983-04-14,1983-05-26,42,1,0,-1.5045437784589493
1983-04-19,1983-05-31,42,1,0,-1.5696118723960664
1983-04-26,1983-05-31,35,1,0,-1.4417665623570837
1983-04-27,1983-05-26,29,1,0,-1.4664711143811917
1983-05-03,1983-05-19,16,1,0,-1.337982239542027
1983-05-04,1983-05-17,13,1,0,-1.3879725860633572
1983-05-09,1983-05-20,11,1,0,-1.4274473041408258
1983-05-10,1983-05-19,9,1,0,-1.4452856173760138
1983-05-16,1983-05-31,15,1,0,-1.5242589335554702
1983-05-19,1983-05-31,12,1,0,-1.4793147988957493
1983-05-26,1983-06-08,13,1,0,-1.3496538086763339
1983-06-01,1983-06-27,26,1,0,-1.3191093857345038
1983-06-07,1983-07-05,28,1,0,-1.275512152558076
1983-06-08,1983-07-07,29,1,0,-1.3212057707855993
1983-06-09,1983-07-05,26,1,0,-1.3239473948459248
1983-06-13,1983-06-27,14,1,0,-1.497309295252046
1983-06-16,1983-06-24,8,1,0,-1.4694311676555685
1983-06-20,1983-07-05,15,1,0,-1.5039765351298007
1983-06-24,1983-07-08,14,1,0,-1.5347762422886444
1983-06-27,1983-08-04,38,-1,1,3.1565083292771265
1983-06-29,1983-07-29,30,-1,1,3.1415918276565273
1983-07-06,1983-08-04,29,-1,1,2.973051261434962
1983-07-07,1983-08-10,34,-1,1,3.001596593975283
1983-07-08,1983-09-26,80,-1,0,-1.5072514726577495
1983-07-11,1983-08-10,30,-1,1,3.026713003730289
1983-07-12,1983-09-23,73,-1,0,-1.620412140984704
1983-07-15,1983-09-23,70,-1,0,-1.5761676411916297
1983-07-18,1983-10-05,79,-1,0,-1.6763320707671876
1983-07-20,1983-08-08,19,-1,1,3.2470010476518496
1983-07-22,1983-09-26,66,-1,0,-1.6450263495317956
1983-07-27,1983-09-23,58,-1,0,-1.5783440971155154
1983-07-28,1983-09-20,54,-1,0,-1.6567246555944117
1983-07-29,1983-08-22,24,-1,0,-1.6683168180030137
1983-08-04,1983-08-15,11,-1,0,-1.6865019238385865
1983-08-10,1983-08-15,5,-1,0,-1.573718053974245
1983-08-11,1983-08-16,5,-1,0,-1.5901384649565147
1983-08-12,1983-08-22,10,-1,0,-1.6573003864259332
1983-08-15,1983-09-23,39,-1,0,-1.8073028501900756
1983-08-17,1983-10-05,49,-1,0,-1.7924494670855902
1983-08-19,1983-09-23,35,-1,0,-1.7592863668487895
1983-08-22,1984-02-06,168,-1,0,-0.6875
1983-08-26,1983-10-05,40,-1,0,-1.8487345054155162
