config,fold,n_train,n_test,precision,recall,f1_at_classify_thr,classify_threshold
feat=ER_plus_rest_tau=0.50,0,2029,2073,0.5031,0.3041,0.379,0.5
feat=ER_plus_rest_tau=0.50,1,1339,2072,0.4471,0.1323,0.2042,0.5
feat=ER_plus_rest_tau=0.50,2,649,2072,0.5463,0.2282,0.3219,0.5
feat=ER_plus_rest_tau=0.50,4,1339,2072,0.4776,0.1598,0.2395,0.5
feat=ER_plus_rest_tau=0.50,5,649,2072,0.4975,0.1992,0.2845,0.5
feat=ER_plus_rest_tau=0.50,7,649,2071,0.4899,0.1834,0.2669,0.5
feat=ER_plus_rest_tau=0.50,10,1989,2072,0.5076,0.2334,0.3197,0.5
feat=ER_plus_rest_tau=0.50,11,1299,2072,0.5069,0.2859,0.3656,0.5
feat=ER_plus_rest_tau=0.50,12,650,2072,0.5022,0.46,0.4802,0.5
feat=ER_plus_rest_tau=0.50,13,1299,2071,0.4417,0.2476,0.3173,0.5
feat=ER_plus_rest_tau=0.50,14,650,2071,0.4659,0.4967,0.4808,0.5
feat=ER_plus_rest_tau=0.50,15,650,2071,0.4485,0.4233,0.4356,0.5
feat=ER_plus_rest_tau=0.50,16,1990,2071,0.4373,0.3178,0.3681,0.5
feat=ER_plus_rest_tau=0.50,17,1341,2071,0.4614,0.605,0.5235,0.5
feat=ER_plus_rest_tau=0.50,18,1341,2071,0.4707,0.5315,0.4992,0.5
feat=ER_plus_rest_tau=0.50,19,2032,2070,0.4253,0.6296,0.5076,0.5
