index,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-04-03 23:00:00,3121.7,3147.8,3147.8,20250600,20250800,20250800
2025-04-04 23:00:00,3035.4,3060.3,3060.3,20250600,20250800,20250800
2025-04-07 23:00:00,2973.6,2998.0,2998.0,20250600,20250800,20250800
2025-04-08 23:00:00,2990.2,3015.2,3015.2,20250600,20250800,20250800
2025-04-09 23:00:00,3079.4,3105.2,3105.2,20250600,20250800,20250800
2025-04-10 23:00:00,3177.5,3203.8,3203.8,20250600,20250800,20250800
2025-04-11 23:00:00,3244.6,3272.1,3272.1,20250600,20250800,20250800
2025-04-14 23:00:00,3226.3,3253.1,3253.1,20250600,20250800,20250800
2025-04-15 23:00:00,3240.4,3267.5,3267.5,20250600,20250800,20250800
2025-04-16 23:00:00,3346.4,3375.1,3375.1,20250600,20250800,20250800
2025-04-17 23:00:00,3328.4,3357.1,3357.1,20250600,20250800,20250800
2025-04-21 23:00:00,3425.3,3454.6,3454.6,20250600,20250800,20250800
2025-04-22 23:00:00,3419.4,3448.7,3448.7,20250600,20250800,20250800
2025-04-23 23:00:00,3294.1,3322.6,3322.6,20250600,20250800,20250800
2025-04-24 23:00:00,3348.6,3377.9,3377.9,20250600,20250800,20250800
2025-04-25 23:00:00,3298.4,3327.2,3327.2,20250600,20250800,20250800
2025-04-28 23:00:00,3347.7,3376.8,3376.8,20250600,20250800,20250800
2025-04-29 23:00:00,3333.6,3362.5,3362.5,20250600,20250800,20250800
2025-04-30 23:00:00,3319.1,3347.9,3347.9,20250600,20250800,20250800
2025-05-01 23:00:00,3250.3,3276.5,3276.5,20250800,20251000,20251000
2025-05-02 23:00:00,3271.7,3298.1,3298.1,20250800,20251000,20251000
2025-05-05 23:00:00,3351.1,3378.1,3378.1,20250800,20251000,20251000
2025-05-06 23:00:00,3452.1,3480.0,3480.0,20250800,20251000,20251000
2025-05-07 23:00:00,3421.2,3449.1,3449.1,20250800,20251000,20251000
2025-05-08 23:00:00,3334.7,3362.3,3362.3,20250800,20251000,20251000
2025-05-09 23:00:00,3372.6,3400.2,3400.2,20250800,20251000,20251000
2025-05-12 23:00:00,3256.1,3283.3,3283.3,20250800,20251000,20251000
2025-05-13 23:00:00,3275.9,3303.5,3303.5,20250800,20251000,20251000
2025-05-14 23:00:00,3216.0,3243.2,3243.2,20250800,20251000,20251000
2025-05-15 23:00:00,3254.1,3281.2,3281.2,20250800,20251000,20251000
2025-05-16 23:00:00,3214.4,3241.4,3241.4,20250800,20251000,20251000
2025-05-19 23:00:00,3261.4,3288.9,3288.9,20250800,20251000,20251000
2025-05-20 23:00:00,3312.6,3340.0,3340.0,20250800,20251000,20251000
2025-05-21 23:00:00,3341.9,3370.0,3370.0,20250800,20251000,20251000
2025-05-22 23:00:00,3323.6,3351.7,3351.7,20250800,20251000,20251000
2025-05-23 23:00:00,3394.5,3422.9,3422.9,20250800,20251000,20251000
2025-05-27 23:00:00,3328.3,3356.9,3356.9,20250800,20251000,20251000
2025-05-28 23:00:00,3322.4,3350.3,3350.3,20250800,20251000,20251000
2025-05-29 23:00:00,3343.9,3371.3,3371.3,20250800,20251000,20251000
2025-05-30 23:00:00,3315.4,3342.6,3342.6,20250800,20251000,20251000
2025-06-02 23:00:00,3397.2,3424.8,3424.8,20250800,20251000,20251000
2025-06-03 23:00:00,3377.1,3404.8,3404.8,20250800,20251000,20251000
2025-06-04 23:00:00,3399.2,3427.2,3427.2,20250800,20251000,20251000
2025-06-05 23:00:00,3375.1,3402.9,3402.9,20250800,20251000,20251000
2025-06-06 23:00:00,3346.6,3374.5,3374.5,20250800,20251000,20251000
2025-06-09 23:00:00,3354.9,3382.6,3382.6,20250800,20251000,20251000
2025-06-10 23:00:00,3343.4,3371.2,3371.2,20250800,20251000,20251000
2025-06-11 23:00:00,3343.7,3371.4,3371.4,20250800,20251000,20251000
2025-06-12 23:00:00,3402.4,3429.9,3429.9,20250800,20251000,20251000
2025-06-13 23:00:00,3452.8,3480.5,3480.5,20250800,20251000,20251000
2025-06-16 23:00:00,3417.3,3445.0,3445.0,20250800,20251000,20251000
2025-06-17 23:00:00,3406.9,3434.6,3434.6,20250800,20251000,20251000
