DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-06-17 23:00:00,922.35,918.65,918.65,20250700,20250800,20250800
2025-06-18 23:00:00,918.7,915.05,915.05,20250700,20250800,20250800
2025-06-19 23:00:00,910.8,907.15,907.15,20250700,20250800,20250800
2025-06-20 23:00:00,910.05,906.4,906.4,20250700,20250800,20250800
2025-06-23 23:00:00,918.2,914.55,914.55,20250700,20250800,20250800
2025-06-24 23:00:00,926.15,922.55,922.55,20250700,20250800,20250800
2025-06-25 23:00:00,919.25,915.6,915.6,20250700,20250800,20250800
2025-06-26 23:00:00,912.05,908.4,908.4,20250700,20250800,20250800
2025-06-27 23:00:00,921.4,917.8,917.8,20250700,20250800,20250800
2025-06-30 23:00:00,914.45,910.9,910.9,20250700,20250800,20250800
2025-07-01 23:00:00,910.35,906.75,906.75,20250700,20250800,20250800
2025-07-02 23:00:00,911.6,908.0,908.0,20250700,20250800,20250800
2025-07-03 23:00:00,916.2,912.7,912.7,20250700,20250800,20250800
2025-07-04 23:00:00,909.15,905.55,905.55,20250700,20250800,20250800
2025-07-07 23:00:00,914.8,911.2,911.2,20250700,20250800,20250800
2025-07-08 23:00:00,917.5,913.95,913.95,20250700,20250800,20250800
2025-07-09 23:00:00,919.5,915.85,915.85,20250700,20250800,20250800
2025-07-10 23:00:00,927.8,924.15,924.15,20250700,20250800,20250800
2025-07-11 23:00:00,921.9,918.3,918.3,20250700,20250800,20250800
2025-07-14 23:00:00,920.85,917.1,917.1,20250700,20250800,20250800
2025-07-15 23:00:00,923.65,919.9,919.9,20250700,20250800,20250800
2025-07-16 23:00:00,898.7,900.25,900.25,20250800,20250900,20250900
2025-07-17 23:00:00,910.95,912.45,912.45,20250800,20250900,20250900
2025-07-18 23:00:00,908.3,909.8,909.8,20250800,20250900,20250900
2025-07-21 23:00:00,904.8,906.2,906.2,20250800,20250900,20250900
2025-07-22 23:00:00,897.45,898.75,898.75,20250800,20250900,20250900
2025-07-23 23:00:00,904.4,905.85,905.85,20250800,20250900,20250900
2025-07-24 23:00:00,909.35,910.8,910.8,20250800,20250900,20250900
2025-07-25 23:00:00,901.55,903.0,903.0,20250800,20250900,20250900
2025-07-28 23:00:00,904.45,905.95,905.95,20250800,20250900,20250900
2025-07-29 23:00:00,906.3,907.65,907.65,20250800,20250900,20250900
2025-07-30 23:00:00,905.95,907.35,907.35,20250800,20250900,20250900
2025-07-31 23:00:00,909.1,902.35,902.35,20250800,20250900,20250900
2025-08-01 23:00:00,881.0,882.4,882.4,20250800,20250900,20250900
2025-08-04 23:00:00,950.05,955.05,955.05,20250800,20250900,20250900
2025-08-05 23:00:00,883.95,885.35,885.35,20250800,20250900,20250900
2025-08-06 23:00:00,880.85,882.2,882.2,20250800,20250900,20250900
2025-08-07 23:00:00,889.55,890.95,890.95,20250800,20250900,20250900
2025-08-08 23:00:00,888.75,890.15,890.15,20250800,20250900,20250900
2025-08-11 23:00:00,891.5,892.9,892.9,20250800,20250900,20250900
2025-08-12 23:00:00,892.6,894.0,894.0,20250800,20250900,20250900
2025-08-13 23:00:00,897.85,899.25,899.25,20250800,20250900,20250900
2025-08-14 23:00:00,898.4,899.75,899.75,20250800,20250900,20250900
2025-08-15 23:00:00,893.6,897.0,897.0,20250800,20250900,20250900
2025-08-18 23:00:00,898.15,899.6,899.6,20250900,20251000,20251000
2025-08-19 23:00:00,903.05,904.55,904.55,20250900,20251000,20251000
2025-08-20 23:00:00,909.85,911.3,911.3,20250900,20251000,20251000
2025-08-21 23:00:00,908.6,910.05,910.05,20250900,20251000,20251000
2025-08-22 23:00:00,913.95,915.4,915.4,20250900,20251000,20251000
2025-08-25 23:00:00,912.05,913.5,913.5,20250900,20251000,20251000
