DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-05-29 23:00:00,4.674,4.728,4.728,20250700,20250900,20250900
2025-05-30 23:00:00,4.678,4.73,4.73,20250700,20250900,20250900
2025-06-02 23:00:00,4.858,4.908,4.908,20250700,20250900,20250900
2025-06-03 23:00:00,4.834,4.886,4.886,20250700,20250900,20250900
2025-06-04 23:00:00,4.886,4.94,4.94,20250700,20250900,20250900
2025-06-05 23:00:00,4.932,4.984,4.984,20250700,20250900,20250900
2025-06-06 23:00:00,4.848,4.902,4.902,20250700,20250900,20250900
2025-06-09 23:00:00,4.924,4.98,4.98,20250700,20250900,20250900
2025-06-10 23:00:00,4.9,4.952,4.952,20250700,20250900,20250900
2025-06-11 23:00:00,4.814,4.866,4.866,20250700,20250900,20250900
2025-06-12 23:00:00,4.834,4.89,4.89,20250700,20250900,20250900
2025-06-13 23:00:00,4.814,4.868,4.868,20250700,20250900,20250900
2025-06-16 23:00:00,4.836,4.892,4.892,20250700,20250900,20250900
2025-06-17 23:00:00,4.81,4.864,4.864,20250700,20250900,20250900
2025-06-18 23:00:00,4.852,4.906,4.906,20250700,20250900,20250900
2025-06-20 23:00:00,4.834,4.884,4.884,20250700,20250900,20250900
2025-06-23 23:00:00,4.85,4.904,4.904,20250700,20250900,20250900
2025-06-24 23:00:00,4.872,4.924,4.924,20250700,20250900,20250900
2025-06-25 23:00:00,4.918,4.972,4.972,20250700,20250900,20250900
2025-06-26 23:00:00,5.066,5.122,5.122,20250700,20250900,20250900
2025-06-27 23:00:00,5.066,5.124,5.124,20250700,20250900,20250900
2025-06-30 23:00:00,5.082,5.148,5.148,20250900,20251200,20251200
2025-07-01 23:00:00,5.1,5.166,5.166,20250900,20251200,20251200
2025-07-02 23:00:00,5.198,5.266,5.266,20250900,20251200,20251200
2025-07-03 23:00:00,5.144,5.218,5.218,20250900,20251200,20251200
2025-07-07 23:00:00,5.026,5.098,5.098,20250900,20251200,20251200
2025-07-08 23:00:00,5.686,5.754,5.754,20250900,20251200,20251200
2025-07-09 23:00:00,5.486,5.55,5.55,20250900,20251200,20251200
2025-07-10 23:00:00,5.592,5.658,5.658,20250900,20251200,20251200
2025-07-11 23:00:00,5.604,5.674,5.674,20250900,20251200,20251200
2025-07-14 23:00:00,5.55,5.622,5.622,20250900,20251200,20251200
2025-07-15 23:00:00,5.576,5.648,5.648,20250900,20251200,20251200
2025-07-16 23:00:00,5.526,5.594,5.594,20250900,20251200,20251200
2025-07-17 23:00:00,5.512,5.582,5.582,20250900,20251200,20251200
2025-07-18 23:00:00,5.604,5.674,5.674,20250900,20251200,20251200
2025-07-21 23:00:00,5.638,5.706,5.706,20250900,20251200,20251200
2025-07-22 23:00:00,5.722,5.79,5.79,20250900,20251200,20251200
2025-07-23 23:00:00,5.818,5.884,5.884,20250900,20251200,20251200
2025-07-24 23:00:00,5.802,5.872,5.872,20250900,20251200,20251200
2025-07-25 23:00:00,5.786,5.854,5.854,20250900,20251200,20251200
2025-07-28 23:00:00,5.616,5.686,5.686,20250900,20251200,20251200
2025-07-29 23:00:00,5.626,5.696,5.696,20250900,20251200,20251200
2025-07-30 23:00:00,5.586,5.656,5.656,20250900,20251200,20251200
