DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-05-30 23:00:00,138.48,,,20250900,20251200,20251200
2025-06-02 23:00:00,138.36,138.36,138.36,20250900,20251200,20251200
2025-06-03 23:00:00,138.48,,,20250900,20251200,20251200
2025-06-04 23:00:00,138.38,,,20250900,20251200,20251200
2025-06-05 23:00:00,138.66,,,20250900,20251200,20251200
2025-06-06 23:00:00,138.82,,,20250900,20251200,20251200
2025-06-07 23:00:00,138.51,,,20250900,20251200,20251200
2025-06-09 23:00:00,138.69,138.69,138.69,20250900,20251200,20251200
2025-06-10 23:00:00,138.62,,,20250900,20251200,20251200
2025-06-11 23:00:00,138.76,,,20250900,20251200,20251200
2025-06-12 23:00:00,138.96,,,20250900,20251200,20251200
2025-06-13 23:00:00,139.4,,,20250900,20251200,20251200
2025-06-14 23:00:00,139.2,,,20250900,20251200,20251200
2025-06-16 23:00:00,138.91,138.91,138.91,20250900,20251200,20251200
2025-06-17 23:00:00,138.86,,,20250900,20251200,20251200
2025-06-18 23:00:00,139.0,,,20250900,20251200,20251200
2025-06-19 23:00:00,139.32,,,20250900,20251200,20251200
2025-06-20 23:00:00,139.37,,,20250900,20251200,20251200
2025-06-21 23:00:00,139.33,,,20250900,20251200,20251200
2025-06-23 23:00:00,139.2,138.7,138.7,20250900,20251200,20251200
2025-06-24 23:00:00,139.12,,,20250900,20251200,20251200
2025-06-25 23:00:00,139.44,,,20250900,20251200,20251200
2025-06-26 23:00:00,139.14,,,20250900,20251200,20251200
2025-06-27 23:00:00,138.93,,,20250900,20251200,20251200
2025-06-28 23:00:00,138.91,,,20250900,20251200,20251200
2025-06-30 23:00:00,139.1,138.55,138.55,20250900,20251200,20251200
2025-07-01 23:00:00,139.34,,,20250900,20251200,20251200
2025-07-02 23:00:00,139.02,,,20250900,20251200,20251200
2025-07-03 23:00:00,139.06,,,20250900,20251200,20251200
2025-07-04 23:00:00,139.2,,,20250900,20251200,20251200
2025-07-05 23:00:00,139.14,,,20250900,20251200,20251200
2025-07-07 23:00:00,139.14,138.55,138.55,20250900,20251200,20251200
2025-07-08 23:00:00,138.88,,,20250900,20251200,20251200
