DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-05-30 23:00:00,138.53,137.59,137.59,20250900,20251200,20251200
2025-06-02 23:00:00,138.45,137.53,137.53,20250900,20251200,20251200
2025-06-03 23:00:00,138.57,137.66,137.66,20250900,20251200,20251200
2025-06-04 23:00:00,138.37,137.45,137.45,20250900,20251200,20251200
2025-06-05 23:00:00,138.75,137.85,137.85,20250900,20251200,20251200
2025-06-06 23:00:00,138.77,137.83,137.83,20250900,20251200,20251200
2025-06-09 23:00:00,138.58,137.68,137.68,20250900,20251200,20251200
2025-06-10 23:00:00,138.59,137.66,137.66,20250900,20251200,20251200
2025-06-11 23:00:00,138.81,137.87,137.87,20250900,20251200,20251200
2025-06-12 23:00:00,138.83,137.85,137.85,20250900,20251200,20251200
2025-06-13 23:00:00,139.52,138.54,138.54,20250900,20251200,20251200
2025-06-16 23:00:00,138.93,137.97,137.97,20250900,20251200,20251200
2025-06-17 23:00:00,138.67,137.69,137.69,20250900,20251200,20251200
2025-06-18 23:00:00,138.86,138.02,138.02,20250900,20251200,20251200
2025-06-19 23:00:00,139.33,138.33,138.33,20250900,20251200,20251200
2025-06-20 23:00:00,139.43,138.43,138.43,20250900,20251200,20251200
2025-06-23 23:00:00,139.3,138.3,138.3,20250900,20251200,20251200
2025-06-24 23:00:00,139.25,138.25,138.25,20250900,20251200,20251200
2025-06-25 23:00:00,139.41,138.41,138.41,20250900,20251200,20251200
2025-06-26 23:00:00,139.21,138.21,138.21,20250900,20251200,20251200
2025-06-27 23:00:00,139.07,138.07,138.07,20250900,20251200,20251200
2025-06-30 23:00:00,139.02,138.02,138.02,20250900,20251200,20251200
2025-07-01 23:00:00,139.22,138.22,138.22,20250900,20251200,20251200
2025-07-02 23:00:00,139.12,138.12,138.12,20250900,20251200,20251200
2025-07-03 23:00:00,138.97,137.97,137.97,20250900,20251200,20251200
2025-07-04 23:00:00,139.12,138.12,138.12,20250900,20251200,20251200
2025-07-07 23:00:00,139.12,138.12,138.12,20250900,20251200,20251200
2025-07-08 23:00:00,138.96,137.96,137.96,20250900,20251200,20251200
2025-07-09 23:00:00,138.69,137.69,137.69,20250900,20251200,20251200
2025-07-10 23:00:00,138.73,137.73,137.73,20250900,20251200,20251200
2025-07-11 23:00:00,138.57,137.57,137.57,20250900,20251200,20251200
2025-07-14 23:00:00,138.06,137.06,137.06,20250900,20251200,20251200
2025-07-15 23:00:00,137.92,136.92,136.92,20250900,20251200,20251200
2025-07-16 23:00:00,137.96,136.96,136.96,20250900,20251200,20251200
2025-07-17 23:00:00,138.05,137.05,137.05,20250900,20251200,20251200
2025-07-18 23:00:00,138.35,137.35,137.35,20250900,20251200,20251200
2025-07-22 23:00:00,138.6,137.6,137.6,20250900,20251200,20251200
2025-07-23 23:00:00,137.62,136.62,136.62,20250900,20251200,20251200
2025-07-24 23:00:00,137.51,136.51,136.51,20250900,20251200,20251200
2025-07-25 23:00:00,137.43,136.43,136.43,20250900,20251200,20251200
2025-07-28 23:00:00,137.81,136.81,136.81,20250900,20251200,20251200
2025-07-29 23:00:00,137.9,136.9,136.9,20250900,20251200,20251200
2025-07-30 23:00:00,137.98,136.98,136.98,20250900,20251200,20251200
2025-07-31 23:00:00,138.03,137.03,137.03,20250900,20251200,20251200
2025-08-01 23:00:00,138.08,137.08,137.08,20250900,20251200,20251200
2025-08-04 23:00:00,138.55,137.55,137.55,20250900,20251200,20251200
2025-08-05 23:00:00,138.87,137.87,137.87,20250900,20251200,20251200
2025-08-06 23:00:00,138.6,137.6,137.6,20250900,20251200,20251200
2025-08-07 23:00:00,138.65,137.65,137.65,20250900,20251200,20251200
2025-08-08 23:00:00,138.62,137.62,137.62,20250900,20251200,20251200
2025-08-12 23:00:00,138.56,137.56,137.56,20250900,20251200,20251200
2025-08-13 23:00:00,138.36,137.36,137.36,20250900,20251200,20251200
2025-08-14 23:00:00,137.97,136.97,136.97,20250900,20251200,20251200
2025-08-15 23:00:00,137.91,136.89,136.89,20250900,20251200,20251200
2025-08-18 23:00:00,137.81,136.8,136.8,20250900,20251200,20251200
2025-08-19 23:00:00,137.62,136.59,136.59,20250900,20251200,20251200
2025-08-20 23:00:00,137.52,136.5,136.5,20250900,20251200,20251200
2025-08-21 23:00:00,137.56,136.54,136.54,20250900,20251200,20251200
2025-08-22 23:00:00,137.55,136.53,136.53,20250900,20251200,20251200
2025-08-25 23:00:00,137.5,136.5,136.5,20250900,20251200,20251200
2025-08-26 23:00:00,137.36,136.35,136.35,20250900,20251200,20251200
2025-08-27 23:00:00,137.35,136.34,136.34,20250900,20251200,20251200
2025-08-28 23:00:00,136.42,135.87,135.87,20251200,20260300,20260300
2025-08-29 23:00:00,136.54,135.99,135.99,20251200,20260300,20260300
2025-09-01 23:00:00,136.28,135.76,135.76,20251200,20260300,20260300
2025-09-02 23:00:00,136.5,135.98,135.98,20251200,20260300,20260300
2025-09-03 23:00:00,136.26,135.76,135.76,20251200,20260300,20260300
2025-09-04 23:00:00,136.59,136.07,136.07,20251200,20260300,20260300
2025-09-05 23:00:00,136.93,136.43,136.43,20251200,20260300,20260300
2025-09-08 23:00:00,137.02,136.52,136.52,20251200,20260300,20260300
2025-09-09 23:00:00,137.04,136.47,136.47,20251200,20260300,20260300
2025-09-10 23:00:00,136.97,136.52,136.52,20251200,20260300,20260300
2025-09-11 23:00:00,136.85,136.41,136.41,20251200,20260300,20260300
2025-09-12 23:00:00,136.64,136.14,136.14,20251200,20260300,20260300
2025-09-16 23:00:00,136.52,136.03,136.03,20251200,20260300,20260300
2025-09-17 23:00:00,136.65,136.15,136.15,20251200,20260300,20260300
2025-09-18 23:00:00,136.56,136.06,136.06,20251200,20260300,20260300
2025-09-19 23:00:00,136.1,135.6,135.6,20251200,20260300,20260300
2025-09-22 23:00:00,135.89,135.4,135.4,20251200,20260300,20260300
2025-09-24 23:00:00,135.96,135.44,135.44,20251200,20260300,20260300
2025-09-25 23:00:00,135.82,135.32,135.32,20251200,20260300,20260300
2025-09-26 23:00:00,135.79,135.3,135.3,20251200,20260300,20260300
2025-09-29 23:00:00,135.9,135.4,135.4,20251200,20260300,20260300
2025-09-30 23:00:00,135.79,135.28,135.28,20251200,20260300,20260300
2025-10-01 23:00:00,135.78,135.28,135.28,20251200,20260300,20260300
2025-10-02 23:00:00,135.73,135.23,135.23,20251200,20260300,20260300
2025-10-03 23:00:00,135.91,135.41,135.41,20251200,20260300,20260300
2025-10-06 23:00:00,135.9,135.38,135.38,20251200,20260300,20260300
2025-10-07 23:00:00,135.87,135.33,135.33,20251200,20260300,20260300
