DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-06-13 23:00:00,387.34,387.3,387.3,20250700,20250800,20250800
2025-06-16 23:00:00,393.7,393.62,393.62,20250700,20250800,20250800
2025-06-17 23:00:00,395.46,395.4,395.4,20250700,20250800,20250800
2025-06-18 23:00:00,398.9,398.78,398.78,20250700,20250800,20250800
2025-06-19 23:00:00,398.7,399.0,399.0,20250700,20250800,20250800
2025-06-20 23:00:00,404.6,404.98,404.98,20250700,20250800,20250800
2025-06-23 23:00:00,404.06,404.18,404.18,20250700,20250800,20250800
2025-06-24 23:00:00,418.12,418.54,418.54,20250700,20250800,20250800
2025-06-25 23:00:00,419.0,419.4,419.4,20250700,20250800,20250800
2025-06-26 23:00:00,415.02,415.1,415.1,20250700,20250800,20250800
2025-06-27 23:00:00,412.9,412.9,412.9,20250700,20250800,20250800
2025-06-30 23:00:00,415.46,415.38,415.38,20250700,20250800,20250800
2025-07-01 23:00:00,416.04,416.78,416.78,20250700,20250800,20250800
2025-07-02 23:00:00,414.34,414.9,414.9,20250700,20250800,20250800
2025-07-03 23:00:00,420.8,421.44,421.44,20250700,20250800,20250800
2025-07-04 23:00:00,412.44,412.72,412.72,20250700,20250800,20250800
2025-07-07 23:00:00,412.92,413.52,413.52,20250700,20250800,20250800
2025-07-08 23:00:00,420.94,421.44,421.44,20250700,20250800,20250800
2025-07-09 23:00:00,422.16,422.4,422.4,20250700,20250800,20250800
2025-07-10 23:00:00,428.42,428.0,428.0,20250700,20250800,20250800
2025-07-11 23:00:00,428.18,428.8,428.8,20250800,20250900,20250900
2025-07-14 23:00:00,432.12,432.4,432.4,20250800,20250900,20250900
2025-07-15 23:00:00,435.08,435.48,435.48,20250800,20250900,20250900
2025-07-16 23:00:00,430.5,430.9,430.9,20250800,20250900,20250900
2025-07-17 23:00:00,431.6,431.68,431.68,20250800,20250900,20250900
2025-07-18 23:00:00,431.36,431.6,431.6,20250800,20250900,20250900
2025-07-21 23:00:00,434.38,434.66,434.66,20250800,20250900,20250900
2025-07-22 23:00:00,428.72,428.86,428.86,20250800,20250900,20250900
2025-07-23 23:00:00,430.18,430.22,430.22,20250800,20250900,20250900
2025-07-24 23:00:00,429.0,429.0,429.0,20250800,20250900,20250900
2025-07-25 23:00:00,430.88,431.1,431.1,20250800,20250900,20250900
2025-07-28 23:00:00,432.34,432.66,432.66,20250800,20250900,20250900
2025-07-29 23:00:00,435.96,436.1,436.1,20250800,20250900,20250900
2025-07-30 23:00:00,439.6,440.08,440.08,20250800,20250900,20250900
2025-07-31 23:00:00,437.62,437.98,437.98,20250800,20250900,20250900
2025-08-01 23:00:00,420.1,420.58,420.58,20250800,20250900,20250900
2025-08-04 23:00:00,425.18,425.5,425.5,20250800,20250900,20250900
2025-08-05 23:00:00,431.56,431.74,431.74,20250800,20250900,20250900
2025-08-06 23:00:00,431.12,431.12,431.12,20250800,20250900,20250900
2025-08-07 23:00:00,434.56,434.68,434.68,20250800,20250900,20250900
2025-08-08 23:00:00,433.68,433.8,433.8,20250800,20250900,20250900
2025-08-11 23:00:00,433.26,433.56,433.56,20250800,20250900,20250900
2025-08-12 23:00:00,431.92,431.82,431.82,20250800,20250900,20250900
2025-08-13 23:00:00,436.88,437.24,437.24,20250800,20250900,20250900
2025-08-14 23:00:00,436.0,436.3,436.3,20250900,20251000,20251000
2025-08-18 23:00:00,429.7,429.6,429.6,20250900,20251000,20251000
2025-08-19 23:00:00,426.5,426.74,426.74,20250900,20251000,20251000
2025-08-20 23:00:00,424.08,424.16,424.16,20250900,20251000,20251000
2025-08-21 23:00:00,425.4,425.4,425.4,20250900,20251000,20251000
2025-08-22 23:00:00,428.2,428.4,428.4,20250900,20251000,20251000
2025-08-25 23:00:00,433.76,433.98,433.98,20250900,20251000,20251000
2025-08-26 23:00:00,429.46,429.92,429.92,20250900,20251000,20251000
2025-08-27 23:00:00,430.66,430.68,430.68,20250900,20251000,20251000
2025-08-28 23:00:00,432.68,432.94,432.94,20250900,20251000,20251000
2025-08-29 23:00:00,430.6,430.46,430.46,20250900,20251000,20251000
2025-09-01 23:00:00,423.5,423.4,423.4,20250900,20251000,20251000
2025-09-02 23:00:00,428.16,428.1,428.1,20250900,20251000,20251000
2025-09-03 23:00:00,429.98,430.0,430.0,20250900,20251000,20251000
