DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-05-29 23:00:00,21.3,21.5,20.82,20250800,20250900,20250700
2025-05-30 23:00:00,21.31,21.6,20.95,20250800,20250900,20250700
2025-06-02 23:00:00,21.3,21.6,20.85,20250800,20250900,20250700
2025-06-03 23:00:00,21.1,21.4,20.63,20250800,20250900,20250700
2025-06-04 23:00:00,21.08,21.35,20.6,20250800,20250900,20250700
2025-06-05 23:00:00,21.25,21.65,20.82,20250800,20250900,20250700
2025-06-06 23:00:00,20.83,21.3,20.18,20250800,20250900,20250700
2025-06-09 23:00:00,20.61,21.15,20.0,20250800,20250900,20250700
2025-06-10 23:00:00,20.74,21.27,19.94,20250800,20250900,20250700
2025-06-11 23:00:00,20.93,21.33,20.08,20250800,20250900,20250700
2025-06-12 23:00:00,21.12,21.49,20.34,20250800,20250900,20250700
2025-06-13 23:00:00,22.07,22.4,21.73,20250800,20250900,20250700
2025-06-16 23:00:00,21.01,21.3,20.17,20250800,20250900,20250700
2025-06-17 23:00:00,21.81,22.1,21.45,20250800,20250900,20250700
2025-06-18 23:00:00,21.4,21.69,20.76,20250800,20250900,20250700
2025-06-20 23:00:00,21.6,21.87,21.06,20250800,20250900,20250700
2025-06-23 23:00:00,21.77,21.86,21.5,20250900,20251000,20250800
2025-06-24 23:00:00,20.9,21.21,20.38,20250900,20251000,20250800
2025-06-25 23:00:00,20.78,21.12,20.2,20250900,20251000,20250800
2025-06-26 23:00:00,20.6,20.92,20.17,20250900,20251000,20250800
2025-06-27 23:00:00,20.73,21.0,20.17,20250900,20251000,20250800
2025-06-30 23:00:00,20.71,21.05,20.05,20250900,20251000,20250800
2025-07-01 23:00:00,20.77,21.2,20.19,20250900,20251000,20250800
2025-07-02 23:00:00,20.75,21.15,20.11,20250900,20251000,20250800
2025-07-07 23:00:00,20.99,21.3,20.25,20250900,20251000,20250800
2025-07-08 23:00:00,20.69,21.07,19.73,20250900,20251000,20250800
2025-07-09 23:00:00,20.4,20.9,19.25,20250900,20251000,20250800
2025-07-10 23:00:00,20.35,20.9,19.1,20250900,20251000,20250800
2025-07-11 23:00:00,20.45,21.0,19.29,20250900,20251000,20250800
2025-07-14 23:00:00,20.73,21.2,19.48,20250900,20251000,20250800
2025-07-15 23:00:00,20.71,21.05,19.46,20250900,20251000,20250800
2025-07-16 23:00:00,20.97,21.45,19.54,20250900,20251000,20250800
2025-07-17 23:00:00,20.94,21.47,19.37,20250900,20251000,20250800
2025-07-18 23:00:00,20.73,21.47,19.08,20250900,20251000,20250800
2025-07-21 23:00:00,20.72,21.25,18.98,20250900,20251000,20250800
2025-07-22 23:00:00,20.72,21.43,18.96,20250900,20251000,20250800
2025-07-23 23:00:00,20.8,21.45,20.0,20251000,20251100,20250900
2025-07-24 23:00:00,20.65,20.89,19.89,20251000,20251100,20250900
2025-07-25 23:00:00,20.69,20.85,19.81,20251000,20251100,20250900
2025-07-28 23:00:00,20.31,20.55,19.28,20251000,20251100,20250900
2025-07-29 23:00:00,20.73,21.09,19.75,20251000,20251100,20250900
2025-07-30 23:00:00,20.73,21.2,19.5,20251000,20251100,20250900
2025-07-31 23:00:00,20.9,21.12,19.91,20251000,20251100,20250900
2025-08-01 23:00:00,21.69,21.9,21.05,20251000,20251100,20250900
2025-08-04 23:00:00,21.05,21.35,19.94,20251000,20251100,20250900
2025-08-05 23:00:00,21.11,21.3,20.16,20251000,20251100,20250900
2025-08-06 23:00:00,20.65,21.09,19.57,20251000,20251100,20250900
2025-08-07 23:00:00,20.69,21.25,19.6,20251000,20251100,20250900
2025-08-08 23:00:00,20.4,21.01,19.12,20251000,20251100,20250900
2025-08-11 23:00:00,20.55,20.95,19.26,20251000,20251100,20250900
2025-08-12 23:00:00,20.0,20.7,18.53,20251000,20251100,20250900
2025-08-13 23:00:00,20.05,20.7,18.54,20251000,20251100,20250900
2025-08-14 23:00:00,20.19,20.9,18.67,20251000,20251100,20250900
2025-08-15 23:00:00,20.25,21.0,18.47,20251000,20251100,20250900
2025-08-18 23:00:00,19.83,20.65,18.01,20251000,20251100,20250900
2025-08-19 23:00:00,20.09,20.87,18.34,20251000,20251100,20250900
2025-08-20 23:00:00,20.14,20.97,18.3,20251000,20251100,20250900
2025-08-21 23:00:00,20.35,21.06,18.6,20251000,20251100,20250900
2025-08-22 23:00:00,19.93,20.21,19.01,20251100,20251200,20251000
2025-08-25 23:00:00,20.17,20.4,19.15,20251100,20251200,20251000
2025-08-26 23:00:00,20.14,20.3,19.05,20251100,20251200,20251000
2025-08-27 23:00:00,20.23,20.45,19.2,20251100,20251200,20251000
2025-08-28 23:00:00,20.04,20.25,19.1,20251100,20251200,20251000
2025-08-29 23:00:00,20.25,20.5,19.35,20251100,20251200,20251000
2025-09-02 23:00:00,20.66,20.85,19.77,20251100,20251200,20251000
2025-09-03 23:00:00,20.36,20.73,19.35,20251100,20251200,20251000
2025-09-04 23:00:00,19.85,20.3,18.83,20251100,20251200,20251000
2025-09-05 23:00:00,19.85,20.4,18.93,20251100,20251200,20251000
2025-09-08 23:00:00,19.71,20.1,18.57,20251100,20251200,20251000
2025-09-09 23:00:00,19.61,20.09,18.5,20251100,20251200,20251000
2025-09-10 23:00:00,19.61,20.05,18.44,20251100,20251200,20251000
2025-09-11 23:00:00,19.29,19.75,18.01,20251100,20251200,20251000
2025-09-12 23:00:00,19.3,19.73,18.0,20251100,20251200,20251000
2025-09-15 23:00:00,19.37,19.92,18.18,20251100,20251200,20251000
2025-09-16 23:00:00,19.65,20.18,18.4,20251100,20251200,20251000
2025-09-17 23:00:00,19.21,19.83,17.79,20251100,20251200,20251000
2025-09-18 23:00:00,19.24,19.89,17.7,20251100,20251200,20251000
2025-09-19 23:00:00,19.3,19.93,17.72,20251100,20251200,20251000
2025-09-22 23:00:00,19.56,20.09,18.09,20251100,20251200,20251000
2025-09-23 23:00:00,20.21,21.25,19.7,20251200,20260100,20251100
2025-09-24 23:00:00,20.12,21.0,19.45,20251200,20260100,20251100
2025-09-25 23:00:00,20.15,21.03,19.7,20251200,20260100,20251100
2025-09-26 23:00:00,19.74,20.74,19.05,20251200,20260100,20251100
2025-09-29 23:00:00,19.85,20.74,19.3,20251200,20260100,20251100
2025-09-30 23:00:00,19.78,20.72,19.3,20251200,20260100,20251100
2025-10-01 23:00:00,19.76,,19.23,20251200,20260100,20251100
2025-10-02 23:00:00,19.87,20.64,19.33,20251200,20260100,20251100
2025-10-03 23:00:00,19.85,20.75,19.28,20251200,20260100,20251100
2025-10-06 23:00:00,19.77,20.72,19.1,20251200,20260100,20251100
2025-10-07 23:00:00,20.04,20.9,19.43,20251200,20260100,20251100
2025-10-08 23:00:00,19.8,20.85,19.15,20251200,20260100,20251100
2025-10-09 23:00:00,19.9,20.85,19.21,20251200,20260100,20251100
2025-10-10 23:00:00,21.15,21.68,21.11,20251200,20260100,20251100
2025-10-13 23:00:00,20.19,21.05,19.7,20251200,20260100,20251100
2025-10-14 23:00:00,20.76,21.5,20.6,20251200,20260100,20251100
2025-10-15 23:00:00,20.9,21.6,20.65,20251200,20260100,20251100
2025-10-16 23:00:00,22.08,22.42,22.5,20251200,20260100,20251100
2025-10-17 23:00:00,20.71,21.58,20.68,20251200,20260100,20251100
2025-10-20 23:00:00,19.8,20.83,19.17,20251200,20260100,20251100
2025-10-21 23:00:00,19.85,20.88,19.17,20251200,20260100,20251100
2025-10-22 23:00:00,21.25,21.45,19.87,20260100,20260200,20251200
2025-10-23 23:00:00,20.77,21.3,19.6,20260100,20260200,20251200
2025-10-24 23:00:00,20.47,20.95,19.32,20260100,20260200,20251200
2025-10-27 23:00:00,20.19,20.65,18.95,20260100,20260200,20251200
2025-10-28 23:00:00,20.41,20.75,19.4,20260100,20260200,20251200
2025-10-29 23:00:00,20.61,21.08,19.72,20260100,20260200,20251200
2025-10-30 23:00:00,20.93,,19.63,20260100,20260200,20251200
2025-10-31 23:00:00,21.1,21.6,19.95,20260100,20260200,20251200
2025-11-03 23:00:00,21.15,21.45,19.8,20260100,20260200,20251200
2025-11-04 23:00:00,21.54,22.0,20.52,20260100,20260200,20251200
2025-11-05 23:00:00,21.0,21.4,19.82,20260100,20260200,20251200
2025-11-06 23:00:00,21.39,21.8,20.32,20260100,20260200,20251200
2025-11-07 23:00:00,21.2,21.75,20.15,20260100,20260200,20251200
2025-11-10 23:00:00,20.67,21.35,19.22,20260100,20260200,20251200
2025-11-11 23:00:00,20.65,21.35,19.22,20260100,20260200,20251200
2025-11-12 23:00:00,20.65,21.39,19.37,20260100,20260200,20251200
2025-11-13 23:00:00,21.65,22.18,20.32,20260100,20260200,20251200
2025-11-14 23:00:00,21.31,21.99,20.15,20260100,20260200,20251200
2025-11-17 23:00:00,22.05,22.43,21.05,20260100,20260200,20251200
2025-11-18 23:00:00,22.57,22.78,22.0,20260100,20260200,20251200
2025-11-19 23:00:00,22.4,22.85,21.42,20260100,20260200,20251200
2025-11-20 23:00:00,23.22,23.4,22.85,20260100,20260200,20251200
