DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-06-16 23:00:00,552.25,573.75,573.75,20250900,20251200,20251200
2025-06-17 23:00:00,565.5,587.0,587.0,20250900,20251200,20251200
2025-06-18 23:00:00,590.5,612.25,612.25,20250900,20251200,20251200
2025-06-20 23:00:00,583.5,606.0,606.0,20250900,20251200,20251200
2025-06-23 23:00:00,569.5,592.75,592.75,20250900,20251200,20251200
2025-06-24 23:00:00,552.0,575.75,575.75,20250900,20251200,20251200
2025-06-25 23:00:00,544.5,567.5,567.5,20250900,20251200,20251200
2025-06-26 23:00:00,536.75,559.75,559.75,20250900,20251200,20251200
2025-06-27 23:00:00,540.75,563.0,563.0,20250900,20251200,20251200
2025-06-30 23:00:00,538.25,560.0,560.0,20250900,20251200,20251200
2025-07-01 23:00:00,549.0,569.25,569.25,20250900,20251200,20251200
2025-07-02 23:00:00,564.0,584.0,584.0,20250900,20251200,20251200
2025-07-03 23:00:00,562.0,583.125,583.125,20250900,20251200,20251200
2025-07-07 23:00:00,548.5,570.25,570.25,20250900,20251200,20251200
2025-07-08 23:00:00,547.75,568.5,568.5,20250900,20251200,20251200
2025-07-09 23:00:00,547.0,567.25,567.25,20250900,20251200,20251200
2025-07-10 23:00:00,554.5,575.0,575.0,20250900,20251200,20251200
2025-07-11 23:00:00,545.0,565.5,565.5,20250900,20251200,20251200
2025-07-14 23:00:00,541.5,562.25,562.25,20250900,20251200,20251200
2025-07-15 23:00:00,538.0,558.75,558.75,20250900,20251200,20251200
2025-07-16 23:00:00,541.25,561.75,561.75,20250900,20251200,20251200
2025-07-17 23:00:00,533.5,554.25,554.25,20250900,20251200,20251200
2025-07-18 23:00:00,546.25,567.0,567.0,20250900,20251200,20251200
2025-07-21 23:00:00,542.25,563.25,563.25,20250900,20251200,20251200
2025-07-22 23:00:00,549.5,569.5,569.5,20250900,20251200,20251200
2025-07-23 23:00:00,540.5,561.25,561.25,20250900,20251200,20251200
2025-07-24 23:00:00,541.5,561.25,561.25,20250900,20251200,20251200
2025-07-25 23:00:00,538.25,558.25,558.25,20250900,20251200,20251200
2025-07-28 23:00:00,538.5,558.75,558.75,20250900,20251200,20251200
2025-07-29 23:00:00,529.75,550.0,550.0,20250900,20251200,20251200
2025-07-30 23:00:00,523.75,544.25,544.25,20250900,20251200,20251200
2025-07-31 23:00:00,523.25,542.5,542.5,20250900,20251200,20251200
2025-08-01 23:00:00,516.75,537.0,537.0,20250900,20251200,20251200
2025-08-04 23:00:00,516.75,537.0,537.0,20250900,20251200,20251200
2025-08-05 23:00:00,508.25,528.5,528.5,20250900,20251200,20251200
2025-08-06 23:00:00,508.5,529.25,529.25,20250900,20251200,20251200
2025-08-07 23:00:00,518.25,539.0,539.0,20250900,20251200,20251200
2025-08-08 23:00:00,514.5,535.0,535.0,20250900,20251200,20251200
2025-08-11 23:00:00,515.0,535.5,535.5,20250900,20251200,20251200
2025-08-12 23:00:00,505.0,526.0,526.0,20250900,20251200,20251200
2025-08-13 23:00:00,507.25,528.25,528.25,20250900,20251200,20251200
2025-08-14 23:00:00,503.5,524.5,524.5,20250900,20251200,20251200
2025-08-15 23:00:00,506.5,527.0,527.0,20250900,20251200,20251200
2025-08-18 23:00:00,525.0,544.0,544.0,20251200,20260300,20260300
2025-08-19 23:00:00,521.25,540.5,540.5,20251200,20260300,20260300
2025-08-20 23:00:00,528.25,546.5,546.5,20251200,20260300,20260300
2025-08-21 23:00:00,529.75,547.25,547.25,20251200,20260300,20260300
2025-08-22 23:00:00,527.25,544.75,544.75,20251200,20260300,20260300
