DATE_TIME,current_contract,next_contract,carry_contract
2025-06-16 23:00:00,20250600,20250700,20250700
2025-07-15 23:00:00,20250700,20250800,20250800
2025-08-15 23:00:00,20250800,20250900,20250900
2025-09-15 23:00:00,20250900,20251000,20251000
2025-10-15 23:00:00,20251000,20251100,20251100
2025-11-14 23:00:00,20251100,20251200,20251200
2025-12-15 23:00:00,20251200,20260100,20260100
2026-01-15 23:00:00,20260100,20260200,20260200
2026-02-16 23:00:00,20260200,20260300,20260300
2026-03-16 23:00:00,20260300,20260400,20260400
2026-04-15 23:00:00,20260400,20260500,20260500
2026-05-15 01:00:00,20260500,20260600,20260600
2026-05-26 23:00:00,20260600,20260700,20260700
