DATE_TIME,current_contract,next_contract,carry_contract
2025-06-12 23:00:00,20250600,20250700,20250700
2025-07-10 23:00:00,20250700,20250800,20250800
2025-08-13 23:00:00,20250800,20250900,20250900
2025-09-11 23:00:00,20250900,20251000,20251000
2025-10-02 23:00:00,20251000,20251100,20251100
2025-11-13 23:00:00,20251100,20251200,20251200
2025-12-11 23:00:00,20251200,20260100,20260100
2026-01-08 23:00:00,20260100,20260200,20260200
2026-02-13 23:00:00,20260200,20260300,20260300
2026-03-12 23:00:00,20260300,20260400,20260400
2026-04-09 23:00:00,20260400,20260500,20260500
2026-05-13 07:45:00,20260500,20260600,20260600
2026-05-27 07:45:00,20260600,20260700,20260700
