DATETIME,monthly_return
2000-04-28,-0.01208967
2000-05-31,-0.02812951
2000-06-30,-0.02207940
2000-07-31,0.02879242
2000-08-31,-0.00104298
2000-09-29,-0.04128420
2000-10-31,0.02268808
2000-11-30,-0.06424705
2000-12-29,0.00194405
2001-01-31,0.02863092
2001-02-28,-0.05410379
2001-03-30,-0.04114786
2001-04-30,0.04610936
2001-05-31,-0.01236484
2001-06-29,-0.01031029
2001-07-31,-0.02247247
2001-08-31,-0.07018523
2001-09-28,-0.10140814
2001-10-31,0.03243440
2001-11-30,0.04771150
2001-12-31,0.01886687
2002-01-31,-0.00595205
2002-02-28,-0.00826080
2002-03-29,0.03197674
2002-04-30,-0.03634886
2002-05-31,-0.02816347
2002-06-28,-0.04962980
2002-07-31,-0.08545344
2002-08-30,0.00039931
2002-09-30,-0.12360298
2002-10-31,0.05526036
2002-11-29,0.02452884
2002-12-31,-0.06698027
2003-01-31,-0.02182256
2003-02-28,-0.03354104
2003-03-31,-0.01846693
2003-04-30,0.07996107
2003-05-30,0.00961177
2003-06-30,0.03198215
2003-07-31,0.03603604
2003-08-29,0.00166957
2003-09-30,-0.03340510
2003-10-31,0.05611438
2003-11-28,0.01204164
2003-12-31,0.03058618
2004-01-30,0.01095819
2004-02-27,-0.00677463
2004-03-31,-0.02202157
2004-04-30,0.01335105
2004-05-31,-0.00603041
2004-06-30,0.01760749
2004-07-30,-0.02371849
2004-08-31,-0.01447063
2004-09-30,0.01272984
2004-10-29,0.00884544
2004-11-30,0.01971125
2004-12-31,0.01590380
2005-01-31,-0.00012728
2005-02-28,0.00751018
2005-03-31,0.00101074
2005-04-29,-0.01950019
2005-05-31,0.03552809
2005-06-30,0.01423333
2005-07-29,0.03395024
2005-08-31,-0.00711238
2005-09-30,0.02387775
2005-10-31,-0.01626632
2005-11-30,0.03330765
2005-12-30,0.02265558
2006-01-31,0.02899607
2006-02-28,0.01171854
2006-03-31,0.01707790
2006-04-28,0.00275438
2006-05-31,-0.03470498
2006-06-30,-0.00136806
2006-07-31,-0.00246589
2006-08-31,0.01724896
2006-09-29,0.01463441
2006-10-31,0.02645165
2006-11-30,0.00274811
2006-12-29,0.02823310
2007-01-31,0.01629369
2007-02-28,-0.00658123
2007-03-30,0.01554094
2007-04-30,0.04733176
2007-05-31,0.04107151
2007-06-29,0.00931174
2007-07-31,-0.04140482
2007-08-31,0.00348707
2007-09-28,0.02010842
2007-10-31,0.00953808
2007-11-30,-0.01480182
2007-12-31,0.01452187
2008-01-31,-0.11109111
2008-02-29,-0.01640672
2008-03-31,-0.02332166
2008-04-30,0.04169522
2008-05-30,0.01168910
2008-06-30,-0.07002451
2008-07-31,0.00484053
2008-08-29,-0.00947385
2008-09-30,-0.06651897
2008-10-31,-0.09528220
2008-11-28,-0.05061104
2008-12-31,0.01914005
2009-01-30,-0.06533527
2009-02-27,-0.06976086
2009-03-31,0.03734408
2009-04-30,0.10213359
2009-05-29,0.01829431
2009-06-30,-0.01607108
2009-07-31,0.06938450
2009-08-31,0.01577052
2009-09-30,0.02481663
2009-10-30,-0.03232733
2009-11-30,0.02872288
2009-12-31,0.03804673
2010-01-29,-0.04063492
2010-02-26,-0.00156429
2010-03-31,0.06501958
2010-04-30,-0.00124477
2010-05-31,-0.01903467
2010-06-30,-0.00057750
2010-07-30,0.02374899
2010-08-31,-0.02906813
2010-09-30,0.03767004
2010-10-29,0.04240896
2010-11-30,0.00886763
2010-12-31,0.02221394
2011-01-31,0.01761426
2011-02-28,0.01838480
2011-03-31,-0.02212612
2011-04-29,0.04216806
