index,monthly_return
2007-01-31,-0.01561796
2007-02-28,0.01891686
2007-03-30,-0.01227729
2007-04-30,-0.01000455
2007-05-31,-0.03383862
2007-06-29,-0.01632330
2007-07-31,0.03383277
2007-08-31,0.00872682
2007-09-28,-0.01143210
2007-10-31,0.00500078
2007-11-30,0.02316903
2007-12-31,-0.02522796
2008-01-31,0.05425631
2008-02-29,0.00990831
2008-03-31,-0.01288622
2008-04-30,-0.02685062
2008-05-30,-0.03643293
2008-06-30,-0.02199019
2008-07-31,0.03348431
2008-08-29,0.02426045
2008-09-30,0.01543399
2008-10-31,0.01550038
2008-11-28,0.08209840
2008-12-31,0.04039989
2009-01-30,-0.03317099
2009-02-27,0.03335602
2009-03-31,0.01264822
2009-04-30,-0.02159771
2009-05-29,-0.04002660
2009-06-30,0.02687353
2009-07-31,0.01686227
2009-08-31,0.00663306
2009-09-30,0.00369004
2009-10-30,0.00525210
2009-11-30,0.02063741
2009-12-31,-0.02687484
2010-01-29,0.03182536
2010-02-26,0.00917665
2010-03-31,0.00644102
2010-04-30,0.01731710
2010-05-31,0.04822992
2010-06-30,0.01541539
2010-07-30,-0.01019817
2010-08-31,0.06978106
2010-09-30,-0.01729233
2010-10-29,-0.02305379
2010-11-30,-0.01732786
2010-12-31,-0.02505800
2011-01-31,-0.02367920
2011-02-28,0.00828763
2011-03-31,-0.01909827
2011-04-29,0.02205792
2011-05-31,0.02809260
2011-06-30,0.00680192
2011-07-29,0.05940594
2011-08-31,0.04112150
2011-09-30,0.04129264
2011-10-31,-0.00152130
2011-11-30,-0.02884713
2011-12-30,0.05407384
2012-01-31,0.00833499
2012-02-29,0.00009841
2012-03-30,-0.00068877
2012-04-30,0.03012997
2012-05-31,0.04626266
2012-06-29,-0.03727389
2012-07-31,0.03435187
2012-08-31,-0.00440367
2012-09-28,-0.00764836
2012-10-31,0.00213576
2012-11-30,0.01121201
2012-12-31,0.00769724
2013-01-31,-0.03373647
2013-02-28,0.03020892
2013-03-29,0.01991413
2013-04-30,0.01003135
2013-05-31,-0.02429724
2013-06-28,-0.02153958
2013-07-31,0.01300390
2013-08-30,-0.02209793
2013-09-30,0.01950305
2013-10-31,0.01379564
2013-11-29,-0.00263086
2013-12-31,-0.02483173
2014-01-31,0.04393247
2014-02-28,0.00446748
2014-03-31,0.00880626
2014-04-30,0.01049290
2014-05-30,0.01867365
2014-06-30,0.01267775
2014-07-31,0.00909322
2014-08-29,0.02803973
2014-09-30,0.00106001
2014-10-31,0.01099617
2014-11-28,0.01514663
2014-12-31,0.01674603
2015-01-30,0.02841308
2015-02-27,0.00000000
2015-03-31,0.01199241
2015-04-30,-0.01350034
2015-05-29,-0.01125219
2015-06-30,-0.02037678
2015-07-31,0.01734694
2015-08-31,-0.01010724
2015-09-30,0.02353858
2015-10-30,0.01332623
2015-11-30,0.00225445
2015-12-31,-0.01537077
2016-01-29,0.04226317
2016-02-29,0.02294148
2016-03-31,-0.00292836
2016-04-29,-0.01067335
2016-05-31,0.01556730
2016-06-30,0.01953515
2016-07-29,0.01440559
2016-08-31,-0.00496346
2016-09-30,0.00845227
2016-10-31,-0.02514427
2016-11-30,-0.00909091
2016-12-30,0.01436598
2017-01-31,-0.01479352
2017-02-28,0.02782522
2017-03-31,-0.00865471
2017-04-28,0.00216511
2017-05-31,0.00250889
2017-06-30,-0.01682308
2017-07-31,0.00141413
2017-08-31,0.02294712
2017-09-29,-0.00890392
2017-10-31,0.01176962
2017-11-30,0.00000000
2017-12-29,-0.00412996
2018-01-31,-0.02191042
2018-02-28,0.00600664
2018-03-30,0.01812307
2018-04-30,-0.00386367
2018-05-31,0.02036293
2018-06-29,0.00502308
2018-07-31,-0.00560584
2018-08-31,0.01052775
2018-09-28,-0.01169512
2018-10-31,0.00924918
2018-11-30,0.00862534
2018-12-31,0.00781668
2019-01-31,0.01239642
2019-02-28,0.00307753
2019-03-29,0.01827796
2019-04-30,-0.00339765
2019-05-31,0.01794674
2019-06-28,0.01181675
2019-07-31,0.01174119
2019-08-30,0.02666667
2019-09-30,-0.01130351
2019-10-31,-0.01860861
2019-11-29,0.00012393
2019-12-31,-0.00972739
2020-01-31,0.01714321
2020-02-28,0.01556253
2020-03-31,-0.00690491
2020-04-30,0.00048792
2020-05-29,-0.00408437
2020-06-30,0.00379507
2020-07-31,0.00804927
2020-08-31,-0.01149356
2020-09-30,0.01089285
2020-10-30,0.00992796
2020-11-30,-0.00551460
2020-12-31,0.00012055
2021-01-29,-0.00192852
2021-02-26,-0.02203973
2021-03-31,0.00240800
2021-04-30,-0.00671389
2021-05-31,-0.00049609
2021-06-30,0.00601812
2021-07-30,0.02485353
2021-08-31,-0.00692021
2021-09-30,-0.01514876
2021-10-29,-0.01002892
2021-11-30,0.02467371
2021-12-31,-0.01631589
2022-01-31,-0.01424343
2022-02-28,-0.00731845
2022-03-31,-0.03944549
2022-04-29,-0.03220939
2022-05-31,-0.01436996
2022-06-30,-0.02138780
2022-07-29,0.06156008
2022-08-31,-0.06321991
2022-09-30,-0.05003180
2022-10-31,-0.00037194
2022-11-30,0.01800863
2022-12-30,-0.05336257
2023-01-31,0.03003861
2023-02-28,-0.02901267
2023-03-31,0.03003397
2023-04-28,-0.00209879
2023-05-31,0.00375573
2023-06-30,-0.01182369
2023-07-31,-0.00560394
2023-08-31,0.00144696
2023-09-29,-0.03072243
2023-10-31,0.00274596
2023-11-30,0.02558485
2023-12-29,0.03486421
2024-01-31,-0.01009952
2024-02-29,-0.02383080
2024-03-29,0.00854440
2025-04-30,-0.01792738
2025-05-30,-0.00408226
2025-06-30,-0.00672854
2025-07-31,-0.00350385
2025-08-29,-0.00117206
2025-09-30,0.00031292
2025-10-31,0.00641276
2025-11-28,-0.00396301
2025-12-31,-0.01279451
2026-01-30,0.00474158
2026-02-27,0.01620261
2026-03-31,-0.02948916
2026-04-30,0.00127602
