index,monthly_return
1984-06-29,0.01307190
1984-07-31,-0.01426146
1984-08-31,0.06269377
1984-09-28,0.02269044
1984-10-31,0.00855784
1984-11-30,0.01822753
1984-12-31,0.03209877
1985-01-31,0.02751196
1985-02-28,-0.00960419
1985-03-29,0.00587717
1985-04-30,0.00730353
1985-05-31,0.01537123
1985-06-28,-0.03827478
1985-07-31,0.00712801
1985-08-30,0.04040106
1985-09-30,-0.02409297
1985-10-31,0.05111821
1985-11-29,0.02873722
1985-12-31,-0.00698362
1986-01-31,0.00513930
1986-02-28,0.04951561
1986-03-31,0.08205128
1986-04-30,-0.02511848
1986-05-30,-0.02552261
1986-06-30,0.02519332
1986-07-31,-0.04890511
1986-08-29,0.05372218
1986-09-30,-0.06627822
1986-10-31,0.03302132
1986-11-28,-0.00629247
1986-12-31,0.02380952
1987-01-30,0.06185057
1987-02-27,0.08224604
1987-03-31,0.00150700
1987-04-30,0.00322442
1987-05-29,0.07928005
1987-06-30,0.02938257
1987-07-31,0.00578592
1987-08-31,-0.04928092
1987-09-30,0.05707947
1987-10-30,-0.25529479
1987-11-30,-0.09684858
1987-12-31,0.04964539
1988-01-29,0.04972973
1988-02-29,-0.01029866
1988-03-31,-0.01977107
1988-04-29,0.02282378
1988-05-31,-0.00856253
1988-06-30,0.03978016
1988-07-29,-0.00906116
1988-08-31,-0.04673609
1988-09-30,0.03570477
1988-10-31,0.01466427
1988-11-30,-0.03372211
1988-12-30,0.00472317
1989-01-31,0.13110473
1989-02-28,-0.03093974
1989-03-31,0.03431022
1989-04-28,0.01082700
1989-05-31,-0.01344576
1989-06-30,-0.00184800
1989-07-31,0.07590835
1989-08-31,0.03140460
1989-09-29,-0.04754953
1989-10-31,-0.08276768
1989-11-30,0.07352590
1989-12-29,0.06004003
1990-01-31,-0.04866793
1990-02-28,-0.03880926
1990-03-30,-0.02385868
1990-04-30,-0.06157462
1990-05-31,0.12797395
1990-06-29,0.00799290
1990-07-31,-0.02577093
1990-08-31,-0.08975808
1990-09-28,-0.11202186
1990-10-31,0.03860140
1990-11-30,0.04551576
1990-12-31,-0.01622875
1991-01-31,0.01832941
1991-02-28,0.09128311
1991-03-29,0.03605090
1991-04-30,0.00227428
1991-05-31,0.00476515
1991-06-28,-0.05058717
1991-07-31,0.08325404
1991-08-30,0.02371542
1991-09-30,-0.01994852
1991-10-31,-0.03895820
1991-11-29,-0.06786609
1991-12-31,0.04055705
1992-01-31,0.02301010
1992-02-28,-0.01124627
1992-03-31,-0.06638812
1992-04-30,0.10094480
1992-05-29,0.01964770
1992-06-30,-0.09590255
1992-07-31,-0.06418422
1992-08-31,-0.05157068
1992-09-30,0.14187138
1992-10-30,0.03432439
1992-11-30,0.05188128
1992-12-31,0.01999556
1993-01-29,-0.01786103
1993-02-26,0.02616988
1993-03-31,0.00194510
1993-04-30,-0.03537532
1993-05-31,0.01140429
1993-06-30,0.02210922
1993-07-30,0.01168073
1993-08-31,0.07055805
1993-09-30,-0.03115638
1993-10-29,0.05483405
1993-11-30,-0.00039085
1993-12-31,0.08739003
1994-01-31,0.02229414
1994-02-28,-0.05962012
1994-03-31,-0.09930802
1994-04-29,0.02990033
1994-05-31,-0.07399194
1994-06-30,-0.02286088
1994-07-29,0.07843137
1994-08-31,0.06962810
1994-09-30,-0.09097933
1994-10-31,0.02847429
1994-11-30,-0.00661157
1994-12-30,-0.00707155
1995-01-31,-0.04126519
1995-02-28,0.00633603
1995-03-31,0.06013895
1995-04-28,0.02662298
1995-05-31,0.04209056
1995-06-30,-0.00995406
1995-07-31,0.05916473
1995-08-31,-0.00054765
1995-09-29,0.01351598
1995-10-31,0.00180213
1995-11-30,0.04605145
1995-12-29,0.00378332
1996-01-31,0.01987322
1996-02-29,-0.01394255
1996-03-29,-0.00545145
1996-04-30,0.03871189
1996-05-31,-0.02902375
1996-06-28,-0.01477582
1996-07-31,0.00241338
1996-08-30,0.06018917
1996-09-30,0.02757502
1996-10-31,0.00505130
1996-11-29,0.02136014
1996-12-31,0.01076426
1997-01-31,0.04229423
1997-02-28,0.00598453
1997-03-31,0.00246663
1997-04-30,0.04023737
1997-05-30,0.04716850
1997-06-30,-0.01288865
1997-07-31,0.08372594
1997-08-29,-0.02434480
1997-09-30,0.11228517
1997-10-31,-0.10896189
1997-11-28,0.00436737
1997-12-31,0.06944622
1998-01-30,0.06553456
1998-02-27,0.07340067
1998-03-31,0.02467587
1998-04-30,0.00061224
1998-05-29,-0.01254334
1998-06-30,-0.01920892
1998-07-31,-0.00526482
1998-08-31,-0.13136445
1998-09-30,-0.04496710
1998-10-30,0.08421590
1998-11-30,0.07991056
1998-12-31,0.00174368
1999-01-29,0.01348999
1999-02-26,0.04927007
1999-03-31,0.02404092
1999-04-30,0.04975025
1999-05-31,-0.06547392
1999-06-30,0.01201629
1999-07-30,-0.02143288
1999-08-31,-0.00123393
1999-09-30,-0.04334397
1999-10-29,0.04455446
1999-11-30,0.06892644
1999-12-31,0.05792771
2000-01-31,-0.12609329
2000-02-29,-0.00740200
2000-03-31,0.06081294
2000-04-28,-0.04277228
2000-05-31,-0.00330989
2000-06-30,-0.01245330
2000-07-31,-0.00598991
2000-08-31,0.07358072
2000-09-29,-0.08153619
2000-10-31,0.02851935
2000-11-30,-0.07338684
2000-12-29,0.00292496
2001-01-31,0.02019069
2001-02-28,-0.08653106
2001-03-30,-0.07402504
2001-04-30,0.09203172
2001-05-31,-0.05011308
2001-06-29,-0.04448622
2001-07-31,-0.03108197
2001-08-31,-0.05157011
2001-09-28,-0.13515056
2001-10-31,0.03943894
2001-11-30,0.05159549
2001-12-31,0.00120773
2002-01-31,-0.02472859
2002-02-28,-0.00927644
2002-03-29,0.05118602
2002-04-30,-0.03236342
2002-05-31,-0.03221847
2002-06-28,-0.13459100
2002-07-31,-0.15588936
2002-08-30,0.00499132
2002-09-30,-0.24012092
2002-10-31,0.18272236
2002-11-29,0.06943777
2002-12-31,-0.11008762
2003-01-31,-0.19086089
2003-02-28,0.06053042
2003-03-31,-0.00970874
2003-04-30,0.17855021
2003-05-30,0.07915301
2003-06-30,-0.02265826
2003-07-31,0.05760038
2003-08-29,0.01717514
2003-09-30,-0.03554766
2003-10-31,0.08799816
2003-11-28,0.02053779
2003-12-31,0.05207469
2004-01-30,-0.03608756
2004-02-27,0.04234861
2004-03-31,-0.03493621
2004-04-30,0.03965833
2004-05-31,-0.02640845
2004-06-30,0.01386377
2004-07-30,-0.02417757
2004-08-31,0.02619821
2004-09-30,0.03878884
2004-10-29,0.01314536
2004-11-30,0.02576156
2004-12-31,0.03226398
2005-01-31,0.01012254
2005-02-28,0.04254571
2005-03-31,-0.01821248
2005-04-29,-0.04002061
2005-05-31,0.06011809
2005-06-30,0.04827004
2005-07-29,0.04797939
2005-08-31,0.00737440
2005-09-30,0.04880281
2005-10-31,-0.04711357
2005-11-30,0.03525103
2005-12-30,0.04952830
2006-01-31,0.03553371
2006-02-28,0.00637461
2006-03-31,0.05229111
2006-04-28,0.01383197
2006-05-31,-0.07516422
2006-06-30,0.02308428
2006-07-31,0.02429907
2006-08-31,-0.00312826
2006-09-29,0.01163703
