DATETIME,monthly_return
1975-05-30,-0.00021566
1975-06-30,-0.00086281
1975-07-31,-0.00021589
1975-08-29,-0.00741381
1975-09-30,-0.01435823
1975-10-31,0.00044144
1975-11-28,-0.00404471
1975-12-31,0.00162446
1976-01-30,-0.00950977
1976-02-27,0.00267937
1976-03-31,-0.00259798
1976-04-30,-0.00059537
1976-05-31,-0.00215951
1976-06-30,-0.00253731
1976-07-30,-0.00897800
1976-08-31,-0.00777593
1976-09-30,0.00981511
1976-10-29,0.00580169
1976-11-30,0.00584313
1976-12-31,0.00230878
1977-01-31,-0.00200624
1977-02-28,0.00789219
1977-03-31,0.00354584
1977-04-29,-0.00220832
1977-05-31,-0.00331981
1977-06-30,-0.00051813
1977-07-29,0.00111086
1977-08-31,0.00066578
1977-09-30,0.00569232
1977-10-31,0.00463099
1977-11-30,-0.00190239
1977-12-30,0.00381204
1978-01-31,0.00649967
1978-02-28,0.00399071
1978-03-31,-0.00043362
1978-04-28,-0.01127901
1978-05-31,0.01001828
1978-06-30,-0.00238923
1978-07-31,0.01444227
1978-08-31,0.00071541
1978-09-29,0.00714898
1978-10-31,0.01405451
1978-11-30,-0.03352933
1978-12-29,0.02361121
1979-01-31,0.00226420
1979-02-28,0.01150724
1979-03-30,-0.00935232
1979-04-30,0.00380442
1979-05-31,0.01909040
1979-06-29,0.00185950
1979-07-31,0.00164982
1979-08-31,0.01962803
1979-09-28,0.05034664
1979-10-31,-0.01204742
1979-11-30,0.02159953
1979-12-31,0.07015873
1980-01-31,0.09243548
1980-02-29,-0.03475805
1980-03-31,-0.07792719
1980-04-30,-0.00732243
1980-05-30,0.02342021
1980-06-30,0.05946303
1980-07-31,-0.02012586
1980-08-29,0.00711641
1980-09-30,0.01648762
1980-10-31,-0.02628009
1980-11-28,-0.01009925
1980-12-31,-0.02638522
1981-01-30,-0.06034327
1981-02-27,-0.01666346
1981-03-31,0.01733690
1981-04-30,-0.02338395
1981-05-29,-0.00629756
1981-06-30,-0.04224980
1981-07-31,-0.01778329
1981-08-31,0.01270175
1981-09-30,0.00083154
1981-10-30,-0.00817005
1981-11-30,-0.01598604
1981-12-31,-0.00744892
1982-01-29,-0.01300836
1982-02-26,-0.01976972
1982-03-31,-0.02755615
1982-04-30,0.00934437
1982-05-31,-0.01828993
1982-06-30,-0.00828030
1982-07-30,0.01917279
1982-08-31,0.04794053
1982-09-30,-0.01013391
1982-10-29,0.01330896
1982-11-30,0.01421664
1982-12-31,0.00284616
1983-01-31,0.04051369
1983-02-28,-0.06443914
1983-03-31,-0.00590379
1983-04-29,0.00843170
1983-05-31,-0.01563182
1983-06-30,0.00000000
1983-07-29,-0.00421006
1983-08-31,-0.00170598
1983-09-30,-0.01225945
1983-10-31,-0.02181435
1983-11-30,0.01845586
1983-12-30,-0.01585624
1984-01-31,-0.01104803
1984-02-29,0.01528317
1984-03-30,-0.00878735
1984-04-30,-0.01133210
1984-05-31,0.00538012
1984-06-29,-0.01357220
1984-07-31,-0.03050554
1984-08-31,0.00624442
1984-09-28,-0.00507737
1984-10-31,-0.01239368
1984-11-30,-0.00598753
1984-12-31,-0.01963858
1985-01-31,-0.00488174
1985-02-28,-0.01581663
1985-03-29,0.03514954
1985-04-30,-0.01461187
1985-05-31,-0.00008425
1985-06-28,-0.00151668
1985-07-31,0.00801688
1985-08-30,0.00368355
1985-09-30,-0.01050963
1985-10-31,-0.00033718
1985-11-29,-0.00320432
1985-12-31,0.00321462
1986-01-31,0.01509402
1986-02-28,-0.00988536
1986-03-31,-0.00830607
1986-04-30,0.01125212
1986-05-30,-0.00368108
1986-06-30,0.00050382
1986-07-31,0.01300881
1986-08-29,0.01922121
1986-09-30,0.02934482
1986-10-31,-0.01918977
1986-11-28,-0.01175523
1986-12-31,0.00985824
1987-01-30,-0.00161355
1987-02-27,-0.00121212
1987-03-31,0.00849515
1987-04-30,0.02711592
1987-05-29,-0.00492072
1987-06-30,-0.00298273
1987-07-31,0.00921115
1987-08-31,-0.01271550
1987-09-30,-0.00063211
1987-10-30,0.00980392
1987-11-30,0.01550266
1987-12-31,-0.00639938
1988-01-29,-0.02692636
1988-02-29,-0.02121212
1988-03-31,0.01776112
