index,monthly_return
2002-01-31,-0.01952538
2002-02-28,0.00714869
2002-03-29,0.01794768
2002-04-30,0.00667397
2002-05-31,0.00376014
2002-06-28,0.01271688
2002-07-31,0.00282293
2002-08-30,0.01892836
2002-09-30,-0.00095265
2002-10-31,0.01506627
2002-11-29,0.00159699
2002-12-31,0.00356406
2003-01-31,0.00682243
2003-02-28,0.00380581
2003-03-31,0.00573331
2003-04-30,0.00496506
2003-05-30,0.01097896
2003-06-30,-0.02678733
2003-07-31,0.00269667
2003-08-29,-0.04126866
2003-09-30,0.00483653
2003-10-31,-0.00019253
2003-11-28,0.01482765
2003-12-31,-0.00199241
2004-01-30,0.01140793
2004-02-27,0.00902340
2004-03-31,-0.01797857
2004-04-30,-0.00189717
2004-05-31,0.00589242
2004-06-30,-0.01558957
2004-07-30,-0.00239946
2004-08-31,0.02693862
2004-09-30,0.01236650
2004-10-29,0.00166574
2004-11-30,0.00452698
2004-12-31,0.00542629
2005-01-31,0.01134285
2005-02-28,-0.01275326
2005-03-31,0.01630783
2005-04-29,0.00991616
2005-05-31,0.00169597
2005-06-30,0.00926751
2005-07-29,-0.01121314
2005-08-31,-0.00276810
2005-09-30,-0.01495344
2005-10-31,-0.00499955
2005-11-30,0.01187648
2005-12-30,-0.00469484
2006-01-31,-0.00507983
2006-02-28,-0.00729395
2006-03-31,-0.01267450
2006-04-28,-0.00800000
2006-05-31,0.00993998
2006-06-30,-0.00510678
2006-07-31,0.00326645
2006-08-31,0.02772093
2006-09-29,0.00199131
2006-10-31,-0.00289070
2006-11-30,0.00552636
2006-12-29,-0.00324354
2007-01-31,0.00415800
2007-02-28,0.00459087
2007-03-30,0.00044803
2007-04-30,0.00188088
2007-05-31,-0.01063830
2007-06-29,-0.00840336
2007-07-31,0.01038819
2007-08-31,0.01984127
2007-09-28,0.00000000
2007-10-31,0.00928546
2007-11-30,0.00911242
2007-12-31,0.00112877
2008-01-31,0.00815265
2008-02-29,0.00619408
2008-03-31,0.01838235
2008-04-30,-0.03668878
2008-05-30,-0.01481611
2008-06-30,0.01627742
2008-07-31,0.00835655
2008-08-29,0.01691989
2008-09-30,-0.00517827
2008-10-31,0.00375459
2008-11-28,0.01190173
2008-12-31,0.01033353
2009-01-30,-0.01006153
2009-02-27,0.00495590
2009-03-31,-0.01211969
2009-04-30,-0.00981471
2009-05-29,-0.00495599
2009-06-30,0.01957922
2009-07-31,0.00016845
2009-08-31,0.00850526
2009-09-30,0.00392452
2009-10-30,-0.01122848
2009-11-30,0.01472073
2009-12-31,0.00389621
2010-01-29,-0.00156895
2010-02-26,0.00297742
2010-03-31,-0.00651439
2010-04-30,0.01211819
2010-05-31,0.00598655
2010-06-30,0.01320616
2010-07-30,0.00144823
2010-08-31,0.00923917
2010-09-30,0.00525394
2010-10-29,-0.00174216
2010-11-30,-0.01848326
2010-12-31,0.00428352
2011-01-31,-0.00474811
2011-02-28,-0.00388130
2011-03-31,0.00681874
2011-04-29,0.00403128
2011-05-31,0.00465751
2011-06-30,0.00503557
2011-07-29,0.00628281
2011-08-31,0.00458389
2011-09-30,0.00118008
2011-10-31,-0.00133585
2011-11-30,-0.00228185
2011-12-30,0.01001577
2012-01-31,0.00140548
2012-02-29,0.00109162
