DATETIME,monthly_return
2011-07-29,0.01528273
2011-08-31,-0.44154541
2011-09-30,-0.17969452
2011-10-31,0.29025192
2011-11-30,-0.46264856
2011-12-30,0.07898894
2012-01-31,0.51244510
2012-02-29,0.91093901
2012-03-30,0.24366768
2012-04-30,-0.24643585
2012-05-31,-0.52162162
2012-06-29,0.73220339
2012-07-31,-0.20547945
2012-08-31,0.14778325
2012-09-28,0.08941345
2012-10-31,0.03282994
2012-11-30,0.33057851
2012-12-31,0.45628285
2013-01-31,0.23622047
2013-02-28,0.09607219
2013-03-29,0.18353511
2013-04-30,0.29869067
2013-05-31,-0.03512917
2013-06-28,0.00081633
2013-07-31,-0.01223491
2013-08-30,-0.04624277
2013-09-30,0.20432900
2013-10-31,-0.01294033
2013-11-29,0.18980335
2013-12-31,0.06733595
2014-01-31,-0.17951365
2014-02-28,0.00209702
2014-03-31,0.00767299
2014-04-30,-0.08929808
2014-05-30,0.06460930
2014-06-30,0.07425389
2014-07-31,0.06446896
2014-08-29,-0.02747253
2014-09-30,0.10914227
2014-10-31,0.03646677
2014-11-28,0.10555121
2014-12-31,0.00101031
2015-01-30,0.02371821
2015-02-27,0.11239278
2015-03-31,0.04254188
2015-04-30,0.02915923
2015-05-29,0.07855609
2015-06-30,-0.02412499
2015-07-31,0.02236698
2015-08-31,-0.13203347
2015-09-30,-0.11762625
2015-10-30,0.16838729
2015-11-30,0.05747619
2015-12-31,-0.05800276
2016-01-29,-0.11927317
2016-02-29,-0.16818226
2016-03-31,0.11226049
2016-04-29,-0.06045234
2016-05-31,0.07930259
2016-06-30,-0.17144346
2016-07-29,0.13459119
2016-08-31,0.03048780
2016-09-30,-0.03496503
2016-10-31,0.11259755
2016-11-30,0.09318637
2016-12-30,0.07103575
2017-01-31,-0.00984168
2017-02-28,0.01253241
2017-03-31,-0.00725566
2017-04-28,0.02493551
2017-05-31,0.03901007
2017-06-30,0.03310456
2017-07-31,-0.00586166
2017-08-31,-0.01965409
2017-09-29,0.06495589
2017-10-31,0.12048193
2017-11-30,0.05309140
2017-12-29,0.00159541
2018-01-31,0.02134438
2018-02-28,-0.06238303
2018-03-30,-0.03027279
2018-04-30,0.07238422
2018-05-31,-0.02111324
2018-06-29,0.00980392
2018-07-31,0.01423948
2018-08-31,0.02201659
2018-09-28,0.08773025
2018-10-31,-0.12887486
2018-11-30,0.03163097
2018-12-31,-0.14723730
2019-01-31,0.05617978
2019-02-28,0.04787234
2019-03-29,-0.00067682
2019-04-30,0.07213004
2019-05-31,-0.10644346
2019-06-28,0.05514316
2019-07-31,0.02110553
2019-08-30,-0.05577428
2019-09-30,0.08478110
2019-10-31,0.07815503
2019-11-29,0.02139037
2019-12-31,0.02472368
2020-01-31,-0.02753335
2020-02-28,-0.11967309
2020-03-31,-0.13229443
2020-04-30,0.09056171
2020-05-29,0.12158374
2020-06-30,0.03342705
2020-07-31,-0.02962515
2020-08-31,0.08753894
2020-09-30,0.01117158
2020-10-30,-0.01586402
2020-11-30,0.20581462
2020-12-31,0.04893769
2021-01-29,0.00910332
2021-02-26,0.07645467
2021-03-31,0.00460926
2021-04-30,-0.01167883
2021-05-31,0.00358725
2021-06-30,-0.00588730
2021-07-30,-0.06027919
2021-08-31,0.03758722
2021-09-30,0.05770065
2021-10-29,-0.01107465
2021-11-30,-0.04935711
2021-12-31,0.04493892
2022-01-31,-0.06430063
2022-02-28,-0.01941098
2022-03-31,0.04505119
2022-04-29,-0.03091661
2022-05-31,0.01527747
2022-06-30,-0.03429962
2022-07-29,0.06324473
2022-08-31,0.01594828
2022-09-30,-0.08273229
2022-10-31,0.07747456
2022-11-30,0.03691779
2022-12-30,-0.09646036
2023-01-31,0.06437572
2023-02-28,-0.00495050
2023-03-31,0.04023361
2023-04-28,0.03451861
2023-05-31,0.07959799
2023-06-30,0.08825172
2023-07-31,0.00307956
2023-08-31,-0.02217295
2023-09-29,-0.01848945
2023-10-31,-0.01759374
2023-11-30,0.07977569
2023-12-29,-0.00083766
2024-01-31,0.08299799
2024-02-29,0.10512463
2024-03-29,0.03586439
2025-04-30,-0.11698675
2025-05-30,0.05881452
2025-06-30,0.07218284
2025-07-31,0.01956287
2025-08-29,0.03903665
2025-09-30,0.06469689
2025-10-31,0.17882775
2025-11-28,-0.04505327
2025-12-31,0.00201891
2026-01-30,0.07041357
2026-02-27,0.16465227
2026-03-31,-0.13040150
2026-04-30,0.04088819
