index,monthly_return
1982-10-29,0.01590291
1982-11-30,0.00422245
1982-12-31,0.00246129
1983-01-31,0.00552430
1983-02-28,0.00203479
1983-03-31,0.00208143
1983-04-29,0.01256396
1983-05-31,-0.00205133
1983-06-30,0.00691868
1983-07-29,-0.00642302
1983-08-31,0.00125282
1983-09-30,0.00185185
1983-10-31,-0.00279762
1983-11-30,0.00095186
1983-12-30,-0.00130130
1984-01-31,-0.00180415
1984-02-29,-0.00838438
1984-03-30,0.00136702
1984-04-30,0.00035393
1984-05-31,-0.01071519
1984-06-29,0.00168600
1984-07-31,-0.00265225
1984-08-31,0.01549555
1984-09-28,-0.00015108
1984-10-31,-0.00151103
1984-11-30,-0.00408596
1984-12-31,0.00253254
1985-01-31,0.01035720
1985-02-28,0.00135014
1985-03-29,-0.00334582
1985-04-30,-0.00250526
1985-05-31,0.00884067
1985-06-28,0.00024895
1985-07-31,-0.00228981
1985-08-30,-0.00344260
1985-09-30,-0.00680885
1985-10-31,0.00650267
1985-11-29,0.01317173
1985-12-31,0.00711814
1986-01-31,0.00058899
1986-02-28,0.01270480
1986-03-31,0.01167353
1986-04-30,-0.00593699
1986-05-30,0.01228205
1986-06-30,0.00285483
1986-07-31,-0.01546710
1986-08-29,0.01609561
1986-09-30,-0.02186388
1986-10-31,0.01367339
1986-11-28,0.00377882
1986-12-31,-0.00710031
1987-01-30,0.03071607
1987-02-27,0.00875396
1987-03-31,0.00553914
1987-04-30,-0.00165259
1987-05-29,0.00000000
1987-06-30,0.01126540
1987-07-31,0.01514118
1987-08-31,0.00954045
1987-09-30,-0.00692134
1987-10-30,-0.05942010
1987-11-30,-0.02598205
1987-12-31,0.01370331
1988-01-29,0.00991004
1988-02-29,0.00976516
1988-03-31,-0.00910463
1988-04-29,0.00185670
1988-05-31,0.00185326
1988-06-30,0.00996063
1988-07-29,-0.00201944
1988-08-31,-0.01096471
1988-09-30,0.00980159
1988-10-31,0.00466475
1988-11-30,-0.00567489
1988-12-30,0.00396208
1989-01-31,0.01724219
1989-02-28,-0.00840569
1989-03-31,0.00419190
1989-04-28,0.01270872
1989-05-31,0.00906843
1989-06-30,-0.00426652
1989-07-31,0.02470599
1989-08-31,0.00311388
1989-09-29,-0.00345898
1989-10-31,-0.00841047
1989-11-30,0.00390432
1989-12-29,0.00393384
1990-01-31,-0.02293169
1990-02-28,0.00223306
1990-03-30,0.00409240
1990-04-30,-0.00846844
1990-05-31,0.02708381
1990-06-29,-0.00404660
1990-07-31,-0.00334866
1990-08-31,-0.03229997
1990-09-28,-0.01800843
1990-10-31,0.00004714
1990-11-30,0.01626361
1990-12-31,0.00371092
1991-01-31,0.01294020
1991-02-28,0.02021170
1991-03-29,0.00545593
1991-04-30,-0.00031135
1991-05-31,0.01227977
1991-06-28,-0.01780063
1991-07-31,0.01445384
1991-08-30,0.00630790
1991-09-30,-0.00696971
1991-10-31,0.00264854
1991-11-29,-0.01549705
1991-12-31,0.03671407
1992-01-31,-0.00828193
1992-02-28,0.00326215
1992-03-31,-0.00823723
1992-04-30,0.00926735
1992-05-29,0.00008663
1992-06-30,-0.00537029
1992-07-31,0.01254028
1992-08-31,-0.00838565
1992-09-30,0.00355610
1992-10-30,-0.00047535
1992-11-30,0.01137051
1992-12-31,0.00521524
1993-01-29,0.00051031
1993-02-26,0.00463297
1993-03-31,0.00706549
1993-04-30,-0.01172121
1993-05-31,0.00973474
1993-06-30,0.00016840
1993-07-30,-0.00252557
1993-08-31,0.01287083
1993-09-30,-0.00395800
1993-10-29,0.00727820
1993-11-30,-0.00514929
1993-12-31,0.00342280
1994-01-31,0.01227173
1994-02-28,-0.01278047
1994-03-31,-0.01719186
1994-04-29,0.00304956
1994-05-31,0.00494046
1994-06-30,-0.01079877
1994-07-29,0.01176621
1994-08-31,0.01276292
1994-09-30,-0.01073664
1994-10-31,0.00771036
1994-11-30,-0.01538589
1994-12-30,0.00363206
1995-01-31,0.00913146
1995-02-28,0.01363580
1995-03-31,0.00974988
1995-04-28,0.01006315
1995-05-31,0.01339142
1995-06-30,0.00732367
1995-07-31,0.01264422
1995-08-31,-0.00023412
1995-09-29,0.01607993
1995-10-31,-0.00334178
1995-11-30,0.01803677
1995-12-29,0.00378573
1996-01-31,0.01470866
1996-02-29,0.00022301
1996-03-29,0.00512801
1996-04-30,0.00266184
1996-05-31,0.00892297
1996-06-28,0.00285056
1996-07-31,-0.02507197
1996-08-30,0.00669084
1996-09-30,0.02528591
1996-10-31,0.01321841
1996-11-29,0.03474158
1996-12-31,-0.01433506
1997-01-31,0.03013843
1997-02-28,0.00197312
1997-03-31,-0.02726378
1997-04-30,0.03127400
1997-05-30,0.03235633
1997-06-30,0.02019540
1997-07-31,0.04351179
1997-08-29,-0.03378295
1997-09-30,0.02661355
1997-10-31,-0.01893822
1997-11-28,0.01955696
1997-12-31,0.00825625
1998-01-30,0.00535648
