index,monthly_return
1991-11-29,0.04306520
1991-12-31,0.35458382
1992-01-31,-0.21515003
1992-02-28,0.04111933
1992-03-31,-0.09873827
1992-04-30,0.00243457
1992-05-29,0.16271997
1992-06-30,0.11070489
1992-07-31,0.20310284
1992-08-31,0.05158262
1992-09-30,0.08026752
1992-10-30,-0.11145506
1992-11-30,-0.02942314
1992-12-31,0.11168722
1993-01-29,0.13204156
1993-02-26,0.10649758
1993-03-31,0.00229161
1993-04-30,0.02972277
1993-05-31,-0.01110186
1993-06-30,0.10440636
1993-07-30,-0.00101652
1993-08-31,0.08038664
1993-09-30,0.01789498
1993-10-29,-0.00832755
1993-11-30,-0.05318403
1993-12-31,0.00985464
1994-01-31,0.05171992
1994-02-28,-0.09649730
1994-03-31,-0.12836966
1994-04-29,-0.03652429
1994-05-31,-0.01345154
1994-06-30,-0.03346760
1994-07-29,0.08977233
1994-08-31,0.00353045
1994-09-30,-0.10319551
1994-10-31,-0.03399802
1994-11-30,-0.01895092
1994-12-30,0.02069678
1995-01-31,0.07570122
1995-02-28,0.10556075
1995-03-31,0.00227337
1995-04-28,0.05103486
1995-05-31,0.16833013
1995-06-30,0.01015931
1995-07-31,-0.03474285
1995-08-31,0.03220458
1995-09-29,0.02202339
1995-10-31,0.03681256
1995-11-30,0.04849533
1995-12-29,0.03221143
1996-01-31,0.00640128
1996-02-29,-0.08745774
1996-03-29,-0.05140491
1996-04-30,-0.04133179
1996-05-31,-0.03353292
1996-06-28,0.04560098
1996-07-31,-0.01137710
1996-08-30,-0.03068807
1996-09-30,0.05540439
1996-10-31,0.07030699
1996-11-29,0.05342674
1996-12-31,-0.06401994
1997-01-31,-0.00977126
1997-02-28,-0.01435299
1997-03-31,-0.06370874
1997-04-30,0.04568650
1997-05-30,0.01673251
1997-06-30,0.02468571
1997-07-31,0.08922594
1997-08-29,-0.05160760
1997-09-30,0.03973223
1997-10-31,0.04319833
1997-11-28,-0.00318535
1997-12-31,0.01997203
1998-01-30,0.03916192
1998-02-27,-0.02562652
1998-03-31,-0.00618836
1998-04-30,-0.00155672
1998-05-29,0.01637107
1998-06-30,0.01764141
1998-07-31,-0.00678349
1998-08-31,0.08271673
1998-09-30,0.09672330
1998-10-30,-0.02300687
1998-11-30,-0.02747342
1998-12-31,-0.00403565
1999-01-29,0.00067533
1999-02-26,-0.09853212
1999-03-31,-0.00149729
1999-04-30,0.00000000
1999-05-31,-0.05923148
1999-06-30,-0.00876668
1999-07-30,-0.02251256
1999-08-31,-0.00781410
1999-09-30,0.02031088
1999-10-29,-0.01056266
1999-11-30,-0.01354958
1999-12-31,-0.04308011
2000-01-31,-0.03023053
2000-02-29,0.02893025
2000-03-31,0.07519614
2000-04-28,-0.02939387
2000-05-31,0.00020886
2000-06-30,0.04552097
2000-07-31,0.01038546
2000-08-31,0.03241747
2000-09-29,0.00344629
2000-10-31,0.01182980
2000-11-30,0.05336601
2000-12-29,0.04206945
2001-01-31,0.00790242
2001-02-28,0.02352139
2001-03-30,0.00566195
2001-04-30,-0.05149858
2001-05-31,-0.00122207
2001-06-29,0.00471945
2001-07-31,0.06889351
2001-08-31,0.02311197
2001-09-28,0.04629334
2001-10-31,0.05336779
2001-11-30,-0.06134525
2001-12-31,-0.03567583
2002-01-31,0.01514910
2002-02-28,0.02733270
2002-03-29,-0.06788989
2002-04-30,0.06528870
2002-05-31,0.02186633
2002-06-28,0.03767329
2002-07-31,0.06288120
2002-08-30,0.04413170
2002-09-30,0.06922270
2002-10-31,-0.01860237
2002-11-29,-0.03591470
2002-12-31,0.06519207
2003-01-31,-0.01420765
2003-02-28,0.04101995
2003-03-31,-0.00757307
2003-04-30,0.00381543
